ID,Region,District,Education,Gender_HH_Head,Age_HH_Head,Household_Size,Dependents,Livelihood_Main,Livelihood_Secondary,Crop,Yield,Farm_Size_Acres,Water_Source,Irrigation,Livestock_TLU,Food_Insecurity_Score,Food_Consumption_Score,Months_Food_Secure,Coping_Strategy_Index,Savings_UGX,Loan_UGX,Income_UGX,Expenditure_Food_Pct,Shocks_Last_Year,Assistance_Received
363,Western,Mbale,None,Female,54,7,4,Charcoal Burning,Charcoal Burning,Beans,0.5,1.4,Rain,Yes,5.5,10,111,8,11,633921,307689,459960,63,Flood,Food
364,Northern,Mbarara,None,Female,36,2,2,Construction,Charcoal Burning,Maize,0.5,2.0,Rain,No,5.5,9,23,7,18,584750,450589,242526,40,None,Food
365,Central,Mbale,None,Male,45,7,1,Construction,Commercial Farming,Beans,0.5,1.5,Borehole,No,4.3,9,100,3,4,796905,226183,496776,37,Drought,Cash
366,Northern,Mbarara,Primary,Female,47,4,0,Commercial Farming,Commercial Farming,Maize,4.25,2.1,Rain,Yes,3.1,9,88,8,26,70471,399830,2059652,58,Flood,Cash
367,Northern,Mbale,None,Female,53,5,1,Charcoal Burning,Boda Boda,Coffee,0.5,5.0,Borehole,Yes,6.4,5,68,4,32,821396,633,327288,49,None,None
368,Northern,Mbale,Primary,Male,37,9,4,Salaried Employment,Construction,Beans,0.5,5.8,Borehole,Yes,6.7,0,26,7,16,77605,100097,1839626,49,Drought,Food
369,Western,Kampala,None,Male,34,5,0,Small Business,Fishing,Coffee,0.5,0.6,Rain,Yes,3.5,6,73,3,29,498493,220064,146528,36,None,Food
370,Northern,Gulu,Primary,Male,48,4,3,Subsistence Farming,Small Business,Coffee,3.93,3.7,Rain,Yes,3.3,1,33,4,34,299241,281245,213903,56,Flood,None
371,Western,Mbarara,Primary,Male,68,10,2,Salaried Employment,Boda Boda,Coffee,0.5,4.0,Rain,Yes,5.0,6,84,12,16,241149,96571,3164722,37,Drought,Food
372,Northern,Mbarara,University,Female,48,8,4,Livestock,Salaried Employment,Maize,0.5,4.0,Rain,No,5.6,4,27,11,13,581090,306734,846388,44,None,None
373,Central,Mbarara,Primary,Male,44,8,1,Livestock,Boda Boda,Beans,0.5,5.6,Borehole,Yes,0.8,4,81,7,12,448693,495779,370820,39,Flood,Cash
374,Western,Gulu,Secondary,Female,60,9,3,Small Business,Small Business,Maize,0.5,3.6,Rain,No,0.9,2,97,7,29,514628,200713,432447,76,None,Food
375,Central,Kampala,Primary,Male,45,5,4,Commercial Farming,Subsistence Farming,Coffee,6.24,1.8,Rain,No,0.9,3,86,12,28,413541,205922,977146,50,Price Rise,Cash
376,Central,Mbarara,None,Male,52,4,4,Boda Boda,Boda Boda,Coffee,0.5,3.4,Borehole,No,5.9,4,55,6,34,539309,275410,875195,43,None,Food
377,Eastern,Mbale,Secondary,Male,34,7,0,Commercial Farming,Boda Boda,Beans,6.47,2.0,Rain,No,0.8,1,24,9,11,916962,457770,2057446,73,Drought,Cash
378,Western,Kampala,Primary,Male,73,2,1,Salaried Employment,Livestock,Maize,0.5,2.9,Rain,Yes,1.6,9,99,7,3,444261,66044,1521355,69,Drought,Cash
379,Northern,Mbale,Secondary,Male,36,3,4,Small Business,Charcoal Burning,Maize,0.5,1.1,Borehole,No,1.7,6,25,3,13,96424,172190,690915,60,Flood,None
380,Western,Mbarara,None,Male,31,10,3,Charcoal Burning,Subsistence Farming,Beans,0.5,0.3,Rain,No,0.6,9,32,7,15,597862,494157,758630,50,Drought,None
381,Western,Gulu,University,Female,30,6,2,Livestock,Casual Labor,Beans,0.5,2.8,Borehole,No,6.7,10,107,6,25,895578,149495,484192,38,Flood,Cash
382,Eastern,Gulu,Primary,Female,73,8,1,Livestock,Construction,Coffee,0.5,4.4,Rain,No,7.1,2,61,2,2,218735,248881,456489,58,Flood,Food
383,Northern,Kampala,Primary,Male,30,6,2,Casual Labor,Small Business,Coffee,0.5,4.3,Borehole,No,3.8,5,64,7,19,29851,70614,421382,48,Price Rise,Cash
384,Western,Mbarara,Secondary,Male,21,2,3,Subsistence Farming,Livestock,Beans,1.86,5.3,Borehole,Yes,4.4,6,81,9,0,322628,420579,519187,73,None,Food
385,Western,Kampala,Secondary,Female,26,6,3,Salaried Employment,Boda Boda,Coffee,0.5,0.5,Rain,Yes,5.2,0,31,11,0,774710,483420,3464065,37,None,Food
386,Eastern,Kampala,Secondary,Male,22,6,2,Construction,Subsistence Farming,Beans,0.5,2.4,Borehole,No,4.3,7,74,2,2,261262,241929,574531,38,Flood,Food
387,Central,Kampala,Secondary,Male,68,9,0,Charcoal Burning,Casual Labor,Beans,0.5,2.3,Rain,No,1.9,2,107,12,13,152833,269242,636172,75,None,None
388,Western,Kampala,None,Male,27,2,2,Boda Boda,Commercial Farming,Coffee,0.5,2.6,Rain,Yes,3.8,10,102,9,10,942159,209042,447029,59,None,None
389,Western,Mbale,University,Female,40,8,2,Charcoal Burning,Commercial Farming,Beans,0.5,4.7,Borehole,Yes,7.8,3,29,11,18,498201,144939,506281,52,Flood,None
390,Northern,Gulu,Primary,Female,66,6,1,Subsistence Farming,Boda Boda,Beans,5.49,1.0,Rain,No,5.6,9,107,8,22,283502,41797,315288,84,Price Rise,None
391,Central,Mbarara,Secondary,Female,44,2,3,Livestock,Subsistence Farming,Maize,0.5,2.8,Rain,Yes,7.9,0,108,6,0,43404,364754,389820,77,Price Rise,None
392,Central,Mbale,Primary,Female,38,3,1,Boda Boda,Small Business,Coffee,0.5,2.6,Rain,Yes,3.7,8,68,2,19,314437,296993,112800,58,Flood,Food
393,Eastern,Mbarara,Primary,Male,69,7,3,Livestock,Commercial Farming,Coffee,0.5,5.7,Rain,Yes,1.6,4,111,5,30,201154,235869,101772,61,Drought,Cash
394,Western,Mbale,University,Male,45,2,4,Commercial Farming,Livestock,Maize,4.43,5.0,Rain,No,3.3,7,107,2,6,844176,275696,901654,78,Price Rise,None
395,Western,Kampala,University,Male,56,7,3,Salaried Employment,Casual Labor,Maize,0.5,4.6,Rain,No,2.1,5,95,10,34,433049,102263,2653278,54,Price Rise,Cash
396,Central,Gulu,None,Female,30,7,2,Salaried Employment,Charcoal Burning,Coffee,0.5,1.3,Rain,No,6.9,6,56,4,12,203009,166177,2659508,50,Price Rise,Cash
397,Eastern,Kampala,Primary,Female,34,8,0,Boda Boda,Subsistence Farming,Maize,0.5,5.2,Borehole,No,2.3,8,91,3,12,809072,73187,102355,59,Price Rise,None
398,Eastern,Mbale,None,Female,67,5,0,Fishing,Casual Labor,Coffee,0.5,5.5,Rain,Yes,0.8,1,45,6,29,296918,475828,796030,73,None,Cash
399,Central,Kampala,University,Male,56,10,4,Casual Labor,Subsistence Farming,Maize,0.5,1.0,Rain,No,1.2,5,22,6,14,419254,338655,519567,55,Drought,None
400,Eastern,Gulu,Secondary,Female,28,8,0,Boda Boda,Salaried Employment,Coffee,0.5,1.9,Borehole,Yes,3.9,6,23,4,17,5677,279469,685455,50,Price Rise,None
401,Eastern,Mbale,University,Male,72,5,1,Charcoal Burning,Subsistence Farming,Maize,0.5,4.0,Borehole,No,1.7,1,32,7,3,320406,404452,635789,53,Flood,None
402,Central,Mbale,Secondary,Female,37,2,2,Charcoal Burning,Small Business,Coffee,0.5,4.2,Rain,No,6.5,0,39,11,30,520345,111156,143609,46,Flood,None
403,Eastern,Mbale,Secondary,Male,59,4,0,Subsistence Farming,Boda Boda,Coffee,3.47,4.4,Borehole,Yes,5.4,2,106,9,29,231044,30288,345117,68,Drought,None
404,Central,Mbarara,None,Female,25,5,3,Casual Labor,Construction,Maize,0.5,5.3,Rain,No,5.2,2,57,7,23,53566,449203,118800,76,Flood,Food
405,Northern,Gulu,None,Male,63,6,0,Casual Labor,Construction,Coffee,0.5,1.3,Rain,Yes,1.8,10,69,9,15,27675,53515,797068,59,Price Rise,Food
406,Western,Kampala,None,Female,47,9,1,Commercial Farming,Commercial Farming,Coffee,4.51,4.5,Rain,Yes,5.9,4,72,12,11,297519,1977,706388,49,Flood,Cash
407,Eastern,Gulu,Secondary,Female,73,3,2,Fishing,Livestock,Beans,0.5,2.9,Borehole,Yes,4.9,8,78,3,0,137279,9754,609978,71,Price Rise,Cash
408,Eastern,Mbarara,None,Female,57,7,1,Subsistence Farming,Fishing,Coffee,4.39,0.4,Rain,No,1.4,2,49,10,19,549860,443141,450869,55,Drought,None
409,Northern,Kampala,Secondary,Male,49,4,3,Commercial Farming,Livestock,Maize,4.18,4.9,Borehole,No,2.4,6,96,8,13,335948,381601,2317614,80,Flood,None
410,Western,Mbarara,Primary,Male,41,9,2,Livestock,Construction,Beans,0.5,3.7,Borehole,Yes,2.7,1,73,7,17,604439,11807,104392,57,Price Rise,Food
411,Western,Mbale,Secondary,Male,29,8,1,Salaried Employment,Construction,Beans,0.5,1.7,Borehole,No,5.7,4,42,11,33,534802,79961,2226375,77,Drought,None
412,Northern,Gulu,University,Male,34,5,0,Commercial Farming,Boda Boda,Coffee,6.06,0.5,Rain,Yes,5.5,9,36,12,1,21489,20163,2202958,75,Price Rise,Cash
413,Western,Kampala,Secondary,Male,43,9,4,Livestock,Salaried Employment,Maize,0.5,5.2,Rain,No,2.8,8,37,8,34,475362,5094,252714,73,Price Rise,Food
414,Eastern,Gulu,Primary,Male,36,2,3,Livestock,Casual Labor,Maize,0.5,0.5,Rain,Yes,6.7,10,45,12,15,59674,53656,242969,46,Price Rise,None
415,Western,Gulu,University,Female,29,4,1,Fishing,Charcoal Burning,Coffee,0.5,1.7,Rain,Yes,7.9,0,37,8,22,874850,422681,442591,42,Drought,Food
416,Western,Gulu,Primary,Female,66,5,0,Charcoal Burning,Fishing,Maize,0.5,3.7,Rain,Yes,4.6,0,71,6,33,860537,406526,882100,83,Price Rise,None
417,Western,Kampala,Secondary,Male,59,7,2,Commercial Farming,Casual Labor,Maize,3.92,1.5,Borehole,Yes,0.4,8,40,6,27,783739,6197,2424892,72,None,None
418,Central,Mbarara,Primary,Female,60,3,3,Commercial Farming,Construction,Coffee,4.67,1.8,Borehole,No,4.4,3,81,2,14,163826,154026,1858332,77,Price Rise,None
419,Eastern,Kampala,University,Male,72,9,3,Boda Boda,Commercial Farming,Beans,0.5,1.2,Rain,No,5.4,6,38,5,1,510617,33717,749298,44,Drought,None
420,Western,Mbale,Secondary,Male,52,2,1,Charcoal Burning,Commercial Farming,Beans,0.5,2.4,Borehole,Yes,6.4,5,58,9,17,729981,414736,660618,78,Price Rise,Cash
421,Eastern,Gulu,Secondary,Female,29,8,1,Livestock,Salaried Employment,Maize,0.5,3.3,Borehole,Yes,3.9,0,44,2,13,547952,372975,771647,68,Price Rise,Cash
422,Eastern,Mbarara,None,Female,34,2,0,Commercial Farming,Commercial Farming,Beans,5.13,0.5,Borehole,No,0.6,2,105,11,8,479108,248496,2067345,67,Drought,None
423,Northern,Kampala,Primary,Female,34,8,1,Salaried Employment,Charcoal Burning,Maize,0.5,0.8,Borehole,No,5.5,6,87,6,23,201982,2554,2866159,49,Price Rise,Cash
424,Northern,Mbale,Secondary,Male,25,5,1,Boda Boda,Boda Boda,Beans,0.5,2.4,Rain,No,4.4,0,78,12,19,534405,269737,761588,72,Price Rise,None
425,Central,Mbale,None,Female,71,8,2,Small Business,Salaried Employment,Maize,0.5,1.2,Rain,Yes,0.7,6,30,8,28,115136,285545,156243,60,None,Food
426,Central,Mbarara,Primary,Female,29,8,3,Salaried Employment,Casual Labor,Beans,0.5,5.2,Borehole,No,2.1,8,98,5,31,745109,125721,1113936,61,Price Rise,None
427,Central,Mbale,Primary,Male,50,5,4,Salaried Employment,Subsistence Farming,Maize,0.5,3.7,Borehole,Yes,7.0,3,66,9,22,37750,399742,3416061,65,Price Rise,Food
428,Western,Kampala,University,Male,22,8,1,Commercial Farming,Fishing,Beans,5.65,3.0,Rain,No,4.0,1,55,8,22,722157,373838,1912095,45,Price Rise,None
429,Northern,Mbale,University,Male,34,9,0,Construction,Subsistence Farming,Maize,0.5,5.9,Rain,Yes,5.1,7,65,5,18,774014,37987,529955,49,Flood,None
430,Northern,Kampala,University,Male,51,6,2,Charcoal Burning,Casual Labor,Beans,0.5,2.3,Rain,Yes,1.6,6,23,12,27,272537,92927,629650,73,Drought,Cash
431,Eastern,Mbale,Secondary,Female,30,7,4,Commercial Farming,Salaried Employment,Coffee,2.85,1.3,Borehole,No,6.7,7,55,10,3,466202,494305,2348764,41,Flood,Cash
432,Eastern,Mbarara,Primary,Female,33,8,2,Casual Labor,Casual Labor,Coffee,0.5,3.3,Borehole,No,5.8,10,36,3,18,187704,428684,379226,61,Flood,Cash
433,Central,Kampala,Primary,Male,24,7,1,Construction,Livestock,Coffee,0.5,1.2,Borehole,No,4.9,9,31,12,16,710372,144440,887848,60,Flood,Cash
434,Western,Kampala,University,Male,49,7,2,Charcoal Burning,Salaried Employment,Coffee,0.5,4.6,Rain,No,2.4,3,27,12,31,141350,345855,388728,55,Drought,Cash
435,Central,Gulu,University,Female,72,7,3,Charcoal Burning,Construction,Beans,0.5,5.4,Borehole,Yes,6.1,6,27,5,16,322610,191637,347580,78,None,Cash
436,Central,Mbale,Secondary,Female,55,2,3,Fishing,Commercial Farming,Beans,0.5,2.2,Borehole,No,2.1,1,80,6,34,215455,133778,467927,69,Drought,Food
437,Central,Kampala,Primary,Female,35,6,3,Charcoal Burning,Fishing,Coffee,0.5,1.1,Borehole,No,7.5,4,93,3,29,183461,6447,550578,56,Flood,None
438,Eastern,Mbarara,Secondary,Female,43,7,1,Construction,Charcoal Burning,Beans,0.5,5.8,Borehole,Yes,2.3,1,63,3,23,430735,37525,260744,52,None,Food
439,Eastern,Mbarara,University,Male,66,7,1,Subsistence Farming,Small Business,Coffee,4.46,4.4,Rain,No,7.1,9,75,6,25,656776,304185,151202,67,Price Rise,Food
440,Western,Gulu,None,Male,41,2,3,Charcoal Burning,Small Business,Beans,0.5,1.3,Borehole,No,6.6,5,100,7,29,552007,262036,759789,65,Drought,None
441,Northern,Mbale,Secondary,Female,62,9,2,Casual Labor,Casual Labor,Coffee,0.5,3.8,Borehole,Yes,2.1,7,32,9,1,409151,276701,852708,80,Drought,Cash
442,Central,Kampala,Primary,Female,32,9,0,Construction,Charcoal Burning,Coffee,0.5,2.3,Borehole,Yes,3.4,3,67,11,20,981616,326203,485569,55,None,Cash
443,Central,Kampala,Primary,Female,28,3,1,Boda Boda,Salaried Employment,Beans,0.5,5.0,Borehole,Yes,6.3,4,104,12,22,648524,179240,587305,51,Drought,None
444,Northern,Mbarara,University,Male,54,7,3,Salaried Employment,Casual Labor,Coffee,0.5,5.2,Rain,No,6.3,1,33,5,10,454678,330465,1783738,73,Flood,Food
445,Northern,Gulu,None,Male,43,4,0,Livestock,Charcoal Burning,Coffee,0.5,3.0,Borehole,Yes,4.3,1,59,6,1,845917,262000,569050,82,None,Food
446,Eastern,Kampala,Secondary,Female,72,8,4,Fishing,Subsistence Farming,Coffee,0.5,5.6,Rain,Yes,0.7,0,94,2,32,932430,197801,774304,40,Flood,Food
447,Eastern,Kampala,Secondary,Male,67,6,2,Subsistence Farming,Livestock,Beans,3.28,0.6,Borehole,No,4.1,1,52,6,20,142126,83949,432465,61,Drought,Food
448,Western,Mbale,Primary,Female,72,5,2,Boda Boda,Subsistence Farming,Beans,0.5,4.5,Rain,No,6.3,5,93,6,21,915181,31337,874288,77,Price Rise,None
449,Central,Kampala,University,Male,52,8,1,Salaried Employment,Fishing,Maize,0.5,0.2,Borehole,Yes,2.9,7,56,7,14,648229,127381,1192618,54,Drought,None
450,Eastern,Gulu,University,Female,70,7,2,Small Business,Charcoal Burning,Coffee,0.5,1.4,Rain,No,5.4,1,80,11,26,183586,10909,798724,70,Price Rise,Food
451,Northern,Mbale,None,Male,70,5,0,Salaried Employment,Subsistence Farming,Coffee,0.5,3.6,Borehole,No,1.9,1,54,12,19,897312,138688,3430958,66,Price Rise,Food
452,Central,Kampala,Secondary,Male,47,7,0,Salaried Employment,Charcoal Burning,Coffee,0.5,4.4,Rain,No,3.9,3,52,9,26,540962,395170,2729360,66,Flood,None
453,Central,Mbarara,None,Female,35,2,0,Boda Boda,Small Business,Coffee,0.5,4.8,Rain,Yes,1.3,0,103,8,1,291810,398459,731093,72,Flood,Food
454,Western,Mbarara,Secondary,Female,37,7,1,Small Business,Boda Boda,Beans,0.5,0.9,Rain,No,4.3,5,72,5,32,311465,27296,491022,82,Drought,Food
455,Northern,Mbale,Primary,Male,53,3,1,Boda Boda,Casual Labor,Maize,0.5,1.7,Borehole,No,6.8,1,70,10,14,480987,180649,829542,74,Price Rise,None
456,Central,Kampala,Primary,Male,21,10,3,Salaried Employment,Subsistence Farming,Beans,0.5,4.1,Rain,Yes,5.5,1,97,11,28,304481,55664,3992104,61,Drought,Food
457,Northern,Mbale,None,Female,58,10,2,Subsistence Farming,Fishing,Beans,2.07,0.7,Rain,No,7.2,9,38,3,11,452139,91147,91179,77,Drought,Cash
458,Northern,Gulu,Secondary,Male,38,9,4,Charcoal Burning,Livestock,Coffee,0.5,2.9,Borehole,Yes,7.8,2,90,7,16,708435,431515,767612,75,None,Cash
459,Eastern,Mbarara,University,Male,56,3,4,Fishing,Boda Boda,Coffee,0.5,3.2,Borehole,No,7.3,8,104,12,6,157975,319190,413705,44,None,None
460,Eastern,Gulu,Secondary,Male,26,10,3,Livestock,Fishing,Coffee,0.5,1.7,Rain,Yes,1.4,3,41,7,12,28828,485381,884696,36,Drought,Food
461,Western,Mbarara,University,Female,36,3,3,Construction,Subsistence Farming,Beans,0.5,3.3,Borehole,No,6.6,2,90,5,12,978124,16542,402397,84,Flood,Cash
462,Western,Mbale,University,Female,40,9,2,Small Business,Commercial Farming,Maize,0.5,2.2,Rain,Yes,0.6,10,103,4,33,121427,439625,677214,82,None,None
463,Western,Kampala,None,Male,64,2,2,Salaried Employment,Fishing,Coffee,0.5,5.0,Rain,No,4.3,9,71,5,31,175908,37832,1555678,58,None,Cash
464,Eastern,Mbarara,Primary,Male,27,4,0,Fishing,Salaried Employment,Beans,0.5,4.6,Borehole,Yes,5.2,7,97,3,31,645649,267554,427415,35,Price Rise,Food
465,Northern,Gulu,University,Male,29,2,1,Subsistence Farming,Livestock,Coffee,5.33,3.1,Rain,No,5.7,3,57,10,24,518406,405465,360890,52,Price Rise,Cash
466,Eastern,Kampala,University,Female,20,8,3,Construction,Livestock,Maize,0.5,5.0,Rain,No,0.4,2,21,4,5,602128,359121,227033,64,Price Rise,Food
467,Eastern,Mbarara,Secondary,Female,37,5,1,Construction,Salaried Employment,Maize,0.5,5.5,Rain,Yes,0.8,10,55,6,4,35614,432728,531888,68,None,Food
468,Northern,Gulu,Secondary,Female,55,3,4,Small Business,Commercial Farming,Coffee,0.5,5.1,Borehole,Yes,0.4,2,86,3,14,999824,426534,506207,73,Drought,Food
469,Central,Gulu,Secondary,Female,48,6,0,Charcoal Burning,Livestock,Beans,0.5,1.5,Rain,Yes,7.3,10,64,3,0,823647,318191,104096,60,Price Rise,Cash
470,Eastern,Mbale,None,Female,66,5,2,Construction,Construction,Maize,0.5,0.8,Borehole,No,1.5,0,78,4,25,387596,87200,641326,79,Flood,None
471,Northern,Gulu,None,Male,54,9,2,Casual Labor,Casual Labor,Maize,0.5,2.7,Borehole,Yes,3.6,9,88,4,14,135318,256650,771169,43,Drought,Cash
472,Western,Gulu,None,Female,20,9,3,Casual Labor,Small Business,Coffee,0.5,3.2,Borehole,Yes,1.8,5,83,6,34,95647,378088,718198,72,Flood,None
473,Western,Mbarara,None,Male,45,2,0,Salaried Employment,Small Business,Maize,0.5,0.7,Borehole,Yes,1.1,9,37,9,15,695575,220776,2984144,73,None,Food
474,Northern,Mbarara,None,Female,54,5,2,Charcoal Burning,Subsistence Farming,Beans,0.5,1.3,Rain,Yes,0.6,9,43,7,31,295766,313138,384238,71,Price Rise,Cash
475,Eastern,Gulu,University,Male,22,8,2,Subsistence Farming,Construction,Maize,3.1,5.0,Borehole,Yes,3.9,4,45,8,3,661128,300697,254752,69,None,None
476,Western,Mbale,Secondary,Female,58,8,1,Small Business,Fishing,Beans,0.5,1.9,Rain,No,1.8,6,90,4,5,128387,270246,512740,38,Price Rise,None
477,Eastern,Mbale,Primary,Female,30,8,2,Charcoal Burning,Casual Labor,Beans,0.5,1.7,Borehole,No,1.8,0,28,10,17,697038,264355,633062,69,Flood,None
478,Eastern,Mbarara,Primary,Male,52,9,3,Boda Boda,Charcoal Burning,Beans,0.5,0.3,Rain,Yes,1.3,8,67,5,4,908993,479176,166981,39,Drought,Food
479,Eastern,Gulu,Primary,Female,46,6,3,Commercial Farming,Fishing,Maize,5.97,1.4,Rain,Yes,3.6,3,78,6,16,745424,412297,1328023,80,Price Rise,Cash
480,Eastern,Gulu,Secondary,Male,62,10,1,Casual Labor,Charcoal Burning,Coffee,0.5,0.4,Borehole,No,2.4,10,69,9,11,615828,1865,199744,56,Price Rise,None
481,Eastern,Gulu,Primary,Female,59,6,4,Small Business,Casual Labor,Coffee,0.5,4.7,Borehole,Yes,1.5,7,101,9,27,707437,96737,268375,71,Flood,Cash
482,Northern,Kampala,Primary,Male,32,2,2,Livestock,Subsistence Farming,Beans,0.5,1.9,Rain,Yes,3.3,4,37,5,17,714541,361650,245038,40,Price Rise,Food
483,Western,Kampala,Primary,Female,63,5,4,Commercial Farming,Small Business,Coffee,3.37,3.5,Rain,No,2.7,9,27,3,3,512146,368216,802025,59,Price Rise,Cash
484,Eastern,Kampala,Secondary,Male,40,3,3,Fishing,Subsistence Farming,Maize,0.5,4.9,Rain,Yes,6.0,5,45,3,19,982676,320701,332640,43,Drought,Food
485,Central,Mbarara,None,Male,52,6,1,Casual Labor,Small Business,Coffee,0.5,4.7,Borehole,Yes,7.6,10,50,3,1,687394,127592,676586,43,Drought,Food
486,Western,Mbale,University,Female,65,2,2,Fishing,Casual Labor,Coffee,0.5,1.3,Borehole,No,5.2,7,86,8,27,73902,490847,660214,38,Flood,None
487,Central,Mbarara,None,Female,70,9,3,Salaried Employment,Boda Boda,Beans,0.5,1.7,Rain,No,2.2,2,62,2,12,425694,61072,1775942,84,Flood,Food
488,Western,Gulu,Secondary,Female,52,4,4,Subsistence Farming,Boda Boda,Maize,3.05,3.0,Borehole,Yes,5.3,2,35,2,17,731,231124,215150,53,Flood,Food
489,Eastern,Mbale,None,Male,38,3,0,Subsistence Farming,Casual Labor,Beans,5.62,4.8,Borehole,Yes,1.0,5,22,6,5,610798,106372,114743,41,Flood,Food
490,Western,Mbale,Secondary,Female,46,10,4,Boda Boda,Livestock,Beans,0.5,5.5,Borehole,Yes,7.4,4,53,11,13,329638,453297,602320,81,Flood,Food
491,Central,Kampala,Secondary,Female,34,5,0,Casual Labor,Charcoal Burning,Coffee,0.5,3.3,Rain,No,3.9,10,87,4,10,871357,28204,673239,50,None,None
492,Central,Mbarara,Primary,Male,52,9,0,Subsistence Farming,Livestock,Maize,3.99,4.6,Borehole,Yes,4.2,4,37,7,8,473080,344486,130122,83,Price Rise,None
493,Eastern,Mbale,Secondary,Female,40,9,1,Salaried Employment,Salaried Employment,Coffee,0.5,5.0,Rain,No,7.6,8,56,10,7,989436,279654,1437219,75,None,Food
494,Western,Gulu,Secondary,Male,23,3,0,Casual Labor,Salaried Employment,Coffee,0.5,4.2,Rain,Yes,4.9,3,22,8,12,955377,228013,704182,77,Price Rise,Food
