ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Research_Title,Methodology,P_Value,Findings
22,Central,Arua,University,7.9659137153714,24,Female,365190,Tap,Cassava,2024,Thesis,KII,0.029915319052584533,Education increases yield
23,Eastern,Kampala,Secondary,3.657395158241722,49,Male,1913221,River,Maize,2024,Thesis,FGD,0.003298414108676375,Education increases yield
24,Western,Arua,Secondary,5.077101978786293,28,Male,1484000,Tap,Coffee,2023,Thesis,Survey,0.020702544721138846,Education increases yield
25,Western,Mbarara,University,7.263723857390432,62,Male,519227,River,Maize,2024,Thesis,KII,0.01362543407199758,Education increases yield
26,Eastern,Arua,Secondary,4.77781689088114,45,Male,404749,Borehole,Cassava,2022,Thesis,FGD,0.0025018789446543885,Education increases yield
27,Eastern,Gulu,Secondary,3.715690819413632,21,Female,359424,River,Maize,2022,Thesis,KII,0.007157464930963785,Education increases yield
28,Eastern,Gulu,Secondary,3.8453758170665058,62,Male,637272,Borehole,Coffee,2023,Thesis,Survey,0.007812673782100502,Education increases yield
29,Western,Mbarara,University,4.953227565528598,48,Male,1180549,River,Cassava,2023,Thesis,Survey,0.009960838157780587,Education increases yield
30,Western,Kampala,Primary,1.9333305874898943,46,Male,353233,Tap,Maize,2023,Thesis,KII,0.04036550100045814,Education increases yield
31,Central,Gulu,University,7.963485458031259,50,Male,611866,Well,Maize,2024,Thesis,KII,0.022535101457428822,Education increases yield
32,Central,Lira,Secondary,3.2706678058977268,21,Female,1527664,River,Cassava,2024,Thesis,Survey,0.008207213621248956,Education increases yield
33,Western,Gulu,Primary,1.7196983461430952,64,Female,993978,Tap,Coffee,2022,Thesis,Survey,0.005914551379466573,Education increases yield
34,Eastern,Gulu,Secondary,4.840189823707124,43,Male,778427,Well,Cassava,2022,Thesis,Survey,0.015599082477722914,Education increases yield
35,Eastern,Kampala,Secondary,4.602768291993094,48,Female,1362433,Tap,Coffee,2024,Thesis,FGD,0.04010276041651817,Education increases yield
36,Central,Arua,Secondary,4.889863249796301,48,Female,1517927,Well,Maize,2022,Thesis,KII,0.01885853254904253,Education increases yield
37,Western,Gulu,Secondary,3.0367794599095963,44,Female,1867668,Borehole,Cassava,2024,Thesis,Survey,0.008834970654402967,Education increases yield
38,Central,Mbarara,None,3.764057949300346,42,Female,927382,River,Coffee,2023,Thesis,KII,0.020801692895761836,Education increases yield
39,Central,Arua,Secondary,2.98424662583275,53,Male,493366,Tap,Cassava,2024,Thesis,FGD,0.02821026630706582,Education increases yield
40,Northern,Lira,University,6.954247313734068,48,Female,1070735,River,Maize,2024,Thesis,FGD,0.0024496249982626788,Education increases yield
41,Northern,Kampala,Primary,2.3413445041314134,60,Male,1942851,Borehole,Cassava,2024,Thesis,Survey,0.03175444827056848,Education increases yield
42,Northern,Lira,Secondary,3.0133584826349527,54,Male,1782881,Borehole,Maize,2022,Thesis,KII,0.020359936897724678,Education increases yield
43,Eastern,Arua,Primary,2.1297905771867502,62,Male,346166,River,Maize,2024,Thesis,FGD,0.0014765678814285248,Education increases yield
44,Western,Arua,Secondary,4.22330760088587,61,Male,755524,Tap,Maize,2024,Thesis,KII,0.03402058054837267,Education increases yield
45,Western,Arua,Secondary,3.55002678813653,40,Male,600880,Tap,Coffee,2024,Thesis,KII,0.03590699414256976,Education increases yield
46,Western,Lira,Secondary,5.137223621534849,52,Male,492065,Tap,Coffee,2023,Thesis,Survey,0.03181314963937546,Education increases yield
47,Western,Arua,Primary,2.338374254537529,21,Male,557525,River,Beans,2024,Thesis,FGD,0.017754580662322692,Education increases yield
48,Northern,Lira,Secondary,2.8587253289817136,45,Male,1184723,Tap,Coffee,2024,Thesis,FGD,0.026950637849232097,Education increases yield
49,Eastern,Arua,None,0.2,59,Male,1050022,Tap,Beans,2024,Thesis,FGD,0.019970727600538335,Education increases yield
50,Eastern,Mbarara,Primary,3.106165090611456,58,Male,1675569,Well,Cassava,2022,Thesis,KII,0.035330464777825026,Education increases yield
51,Northern,Arua,None,0.2,59,Female,903948,Tap,Maize,2023,Thesis,FGD,0.029595429125450746,Education increases yield
52,Eastern,Lira,Primary,2.8164260730490835,30,Female,586795,Borehole,Coffee,2023,Thesis,FGD,0.005008156577545038,Education increases yield
53,Northern,Gulu,Secondary,4.644655185666959,18,Female,635883,Tap,Maize,2024,Thesis,KII,0.032511584352730875,Education increases yield
54,Western,Arua,Secondary,3.204644636075983,29,Male,591685,River,Beans,2024,Thesis,FGD,0.03467468230255228,Education increases yield
55,Northern,Gulu,Secondary,5.090738083774891,60,Male,1802844,River,Coffee,2022,Thesis,FGD,0.01916440685012027,Education increases yield
56,Western,Mbarara,Primary,0.7822063762383678,57,Male,1889824,Tap,Coffee,2024,Thesis,KII,0.04391350326702552,Education increases yield
57,Western,Kampala,University,7.096458933998559,43,Male,956276,River,Coffee,2022,Thesis,FGD,0.042307703387403174,Education increases yield
58,Central,Mbarara,Secondary,4.159142066403992,63,Male,263470,River,Coffee,2024,Thesis,Survey,0.009583159671087155,Education increases yield
59,Northern,Arua,Secondary,4.0810020242691065,63,Female,1583482,Tap,Maize,2022,Thesis,KII,0.04530904911580756,Education increases yield
60,Central,Gulu,University,5.622103357019427,40,Female,564789,Well,Coffee,2023,Thesis,FGD,0.0226027462032588,Education increases yield
61,Northern,Gulu,University,5.862977995600074,39,Male,873286,Well,Beans,2024,Thesis,Survey,0.03646373297908038,Education increases yield
62,Northern,Lira,Primary,4.118802025020598,45,Male,217621,Well,Coffee,2022,Thesis,KII,0.04089075334139457,Education increases yield
63,Central,Gulu,Primary,3.7151550088717538,34,Female,1373180,Well,Beans,2022,Thesis,FGD,0.025750508632414806,Education increases yield
64,Central,Lira,University,7.542084588523799,23,Female,540920,Borehole,Beans,2024,Thesis,KII,0.020555995029169973,Education increases yield
65,Northern,Kampala,Secondary,5.139848103529688,31,Female,1247346,Tap,Maize,2022,Thesis,Survey,0.045857117062139824,Education increases yield
66,Eastern,Arua,None,2.046013544671269,34,Male,235031,River,Coffee,2024,Thesis,KII,0.012311824093835737,Education increases yield
67,Western,Lira,Secondary,3.8766437877137916,55,Male,1542866,River,Beans,2024,Thesis,FGD,0.01359153380823808,Education increases yield
68,Central,Kampala,University,6.847603551814351,22,Male,708186,Tap,Coffee,2022,Thesis,Survey,0.01871939538665842,Education increases yield
69,Western,Gulu,Secondary,2.7274916219589915,30,Male,994430,River,Maize,2022,Thesis,KII,0.04311382312055771,Education increases yield
70,Eastern,Gulu,Secondary,4.110304373192474,26,Female,314619,Borehole,Maize,2022,Thesis,FGD,0.04700062494644072,Education increases yield
71,Eastern,Kampala,University,7.983414249539186,61,Female,1158012,Well,Coffee,2023,Thesis,FGD,0.01178331802298823,Education increases yield
72,Eastern,Gulu,Primary,1.8392927517428643,59,Male,1718140,Tap,Beans,2024,Thesis,Survey,0.043329637233931025,Education increases yield
73,Central,Kampala,Primary,3.523141204687226,43,Female,1366550,River,Cassava,2024,Thesis,Survey,0.013651945013959898,Education increases yield
74,Eastern,Lira,Secondary,4.2915857386937635,30,Male,493245,Borehole,Cassava,2023,Thesis,KII,0.048561421090744517,Education increases yield
75,Central,Lira,University,5.414628134330267,36,Female,985452,River,Maize,2023,Thesis,FGD,0.030272986707097535,Education increases yield
76,Eastern,Kampala,Primary,1.3926804866536884,34,Male,1590484,Borehole,Beans,2022,Thesis,Survey,0.0013472369049217373,Education increases yield
77,Western,Lira,Secondary,5.119302869707755,33,Female,1666539,River,Cassava,2024,Thesis,FGD,0.002672365299487716,Education increases yield
78,Western,Lira,Secondary,4.752524085258385,47,Female,573980,Well,Beans,2023,Thesis,KII,0.008226742009430715,Education increases yield
79,Northern,Lira,Secondary,4.301764072987625,49,Female,1964736,Tap,Coffee,2023,Thesis,Survey,0.010191084733119079,Education increases yield
80,Western,Mbarara,Secondary,3.9259681857520548,31,Male,1868190,Well,Maize,2024,Thesis,KII,0.03861333701850324,Education increases yield
81,Northern,Arua,University,7.010567977628585,32,Female,464026,Well,Coffee,2024,Thesis,KII,0.011915527944430546,Education increases yield
82,Western,Gulu,Secondary,5.080296249253249,29,Male,1418603,River,Coffee,2024,Thesis,Survey,0.04848793938244313,Education increases yield
83,Central,Mbarara,Secondary,5.675853280487285,54,Male,939555,Well,Coffee,2022,Thesis,KII,0.03216949080294398,Education increases yield
84,Western,Lira,Secondary,5.723684199440605,28,Female,259965,Tap,Beans,2023,Thesis,FGD,0.034933357953422374,Education increases yield
85,Northern,Kampala,Secondary,4.571959900758499,22,Male,837244,Borehole,Cassava,2022,Thesis,Survey,0.01167300944497517,Education increases yield
86,Northern,Lira,Primary,2.3280683096354795,28,Male,419866,Borehole,Coffee,2024,Thesis,FGD,0.044742609390659153,Education increases yield
87,Eastern,Arua,Primary,2.6462480078188557,51,Male,1993358,River,Maize,2024,Thesis,KII,0.03372291406817664,Education increases yield
88,Central,Lira,Secondary,4.72212035725508,36,Male,372632,Tap,Beans,2023,Thesis,Survey,0.04335587559275133,Education increases yield
89,Western,Kampala,None,1.7180669438450913,43,Female,755631,Tap,Cassava,2022,Thesis,FGD,0.047867573764330124,Education increases yield
90,Eastern,Arua,Primary,3.8079866371401048,43,Male,1498126,Borehole,Coffee,2022,Thesis,FGD,0.0071564078783702256,Education increases yield
91,Western,Lira,Secondary,6.315755721916656,34,Female,1070375,Borehole,Maize,2022,Thesis,FGD,0.005732774283178338,Education increases yield
92,Western,Arua,Secondary,3.994745370385914,48,Male,315154,Well,Coffee,2024,Thesis,FGD,0.040366983502892154,Education increases yield
93,Eastern,Gulu,Primary,4.655884908824462,36,Male,597166,River,Cassava,2023,Thesis,FGD,0.043440176895614344,Education increases yield
94,Eastern,Gulu,Secondary,5.372239246758394,61,Male,334961,Borehole,Cassava,2022,Thesis,KII,0.0296043096230213,Education increases yield
95,Eastern,Lira,Secondary,4.099177009814793,37,Male,1736296,Borehole,Coffee,2024,Thesis,KII,0.018934026839775513,Education increases yield
96,Eastern,Arua,Primary,3.9985648388650796,40,Male,743264,Tap,Coffee,2024,Thesis,KII,0.032978852167685965,Education increases yield
97,Eastern,Kampala,University,8.485648301419165,42,Male,485160,Tap,Beans,2022,Thesis,KII,0.01597753955703041,Education increases yield
98,Western,Lira,Secondary,3.7397045558061532,45,Male,930107,Tap,Cassava,2023,Thesis,KII,0.01268089891551994,Education increases yield
99,Eastern,Gulu,Secondary,5.932215252485648,54,Male,1926678,Borehole,Cassava,2023,Thesis,KII,0.02491911526683601,Education increases yield
100,Central,Gulu,Secondary,5.275082821035964,29,Male,918698,River,Coffee,2022,Thesis,KII,0.011591537552712604,Education increases yield
101,Northern,Lira,University,9.0,18,Female,753620,Well,Maize,2024,Thesis,FGD,0.024701476807443473,Education increases yield
102,Eastern,Arua,Secondary,3.7759614180005014,19,Female,409697,River,Coffee,2024,Thesis,KII,0.047873718767715026,Education increases yield
103,Eastern,Gulu,Secondary,3.846573256264004,27,Male,1908372,Borehole,Coffee,2022,Thesis,FGD,0.04214941774525213,Education increases yield
104,Western,Arua,Secondary,2.17333787025666,51,Male,348159,Well,Cassava,2024,Thesis,Survey,0.047139915055501094,Education increases yield
105,Eastern,Gulu,Primary,3.0711939205679624,49,Male,1042134,River,Beans,2024,Thesis,KII,0.04051011976752057,Education increases yield
106,Eastern,Gulu,Primary,2.875251255618718,42,Female,1274004,Borehole,Coffee,2022,Thesis,FGD,0.01838279586136756,Education increases yield
107,Eastern,Mbarara,Secondary,3.6370063284643335,27,Female,1191537,River,Maize,2024,Thesis,Survey,0.040790216689026396,Education increases yield
108,Western,Gulu,Secondary,4.118149268511942,18,Female,883514,Borehole,Maize,2022,Thesis,Survey,0.04622287143410749,Education increases yield
109,Eastern,Kampala,Secondary,2.888778989824885,49,Male,1864909,Tap,Coffee,2022,Thesis,FGD,0.04740475360401567,Education increases yield
110,Northern,Lira,Primary,3.698444952831686,54,Male,1485588,River,Maize,2022,Thesis,FGD,0.03447669468356486,Education increases yield
111,Western,Lira,Secondary,3.71030052547169,29,Female,455739,Tap,Maize,2024,Thesis,FGD,0.011356965546940545,Education increases yield
112,Northern,Arua,Primary,5.594049015620952,35,Male,1686539,Tap,Coffee,2022,Thesis,KII,0.0029467285148698516,Education increases yield
113,Western,Gulu,Secondary,4.024398699288968,47,Male,307369,Well,Maize,2024,Thesis,Survey,0.008212811179847634,Education increases yield
114,Eastern,Kampala,Secondary,3.4403811589516904,30,Female,234349,Well,Maize,2022,Thesis,KII,0.04831179897680333,Education increases yield
115,Northern,Arua,Secondary,3.787686881265138,20,Male,1449141,River,Coffee,2023,Thesis,KII,0.023642744385445703,Education increases yield
116,Western,Mbarara,Secondary,2.788039023455749,38,Female,1285934,Borehole,Cassava,2024,Thesis,KII,0.04289431472677082,Education increases yield
117,Central,Arua,Secondary,4.682271890702943,59,Female,776772,Well,Beans,2024,Thesis,Survey,0.023787163524356267,Education increases yield
118,Eastern,Arua,Secondary,3.780100300220878,31,Male,1984385,Well,Beans,2024,Thesis,Survey,0.033380061589532134,Education increases yield
119,Western,Gulu,Secondary,5.331252790397738,57,Female,1299413,Tap,Cassava,2023,Thesis,Survey,0.0021828980789943488,Education increases yield
120,Central,Mbarara,None,0.9252525048255825,27,Male,799621,Tap,Coffee,2022,Thesis,FGD,0.01324338219324897,Education increases yield
121,Western,Arua,Secondary,5.584442111685647,19,Female,1518251,Borehole,Cassava,2023,Thesis,KII,0.022377194722086876,Education increases yield
122,Central,Kampala,Secondary,4.957455749317041,62,Male,213825,Well,Beans,2022,Thesis,FGD,0.031900921310554,Education increases yield
123,Eastern,Kampala,Secondary,4.228596776718344,54,Male,1181532,Well,Beans,2022,Thesis,FGD,0.009404538214605747,Education increases yield
124,Northern,Lira,Secondary,5.780232587350822,28,Male,534591,Borehole,Beans,2022,Thesis,KII,0.03846302174925401,Education increases yield
125,Central,Mbarara,University,7.752293461037209,18,Male,625532,Well,Beans,2022,Thesis,Survey,0.01885583060067563,Education increases yield
126,Western,Mbarara,University,9.0,43,Female,533411,River,Coffee,2022,Thesis,KII,0.04105432819246034,Education increases yield
127,Eastern,Lira,Primary,2.0905447550217957,59,Female,479423,River,Beans,2023,Thesis,FGD,0.005800485429358297,Education increases yield
128,Central,Arua,Primary,2.5766161054584606,30,Male,1885958,Borehole,Beans,2024,Thesis,Survey,0.034308072796436224,Education increases yield
129,Western,Mbarara,Secondary,5.76870901101093,45,Male,573903,Tap,Coffee,2023,Thesis,Survey,0.015373088327118999,Education increases yield
130,Western,Kampala,Primary,0.9564621881648876,53,Male,899583,Borehole,Cassava,2024,Thesis,FGD,0.03997377553200828,Education increases yield
131,Western,Kampala,Secondary,5.516943563232562,38,Female,1469600,River,Coffee,2024,Thesis,Survey,0.02070635092507812,Education increases yield
132,Central,Gulu,University,7.239302757681471,27,Female,1407648,Well,Beans,2024,Thesis,Survey,0.03360213198091476,Education increases yield
133,Central,Mbarara,Primary,1.6117892445527522,29,Male,498443,Well,Maize,2023,Thesis,KII,0.046780958163187204,Education increases yield
134,Central,Arua,Primary,1.1369603414488785,63,Female,407274,Tap,Coffee,2022,Thesis,KII,0.0020107049686744535,Education increases yield
135,Northern,Lira,Primary,1.827510526869716,44,Male,1660037,Tap,Coffee,2022,Thesis,FGD,0.0015447223343843081,Education increases yield
136,Central,Lira,Secondary,1.9151804276744282,20,Female,429174,River,Cassava,2024,Thesis,FGD,0.03874368335665896,Education increases yield
137,Central,Arua,Secondary,3.7104605563084965,45,Male,1669131,Tap,Beans,2022,Thesis,FGD,0.03267325952389583,Education increases yield
138,Central,Gulu,Primary,3.1225563333425814,19,Male,925748,Borehole,Maize,2022,Thesis,Survey,0.015356006304717201,Education increases yield
139,Northern,Lira,University,6.323699359031172,45,Male,394891,River,Coffee,2023,Thesis,FGD,0.02522543843593886,Education increases yield
140,Central,Mbarara,Secondary,5.588312701433808,48,Female,673033,Well,Coffee,2022,Thesis,KII,0.0030548476143445686,Education increases yield
141,Western,Gulu,None,2.8599476027252875,60,Male,589031,Well,Coffee,2022,Thesis,Survey,0.0104298346627008,Education increases yield
142,Central,Mbarara,Secondary,5.475644482625775,38,Female,1362650,Well,Maize,2023,Thesis,FGD,0.021800322351831207,Education increases yield
143,Western,Kampala,Secondary,4.430640910264366,24,Female,836979,Tap,Coffee,2022,Thesis,Survey,0.04186817639485264,Education increases yield
144,Western,Gulu,Primary,0.2,48,Male,621247,River,Coffee,2024,Thesis,Survey,0.024503691960144156,Education increases yield
145,Western,Lira,None,0.49630250796739406,31,Male,1920562,Tap,Maize,2023,Thesis,Survey,0.02973176272177296,Education increases yield
146,Northern,Gulu,None,1.057961473225613,56,Male,747590,Borehole,Coffee,2022,Thesis,FGD,0.04381393580769524,Education increases yield
147,Northern,Gulu,Primary,1.6061323504951892,56,Female,1884141,River,Maize,2022,Thesis,Survey,0.01613212676585342,Education increases yield
148,Northern,Gulu,University,6.660494524513429,26,Female,1950627,Tap,Cassava,2023,Thesis,Survey,0.03533426673400074,Education increases yield
149,Central,Gulu,University,8.410067468693379,40,Female,1671904,Well,Maize,2024,Thesis,Survey,0.043221695675234414,Education increases yield
150,Western,Mbarara,Primary,0.8542234704846818,29,Female,455450,Well,Cassava,2023,Thesis,KII,0.01092816933411266,Education increases yield
151,Northern,Kampala,Primary,4.311692056119027,46,Female,1057479,Borehole,Maize,2024,Thesis,FGD,0.018467430092243792,Education increases yield
152,Northern,Arua,Primary,3.384726421754137,55,Female,303812,Borehole,Beans,2023,Thesis,KII,0.049010698520578405,Education increases yield
153,Central,Gulu,Primary,2.7682168082776957,56,Female,1449852,Borehole,Coffee,2022,Thesis,Survey,0.04917770967501434,Education increases yield
154,Northern,Lira,University,6.086383444259236,39,Male,1123591,Well,Cassava,2023,Thesis,Survey,0.011938266584402956,Education increases yield
155,Central,Gulu,Primary,1.6260496545085745,21,Male,403623,Tap,Coffee,2023,Thesis,KII,0.004255846105738778,Education increases yield
156,Eastern,Lira,Primary,0.8737822854112602,24,Male,428027,Well,Coffee,2024,Thesis,Survey,0.014275158954192593,Education increases yield
157,Northern,Mbarara,Primary,4.216765480314387,57,Female,328407,Well,Maize,2023,Thesis,KII,0.02048886590788068,Education increases yield
158,Eastern,Lira,Secondary,5.737611560074042,25,Male,721404,Well,Beans,2024,Thesis,Survey,0.022609274445627024,Education increases yield
159,Central,Arua,Primary,1.0937153714167178,52,Female,1673106,Tap,Maize,2023,Thesis,Survey,0.03132150905919076,Education increases yield
160,Western,Kampala,Secondary,3.647372005093799,26,Female,1711331,Well,Coffee,2022,Thesis,Survey,0.045075635246445776,Education increases yield
161,Northern,Lira,Primary,2.933144769231909,30,Female,1902170,Borehole,Maize,2023,Thesis,Survey,0.017187052583450962,Education increases yield
162,Central,Lira,Secondary,3.9004908618277923,56,Female,1930171,Borehole,Cassava,2022,Thesis,FGD,0.04264924223946122,Education increases yield
163,Western,Kampala,Secondary,2.2813252429681823,37,Male,1440220,Borehole,Beans,2024,Thesis,FGD,0.005580467125404718,Education increases yield
164,Western,Arua,Primary,1.8422272394443118,38,Female,1562067,Borehole,Coffee,2024,Thesis,FGD,0.0030518602496875215,Education increases yield
165,Eastern,Gulu,Secondary,6.1510342980200186,64,Male,1805701,Well,Maize,2024,Thesis,KII,0.025698213973049604,Education increases yield
166,Central,Lira,University,6.210021409585556,36,Female,1389233,Well,Cassava,2024,Thesis,KII,0.0039234489431996394,Education increases yield
167,Western,Kampala,University,6.636532663297793,19,Male,1514379,Well,Beans,2023,Thesis,KII,0.02023200026047728,Education increases yield
168,Northern,Mbarara,Secondary,3.0548225759646197,61,Female,1078193,Borehole,Maize,2023,Thesis,KII,0.044942127726592486,Education increases yield
169,Northern,Kampala,Secondary,4.787762985283749,57,Female,1778498,Tap,Maize,2023,Thesis,FGD,0.012832668774166195,Education increases yield
170,Eastern,Mbarara,University,6.915151799024583,47,Male,1365545,River,Coffee,2022,Thesis,KII,0.035592812981120256,Education increases yield
171,Western,Arua,Secondary,3.4579802584430217,40,Male,1091558,River,Cassava,2023,Thesis,KII,0.015815904227113278,Education increases yield
172,Central,Gulu,None,0.2,57,Male,1776546,River,Beans,2022,Thesis,KII,0.0032010827068646446,Education increases yield
173,Northern,Kampala,University,8.204543374010875,30,Female,925458,Tap,Maize,2022,Thesis,Survey,0.028277838489105162,Education increases yield
174,Western,Lira,Primary,0.8944565933589197,50,Female,1122156,Well,Beans,2023,Thesis,KII,0.041907821036300835,Education increases yield
175,Western,Arua,Secondary,4.703815695589555,49,Female,1204355,River,Cassava,2022,Thesis,Survey,0.02106395396878835,Education increases yield
176,Eastern,Kampala,Primary,0.3461207552884269,45,Male,1323614,River,Coffee,2024,Thesis,KII,0.03124739749644627,Education increases yield
177,Northern,Lira,None,1.9072116830123824,41,Male,1187753,Well,Coffee,2023,Thesis,KII,0.04510115628522857,Education increases yield
178,Northern,Kampala,Primary,3.4702988872600606,59,Male,1647205,River,Coffee,2023,Thesis,Survey,0.0396950311241124,Education increases yield
179,Central,Mbarara,Secondary,5.294783711639914,45,Female,221984,Well,Beans,2022,Thesis,KII,0.010499943570248145,Education increases yield
180,Northern,Kampala,Primary,2.338791531430132,47,Female,1531207,River,Beans,2023,Thesis,Survey,0.036935814008885286,Education increases yield
181,Central,Kampala,Primary,4.084003605563696,58,Male,202075,Well,Maize,2023,Thesis,KII,0.02559275823284745,Education increases yield
182,Northern,Kampala,Primary,4.807791694996068,46,Female,626766,Borehole,Cassava,2022,Thesis,KII,0.03755237358641815,Education increases yield
183,Eastern,Arua,Secondary,3.878376863954037,51,Female,285726,Tap,Cassava,2023,Thesis,Survey,0.025231261975588695,Education increases yield
184,Northern,Kampala,University,6.3489949698700725,39,Female,1608519,River,Cassava,2023,Thesis,FGD,0.00726995004130684,Education increases yield
185,Central,Lira,Secondary,4.349177260344936,42,Male,1815157,Well,Beans,2023,Thesis,Survey,0.028925562887772722,Education increases yield
186,Central,Mbarara,Secondary,3.722319854105793,31,Male,670661,Borehole,Coffee,2022,Thesis,FGD,0.025114565627469658,Education increases yield
187,Eastern,Mbarara,University,6.1761298039898795,27,Male,360284,Well,Cassava,2023,Thesis,Survey,0.02637816494843065,Education increases yield
188,Northern,Kampala,Secondary,3.6632614597584907,27,Female,1919789,River,Maize,2023,Thesis,FGD,0.044066220228647646,Education increases yield
189,Northern,Arua,Primary,4.215756008006245,25,Male,1560929,River,Beans,2023,Thesis,KII,0.04484701528860632,Education increases yield
190,Eastern,Arua,Primary,3.271881995035432,31,Male,1983847,River,Coffee,2024,Thesis,FGD,0.023223318231520202,Education increases yield
191,Northern,Lira,Primary,2.019053872741909,62,Female,1489545,River,Cassava,2023,Thesis,KII,0.023330870022724333,Education increases yield
192,Northern,Kampala,Primary,0.2,55,Female,1163468,River,Coffee,2022,Thesis,Survey,0.026244160984758187,Education increases yield
193,Central,Mbarara,Secondary,2.655535506393533,49,Female,653717,Borehole,Maize,2024,Thesis,FGD,0.02645987463837859,Education increases yield
194,Northern,Arua,Secondary,4.703429082601878,62,Female,588820,Well,Cassava,2022,Thesis,KII,0.04756897006477652,Education increases yield
195,Northern,Kampala,Primary,0.3784440586111826,49,Male,977331,Well,Cassava,2023,Thesis,Survey,0.03282062290149718,Education increases yield
196,Eastern,Arua,Secondary,4.492993527451956,20,Female,266856,River,Coffee,2023,Thesis,FGD,0.014595392749509255,Education increases yield
197,Eastern,Arua,Secondary,3.1344362751349744,37,Female,575162,Well,Beans,2023,Thesis,KII,0.027045303050745508,Education increases yield
198,Western,Mbarara,Primary,2.5918057745806733,30,Female,1764329,Borehole,Coffee,2024,Thesis,FGD,0.03173395556249116,Education increases yield
199,Central,Gulu,University,6.863856301334143,40,Female,1592243,River,Maize,2023,Thesis,FGD,0.03234881432968426,Education increases yield
200,Northern,Lira,Secondary,4.3205899338907106,36,Female,761473,Tap,Coffee,2022,Thesis,KII,0.029677457085670954,Education increases yield
201,Northern,Lira,Primary,2.1055781529214794,33,Female,400307,Borehole,Coffee,2024,Thesis,KII,0.009709071576455331,Education increases yield
202,Western,Mbarara,Secondary,3.772714374392268,53,Male,1691676,River,Cassava,2022,Thesis,Survey,0.0026460662648958664,Education increases yield
203,Northern,Arua,Secondary,3.4792095810635617,52,Male,1966794,Well,Beans,2022,Thesis,KII,0.017554309565975867,Education increases yield
204,Central,Kampala,Secondary,4.68389231724189,64,Male,1229476,Borehole,Beans,2022,Thesis,KII,0.021948585573452428,Education increases yield
205,Western,Arua,Secondary,5.0051926747809485,64,Male,1342321,River,Beans,2022,Thesis,FGD,0.004028407739228244,Education increases yield
206,Central,Mbarara,Secondary,2.981027477463874,24,Female,1706118,Well,Beans,2022,Thesis,KII,0.04093339956297246,Education increases yield
207,Western,Lira,Secondary,4.148371527707731,54,Female,1812194,Well,Coffee,2023,Thesis,FGD,0.017859794438003417,Education increases yield
