ID,Project_Code,Region,District,Education,Sector,Indicator,Indicator_Type,Crop,Water_Source,Irrigation,Baseline,Target,Achieved,Yield,Variance,Achievement_Status,Reporting_Period,Month,Year,Beneficiaries_Target,Beneficiaries_Reached,Budget_UGX,Expenditure_UGX,Donor,Implementing_Partner,Income_UGX
360,UG-2024-1020,Northern,Mbarara,Primary,Education,% HH with Latrine,Output,Education,Borehole,No,34.7,57.8,39.3,68.1,-18.4,At Risk,Q2 2024,Jan,2024,13309,21084,185551499,127600498,USAID,DRC,493696
361,UG-2024-1021,Central,Kampala,Primary,Livelihood,% HH with Improved Water,Output,Livelihood,Borehole,No,51.1,85.2,70.3,82.5,-14.9,On Track,Q2 2024,Jan,2024,1569,12273,134710286,165507947,UNHCR,IRC,1811750
362,UG-2024-1022,Central,Gulu,Primary,Protection,% Children Immunized,Outcome,Protection,Borehole,No,38.9,64.9,65.3,100.7,0.5,Achieved,Q2 2024,Jan,2024,3550,15877,56578983,56721224,UNHCR,IRC,1297679
363,UG-2024-1023,Western,Mbarara,Primary,Livelihood,% HH with Improved Water,Outcome,Livelihood,Borehole,No,35.8,59.6,53.2,89.2,-6.5,On Track,Q1 2024,Jan,2024,16992,3548,107706178,39440229,USAID,IRC,1850814
364,UG-2024-1024,Northern,Gulu,None,Education,% HH with Latrine,Outcome,Education,Borehole,No,36.8,61.3,75.3,122.8,14.0,Achieved,Q2 2024,Jan,2024,12981,8232,167228474,65885164,UNHCR,IRC,810857
365,UG-2024-1025,Central,Mbarara,Secondary,WASH,% HH with Latrine,Outcome,WASH,Borehole,No,52.4,87.3,101.5,116.3,14.2,Achieved,Q1 2024,Jan,2024,13247,9815,23169286,44824984,EU,IRC,1800340
366,UG-2024-1026,Central,Gulu,None,Health,% HH with Latrine,Output,Health,Borehole,No,55.3,92.2,103.1,111.9,11.0,Achieved,Q1 2024,Jan,2024,14032,1134,173393701,49385818,EU,World Vision,1423141
367,UG-2024-1027,Central,Gulu,Secondary,Livelihood,% HH with Latrine,Output,Livelihood,Borehole,No,52.1,86.8,55.7,64.2,-31.1,At Risk,Q1 2024,Jan,2024,9650,11806,123838259,39755934,EU,DRC,1441269
368,UG-2024-1028,Northern,Gulu,Primary,Food Security,% HH with Improved Water,Outcome,Food Security,Borehole,No,56.9,94.9,79.1,83.4,-15.8,On Track,Q1 2024,Jan,2024,4446,20453,197535772,104478509,UNHCR,World Vision,1076211
369,UG-2024-1029,Central,Kampala,None,Education,% Children Immunized,Outcome,Education,Borehole,No,40.3,67.2,55.2,82.1,-12.0,On Track,Q2 2024,Jan,2024,14414,13694,35141264,65771104,USAID,DRC,138207
370,UG-2024-1030,Eastern,Gulu,Secondary,Protection,% Children Immunized,Output,Protection,Borehole,No,35.8,59.7,46.3,77.5,-13.4,At Risk,Q2 2024,Jan,2024,12835,20611,5231690,126023978,EU,DRC,1660016
371,UG-2024-1031,Eastern,Kampala,None,Food Security,% Children Immunized,Output,Food Security,Borehole,No,44.6,74.4,77.8,104.6,3.5,Achieved,Q2 2024,Jan,2024,12709,21211,108868905,5358568,EU,IRC,1064239
372,UG-2024-1032,Western,Mbarara,Secondary,Health,% HH with Latrine,Outcome,Health,Borehole,No,37.7,62.8,57.0,90.9,-5.7,On Track,Q2 2024,Jan,2024,15907,2519,68858346,15424652,USAID,IRC,131147
373,UG-2024-1033,Northern,Kampala,None,Education,% HH with Improved Water,Outcome,Education,Borehole,No,37.3,62.1,49.9,80.3,-12.2,On Track,Q1 2024,Jan,2024,15784,7936,141691276,27469873,USAID,World Vision,1337585
374,UG-2024-1034,Western,Gulu,Secondary,WASH,% HH with Latrine,Output,WASH,Borehole,No,35.6,59.3,46.9,79.0,-12.4,At Risk,Q1 2024,Jan,2024,8670,13169,192935050,83223458,USAID,DRC,1698196
375,UG-2024-1035,Central,Mbarara,None,Health,% Children Immunized,Output,Health,Borehole,No,52.3,87.1,73.6,84.4,-13.6,On Track,Q1 2024,Jan,2024,15516,20401,109480060,56059375,EU,DRC,1005429
376,UG-2024-1036,Western,Gulu,Primary,Livelihood,% HH with Latrine,Output,Livelihood,Borehole,No,46.1,76.8,76.6,99.8,-0.2,On Track,Q2 2024,Jan,2024,15599,15403,14007572,97107988,EU,World Vision,192549
377,UG-2024-1037,Eastern,Kampala,Secondary,WASH,% HH with Improved Water,Output,WASH,Borehole,No,45.0,75.0,49.4,65.9,-25.6,At Risk,Q2 2024,Jan,2024,12550,21539,119978242,132295760,EU,IRC,612032
378,UG-2024-1038,Central,Gulu,Secondary,Health,% HH with Improved Water,Outcome,Health,Borehole,No,50.4,84.0,49.9,59.4,-34.1,At Risk,Q2 2024,Jan,2024,1873,9483,125794592,164212384,USAID,IRC,318840
379,UG-2024-1039,Eastern,Gulu,None,Health,% HH with Improved Water,Output,Health,Borehole,No,41.8,69.6,54.3,78.0,-15.3,At Risk,Q2 2024,Jan,2024,6026,7870,119752436,103839184,EU,World Vision,1577361
380,UG-2024-1040,Central,Kampala,Primary,WASH,% HH with Improved Water,Outcome,WASH,Borehole,No,38.4,64.0,42.4,66.3,-21.6,At Risk,Q2 2024,Jan,2024,8499,7375,171025283,100892467,EU,World Vision,1786505
381,UG-2024-1041,Northern,Kampala,Secondary,Education,% HH with Latrine,Output,Education,Borehole,No,33.4,55.7,40.3,72.4,-15.4,At Risk,Q1 2024,Jan,2024,10423,21130,184254550,172909988,EU,IRC,1106643
382,UG-2024-1042,Northern,Mbarara,Secondary,Protection,% HH with Improved Water,Output,Protection,Borehole,No,50.1,83.5,68.6,82.1,-14.9,On Track,Q1 2024,Jan,2024,8673,6787,11890053,56240589,USAID,IRC,821597
383,UG-2024-1043,Eastern,Kampala,Primary,Protection,% HH with Latrine,Output,Protection,Borehole,No,43.3,72.2,44.5,61.6,-27.7,At Risk,Q2 2024,Jan,2024,3491,5861,117857339,17388743,UNHCR,World Vision,1488458
384,UG-2024-1044,Eastern,Mbarara,Secondary,Education,% HH with Improved Water,Outcome,Education,Borehole,No,44.4,74.0,59.3,80.2,-14.7,On Track,Q2 2024,Jan,2024,18447,9663,112265901,101784030,EU,DRC,1588299
385,UG-2024-1045,Northern,Kampala,None,Education,% HH with Latrine,Outcome,Education,Borehole,No,49.8,82.9,90.1,108.7,7.2,Achieved,Q2 2024,Jan,2024,8196,4693,62396079,73531648,UNHCR,World Vision,699499
386,UG-2024-1046,Eastern,Mbarara,Secondary,Protection,% Children Immunized,Output,Protection,Borehole,No,42.7,71.1,59.9,84.2,-11.2,On Track,Q1 2024,Jan,2024,8389,11702,176506316,76251413,UNHCR,World Vision,816792
387,UG-2024-1047,Central,Mbarara,Secondary,Education,% HH with Latrine,Output,Education,Borehole,No,34.7,57.8,66.9,115.8,9.1,Achieved,Q1 2024,Jan,2024,19695,10444,135987010,175954481,UNHCR,World Vision,1517757
388,UG-2024-1048,Central,Gulu,Secondary,Education,% HH with Improved Water,Outcome,Education,Borehole,No,52.5,87.5,56.4,64.4,-31.1,At Risk,Q2 2024,Jan,2024,19895,11120,69075469,29720032,UNHCR,DRC,1044473
389,UG-2024-1049,Western,Gulu,Primary,Health,% Children Immunized,Output,Health,Borehole,No,43.9,73.1,84.3,115.2,11.1,Achieved,Q2 2024,Jan,2024,16901,1664,140151249,146811891,USAID,World Vision,571487
390,UG-2024-1050,Central,Kampala,Secondary,Food Security,% Children Immunized,Output,Food Security,Borehole,No,35.9,59.8,40.1,67.0,-19.7,At Risk,Q1 2024,Jan,2024,2499,1461,38264876,125597169,USAID,IRC,1297579
391,UG-2024-1051,Central,Kampala,Secondary,Education,% HH with Latrine,Outcome,Education,Borehole,No,53.2,88.6,50.1,56.5,-38.5,At Risk,Q2 2024,Jan,2024,6439,1537,111206914,66521915,EU,World Vision,1576560
392,UG-2024-1052,Central,Gulu,Secondary,Protection,% Children Immunized,Output,Protection,Borehole,No,50.3,83.9,73.4,87.6,-10.4,On Track,Q2 2024,Jan,2024,12505,12899,77385447,58769054,UNHCR,World Vision,1486509
393,UG-2024-1053,Eastern,Mbarara,Secondary,Food Security,% HH with Improved Water,Output,Food Security,Borehole,No,35.8,59.7,40.7,68.1,-19.1,At Risk,Q2 2024,Jan,2024,11506,18714,82810642,121965613,EU,IRC,337361
394,UG-2024-1054,Eastern,Kampala,Secondary,Livelihood,% Children Immunized,Outcome,Livelihood,Borehole,No,44.0,73.3,77.5,105.7,4.2,Achieved,Q1 2024,Jan,2024,19159,20450,151767805,87362496,UNHCR,IRC,1558944
395,UG-2024-1055,Central,Mbarara,Secondary,Livelihood,% Children Immunized,Outcome,Livelihood,Borehole,No,46.1,76.8,76.5,99.5,-0.4,On Track,Q2 2024,Jan,2024,2611,1161,97205036,16289085,USAID,World Vision,678929
396,UG-2024-1056,Eastern,Mbarara,Primary,Education,% HH with Latrine,Outcome,Education,Borehole,No,49.4,82.3,64.4,78.3,-17.9,At Risk,Q2 2024,Jan,2024,16319,4677,172137682,40726982,UNHCR,DRC,1396077
397,UG-2024-1057,Western,Mbarara,None,Health,% Children Immunized,Output,Health,Borehole,No,30.2,50.3,56.9,113.0,6.5,Achieved,Q2 2024,Jan,2024,12151,19173,25865117,88681113,UNHCR,DRC,1081494
398,UG-2024-1058,Eastern,Gulu,Primary,Education,% HH with Latrine,Outcome,Education,Borehole,No,30.5,50.9,59.9,117.8,9.1,Achieved,Q2 2024,Jan,2024,8481,10756,12210615,82429642,EU,IRC,1923120
399,UG-2024-1059,Central,Kampala,Secondary,Education,% Children Immunized,Outcome,Education,Borehole,No,54.8,91.3,82.6,90.5,-8.7,On Track,Q2 2024,Jan,2024,19077,8583,86466586,88161704,UNHCR,World Vision,1508335
400,UG-2024-1060,Northern,Gulu,Secondary,Health,% Children Immunized,Output,Health,Borehole,No,30.2,50.3,41.5,82.5,-8.8,On Track,Q2 2024,Jan,2024,18656,7529,18162497,67648853,USAID,IRC,1062965
401,UG-2024-1061,Eastern,Mbarara,Secondary,Livelihood,% HH with Latrine,Outcome,Livelihood,Borehole,No,53.8,89.7,86.5,96.4,-3.2,On Track,Q1 2024,Jan,2024,10978,14603,12681802,115037185,USAID,DRC,767562
402,UG-2024-1062,Eastern,Kampala,Secondary,Education,% HH with Improved Water,Output,Education,Borehole,No,32.2,53.6,41.5,77.4,-12.1,At Risk,Q2 2024,Jan,2024,8388,3570,90102638,92026279,EU,DRC,1493098
403,UG-2024-1063,Western,Gulu,Primary,Education,% HH with Latrine,Output,Education,Borehole,No,39.0,65.1,51.1,78.5,-14.0,At Risk,Q2 2024,Jan,2024,10564,9121,83116055,80572585,EU,IRC,1547952
404,UG-2024-1064,Northern,Mbarara,Primary,Livelihood,% HH with Improved Water,Output,Livelihood,Borehole,No,41.0,68.3,38.6,56.5,-29.7,At Risk,Q2 2024,Jan,2024,10016,12505,41336299,45994064,USAID,World Vision,1459626
405,UG-2024-1065,Central,Mbarara,Primary,Livelihood,% HH with Improved Water,Output,Livelihood,Borehole,No,32.2,53.7,56.2,104.7,2.5,Achieved,Q2 2024,Jan,2024,3930,13322,145030467,31784392,EU,World Vision,732254
406,UG-2024-1066,Western,Gulu,Primary,Protection,% HH with Improved Water,Outcome,Protection,Borehole,No,34.2,57.0,66.6,117.0,9.7,Achieved,Q1 2024,Jan,2024,7121,3069,148594045,75920363,EU,World Vision,751962
407,UG-2024-1067,Central,Kampala,Secondary,Protection,% HH with Latrine,Output,Protection,Borehole,No,36.3,60.5,40.6,67.0,-19.9,At Risk,Q2 2024,Jan,2024,3984,4021,70100445,151740121,EU,IRC,1872825
408,UG-2024-1068,Eastern,Mbarara,Primary,WASH,% HH with Improved Water,Outcome,WASH,Borehole,No,54.2,90.3,92.8,102.8,2.5,Achieved,Q2 2024,Jan,2024,12738,9991,107161604,121333101,UNHCR,DRC,358378
409,UG-2024-1069,Eastern,Kampala,Secondary,Food Security,% HH with Latrine,Outcome,Food Security,Borehole,No,49.7,82.8,89.6,108.2,6.8,Achieved,Q1 2024,Jan,2024,9176,20871,137022630,163948697,USAID,DRC,1106725
410,UG-2024-1070,Central,Mbarara,Primary,Protection,% HH with Latrine,Outcome,Protection,Borehole,No,32.7,54.4,66.4,121.9,11.9,Achieved,Q1 2024,Jan,2024,13344,18725,156002135,31645324,UNHCR,World Vision,1901155
411,UG-2024-1071,Northern,Kampala,Secondary,Education,% HH with Improved Water,Outcome,Education,Borehole,No,46.4,77.3,67.1,86.8,-10.2,On Track,Q1 2024,Jan,2024,18577,9360,25588549,84831102,USAID,World Vision,1070259
412,UG-2024-1072,Western,Gulu,None,WASH,% Children Immunized,Output,WASH,Borehole,No,53.6,89.3,65.0,72.8,-24.3,At Risk,Q2 2024,Jan,2024,7813,6530,40374346,129481908,EU,IRC,288052
413,UG-2024-1073,Eastern,Kampala,Secondary,Education,% Children Immunized,Outcome,Education,Borehole,No,44.0,73.4,63.1,86.0,-10.3,On Track,Q1 2024,Jan,2024,18377,18927,95052287,164704186,UNHCR,DRC,1159353
414,UG-2024-1074,Northern,Mbarara,None,Food Security,% Children Immunized,Output,Food Security,Borehole,No,52.7,87.8,103.2,117.6,15.4,Achieved,Q1 2024,Jan,2024,14520,9037,166011807,145126296,UNHCR,World Vision,1984406
415,UG-2024-1075,Central,Kampala,Primary,Health,% HH with Improved Water,Outcome,Health,Borehole,No,45.6,76.0,86.1,113.4,10.2,Achieved,Q1 2024,Jan,2024,9981,7789,66450649,54244560,UNHCR,DRC,1801338
416,UG-2024-1076,Western,Mbarara,Secondary,Food Security,% Children Immunized,Output,Food Security,Borehole,No,39.6,66.0,58.2,88.2,-7.8,On Track,Q1 2024,Jan,2024,12517,14312,179351839,149862698,UNHCR,World Vision,1831454
417,UG-2024-1077,Central,Mbarara,Primary,Health,% HH with Latrine,Output,Health,Borehole,No,49.3,82.2,97.1,118.1,14.9,Achieved,Q2 2024,Jan,2024,575,14142,128819048,122733752,USAID,DRC,1799944
418,UG-2024-1078,Eastern,Mbarara,None,WASH,% HH with Improved Water,Output,WASH,Borehole,No,37.8,63.1,76.1,120.7,13.1,Achieved,Q2 2024,Jan,2024,14798,6101,139417183,21685026,UNHCR,DRC,899883
419,UG-2024-1079,Eastern,Kampala,Secondary,WASH,% Children Immunized,Output,WASH,Borehole,No,35.5,59.2,42.7,72.1,-16.6,At Risk,Q1 2024,Jan,2024,8868,13958,177428653,152305319,EU,DRC,159409
420,UG-2024-1080,Eastern,Gulu,Secondary,Education,% Children Immunized,Output,Education,Borehole,No,51.0,85.0,57.4,67.6,-27.5,At Risk,Q1 2024,Jan,2024,8845,15670,24016164,65490356,USAID,IRC,1973448
421,UG-2024-1081,Central,Mbarara,Primary,Health,% HH with Latrine,Output,Health,Borehole,No,41.6,69.4,58.6,84.6,-10.7,On Track,Q2 2024,Jan,2024,10626,17691,108869997,155430721,UNHCR,World Vision,1312068
422,UG-2024-1082,Western,Mbarara,Primary,Protection,% HH with Latrine,Output,Protection,Borehole,No,41.2,68.6,74.7,109.0,6.1,Achieved,Q1 2024,Jan,2024,6415,19865,62276650,59321321,UNHCR,DRC,488730
423,UG-2024-1083,Central,Gulu,None,Health,% Children Immunized,Outcome,Health,Borehole,No,32.9,54.9,52.3,95.2,-2.7,On Track,Q1 2024,Jan,2024,5462,12307,78502949,72898792,UNHCR,DRC,1782814
424,UG-2024-1084,Eastern,Kampala,None,Livelihood,% HH with Latrine,Output,Livelihood,Borehole,No,35.6,59.3,58.8,99.3,-0.4,On Track,Q2 2024,Jan,2024,14868,5666,132830675,108298697,UNHCR,World Vision,1611097
425,UG-2024-1085,Northern,Mbarara,Primary,Health,% Children Immunized,Output,Health,Borehole,No,53.6,89.4,92.8,103.8,3.4,Achieved,Q1 2024,Jan,2024,1738,14299,133466981,138454857,EU,World Vision,1238478
426,UG-2024-1086,Eastern,Mbarara,Primary,WASH,% HH with Latrine,Outcome,WASH,Borehole,No,48.4,80.6,57.2,70.9,-23.4,At Risk,Q2 2024,Jan,2024,13417,20268,199291033,139037172,UNHCR,DRC,534660
427,UG-2024-1087,Eastern,Gulu,Primary,WASH,% HH with Latrine,Outcome,WASH,Borehole,No,38.3,63.8,73.7,115.4,9.8,Achieved,Q1 2024,Jan,2024,5870,8701,85723855,65110958,EU,IRC,1913539
428,UG-2024-1088,Northern,Gulu,None,Protection,% HH with Improved Water,Outcome,Protection,Borehole,No,55.7,92.9,61.8,66.6,-31.0,At Risk,Q1 2024,Jan,2024,15025,7484,9033443,117543354,UNHCR,DRC,1566807
429,UG-2024-1089,Northern,Kampala,Primary,Health,% HH with Latrine,Outcome,Health,Borehole,No,55.9,93.1,83.1,89.2,-10.0,On Track,Q2 2024,Jan,2024,11023,3037,145392901,78122286,USAID,IRC,1831315
430,UG-2024-1090,Eastern,Kampala,Secondary,Education,% HH with Latrine,Outcome,Education,Borehole,No,32.8,54.6,49.9,91.4,-4.7,On Track,Q1 2024,Jan,2024,7209,17257,102164627,148703513,USAID,DRC,302901
431,UG-2024-1091,Northern,Gulu,None,Education,% HH with Latrine,Outcome,Education,Borehole,No,44.6,74.4,86.5,116.3,12.1,Achieved,Q1 2024,Jan,2024,16467,1140,151657956,169374999,UNHCR,World Vision,1276184
432,UG-2024-1092,Western,Gulu,None,Health,% HH with Improved Water,Output,Health,Borehole,No,47.2,78.6,87.6,111.4,9.0,Achieved,Q1 2024,Jan,2024,6063,5493,95286533,53048786,EU,World Vision,296409
433,UG-2024-1093,Western,Kampala,Secondary,Education,% HH with Improved Water,Output,Education,Borehole,No,35.2,58.6,49.6,84.5,-9.1,On Track,Q2 2024,Jan,2024,19654,13020,57802908,72400956,EU,DRC,1605125
434,UG-2024-1094,Central,Gulu,Secondary,Livelihood,% Children Immunized,Output,Livelihood,Borehole,No,50.1,83.5,99.0,118.6,15.6,Achieved,Q2 2024,Jan,2024,13648,5595,183085228,137928141,USAID,World Vision,383866
435,UG-2024-1095,Eastern,Kampala,None,Food Security,% HH with Latrine,Output,Food Security,Borehole,No,56.7,94.5,106.3,112.4,11.7,Achieved,Q1 2024,Jan,2024,10806,8820,51855928,177106369,UNHCR,IRC,519383
436,UG-2024-1096,Western,Mbarara,None,WASH,% HH with Improved Water,Output,WASH,Borehole,No,55.7,92.9,90.7,97.7,-2.2,On Track,Q1 2024,Jan,2024,9416,9852,41385015,165565313,USAID,World Vision,365368
437,UG-2024-1097,Eastern,Gulu,None,Food Security,% Children Immunized,Outcome,Food Security,Borehole,No,34.3,57.1,56.1,98.2,-1.0,On Track,Q2 2024,Jan,2024,17717,18067,24475045,49237440,USAID,World Vision,1554155
438,UG-2024-1098,Western,Kampala,Primary,Livelihood,% HH with Latrine,Output,Livelihood,Borehole,No,55.3,92.1,77.4,84.0,-14.8,On Track,Q1 2024,Jan,2024,12990,3662,13618133,98554614,EU,IRC,1412338
439,UG-2024-1099,Northern,Mbarara,Secondary,Education,% Children Immunized,Outcome,Education,Borehole,No,54.0,89.9,96.1,106.8,6.1,Achieved,Q1 2024,Jan,2024,12803,4126,112382735,20944209,EU,World Vision,1029543
440,UG-2024-1100,Western,Mbarara,None,Protection,% HH with Latrine,Outcome,Protection,Borehole,No,50.2,83.7,63.1,75.4,-20.6,At Risk,Q2 2024,Jan,2024,7477,12923,77675513,134594208,UNHCR,DRC,579906
441,UG-2024-1101,Northern,Kampala,None,Livelihood,% HH with Latrine,Outcome,Livelihood,Borehole,No,56.0,93.4,72.2,77.3,-21.2,At Risk,Q1 2024,Jan,2024,13673,18148,162141510,60719477,UNHCR,IRC,278867
442,UG-2024-1102,Central,Kampala,Secondary,Food Security,% HH with Latrine,Output,Food Security,Borehole,No,40.5,67.5,58.8,87.1,-8.7,On Track,Q1 2024,Jan,2024,15481,9979,46364195,104987644,USAID,DRC,1270936
443,UG-2024-1103,Northern,Gulu,Primary,Protection,% HH with Latrine,Output,Protection,Borehole,No,48.6,81.0,44.9,55.4,-36.1,At Risk,Q1 2024,Jan,2024,7472,3416,168371940,118531400,USAID,IRC,935525
444,UG-2024-1104,Northern,Kampala,None,Education,% HH with Improved Water,Output,Education,Borehole,No,41.9,69.8,67.1,96.2,-2.7,On Track,Q2 2024,Jan,2024,2341,8530,26369278,19558782,UNHCR,World Vision,235765
445,UG-2024-1105,Northern,Gulu,None,Education,% HH with Latrine,Outcome,Education,Borehole,No,35.9,59.9,37.1,62.0,-22.8,At Risk,Q1 2024,Jan,2024,6443,1018,105848720,173289322,UNHCR,IRC,1420036
446,UG-2024-1106,Northern,Mbarara,Secondary,Food Security,% HH with Improved Water,Output,Food Security,Borehole,No,34.9,58.1,53.6,92.3,-4.5,On Track,Q1 2024,Jan,2024,18736,21523,84531093,174333845,USAID,IRC,1390801
447,UG-2024-1107,Central,Gulu,Primary,Livelihood,% Children Immunized,Outcome,Livelihood,Borehole,No,30.2,50.3,57.1,113.5,6.8,Achieved,Q1 2024,Jan,2024,997,14802,140420632,70883783,EU,DRC,1018511
448,UG-2024-1108,Northern,Gulu,Secondary,WASH,% HH with Latrine,Outcome,WASH,Borehole,No,54.5,90.9,112.4,123.7,21.5,Achieved,Q1 2024,Jan,2024,3105,7407,191696669,78617321,EU,DRC,725590
449,UG-2024-1109,Northern,Gulu,Primary,Food Security,% Children Immunized,Outcome,Food Security,Borehole,No,35.9,59.9,69.3,115.7,9.4,Achieved,Q2 2024,Jan,2024,15683,11940,20277156,15142541,EU,IRC,805973
450,UG-2024-1110,Central,Kampala,Secondary,WASH,% HH with Improved Water,Output,WASH,Borehole,No,36.2,60.3,69.6,115.5,9.3,Achieved,Q2 2024,Jan,2024,14806,5442,150217966,117250450,USAID,IRC,1814757
451,UG-2024-1111,Western,Mbarara,None,Education,% HH with Improved Water,Outcome,Education,Borehole,No,54.2,90.3,96.1,106.4,5.8,Achieved,Q1 2024,Jan,2024,12172,4205,10946950,143969448,EU,DRC,750885
452,UG-2024-1112,Western,Kampala,None,Protection,% HH with Latrine,Outcome,Protection,Borehole,No,55.3,92.2,69.3,75.2,-22.9,At Risk,Q1 2024,Jan,2024,10893,6445,5812255,111400689,EU,DRC,786839
453,UG-2024-1113,Central,Gulu,None,Protection,% HH with Latrine,Outcome,Protection,Borehole,No,54.4,90.7,59.2,65.2,-31.5,At Risk,Q2 2024,Jan,2024,11661,697,122970974,67086786,EU,DRC,222977
454,UG-2024-1114,Eastern,Kampala,Primary,WASH,% HH with Improved Water,Outcome,WASH,Borehole,No,49.0,81.7,100.7,123.3,19.0,Achieved,Q1 2024,Jan,2024,3221,13613,183650598,14593682,EU,IRC,837876
455,UG-2024-1115,Western,Kampala,Secondary,Food Security,% Children Immunized,Outcome,Food Security,Borehole,No,46.0,76.7,94.5,123.2,17.8,Achieved,Q2 2024,Jan,2024,5503,795,56302532,92328673,USAID,DRC,324680
