ID,Item_Code,Region,District,Warehouse,Education,Category,Item_Name,Crop,Unit,Water_Source,Irrigation,Stock_On_Hand,Stock_Reserved,Stock_Available,Yield,Unit_Cost_UGX,Total_Value_UGX,Min_Stock_Level,Max_Stock_Level,Status,Last_Stock_In,Last_Stock_Out,Expiry_Date,Donor,Income_UGX
375,AGR-1035,Eastern,Mbarara,Agriculture Warehouse,Primary,Agriculture,Hoe,Hoe,Pcs,Borehole,No,1975,296,1678,12969,6567,12969825,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,12969825
376,FOO-1036,Central,Gulu,Food Warehouse,Primary,Food,Maize Flour,Maize Flour,Kg,Borehole,No,3098,464,2633,66867,21584,66867232,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,66867232
377,AGR-1037,Western,Kampala,Agriculture Warehouse,Secondary,Agriculture,Maize Seeds,Maize Seeds,Kg,Borehole,No,2457,368,2088,65565,26685,65565045,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,65565045
378,SHE-1038,Northern,Yumbe,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kit,Borehole,No,1432,214,1217,13856,9676,13856032,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,13856032
379,AGR-1039,Northern,Yumbe,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Kg,Borehole,No,4705,705,3999,159306,33859,159306595,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,159306595
380,AGR-1040,Northern,Mbarara,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Kg,Borehole,No,2205,330,1874,105493,47843,105493815,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,105493815
381,HEA-1041,Eastern,Mbarara,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Pcs,Borehole,No,546,81,464,4377,8017,4377282,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,4377282
382,WAS-1042,Northern,Gulu,WASH Warehouse,Primary,WASH,Water Tank,Water Tank,Kit,Borehole,No,673,100,572,7768,11543,7768439,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,7768439
383,SHE-1043,Northern,Gulu,Shelter Warehouse,Secondary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,3087,463,2623,10146,3287,10146969,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,10146969
384,FOO-1044,Central,Gulu,Food Warehouse,Primary,Food,Beans,Beans,Kg,Borehole,No,2670,400,2269,33108,12400,33108000,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,33108000
385,FOO-1045,Northern,Gulu,Food Warehouse,Secondary,Food,Cooking Oil,Cooking Oil,Pcs,Borehole,No,527,79,447,6536,12404,6536908,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,6536908
386,SHE-1046,Northern,Yumbe,Shelter Warehouse,Primary,Shelter,Cement,Cement,Kg,Borehole,No,1868,280,1587,23110,12372,23110896,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,23110896
387,AGR-1047,Central,Mbarara,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Pcs,Borehole,No,4029,604,3424,118815,29490,118815210,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,118815210
388,FOO-1048,Eastern,Kampala,Food Warehouse,Primary,Food,Maize Flour,Maize Flour,Pcs,Borehole,No,40,6,34,700,17503,700120,200,3000,Low,2024-06-01,2024-08-15,2026-02-01,UNHCR,700120
389,FOO-1049,Central,Mbarara,Food Warehouse,Secondary,Food,Maize Flour,Maize Flour,Pcs,Borehole,No,4895,734,4160,63762,13026,63762270,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,63762270
390,HEA-1050,Northern,Mbarara,Health Warehouse,Primary,Health,Mama Kit,Mama Kit,Kit,Borehole,No,3803,570,3232,158079,41567,158079301,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,158079301
391,NFI-1051,Northern,Gulu,NFI Warehouse,Secondary,NFI,Jerrycan,Jerrycan,Pcs,Borehole,No,381,57,323,15001,39375,15001875,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,15001875
392,NFI-1052,Western,Kampala,NFI Warehouse,Primary,NFI,Mosquito Net,Mosquito Net,Kit,Borehole,No,1998,299,1698,25316,12671,25316658,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,25316658
393,HEA-1053,Northern,Kampala,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Kit,Borehole,No,2179,326,1852,9445,4335,9445965,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,9445965
394,AGR-1054,Western,Mbarara,Agriculture Warehouse,Primary,Agriculture,Hoe,Hoe,Kg,Borehole,No,996,149,846,20046,20127,20046492,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,20046492
395,AGR-1055,Northern,Mbarara,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Pcs,Borehole,No,1634,245,1388,76664,46918,76664012,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,76664012
396,WAS-1056,Central,Mbarara,WASH Warehouse,Primary,WASH,Soap,Soap,Kit,Borehole,No,1181,177,1003,16627,14079,16627299,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,16627299
397,NFI-1057,Central,Yumbe,NFI Warehouse,Primary,NFI,Blanket,Blanket,Kg,Borehole,No,4013,601,3411,118893,29627,118893151,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,118893151
398,AGR-1058,Eastern,Yumbe,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Kg,Borehole,No,2064,309,1754,19787,9587,19787568,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,19787568
399,AGR-1059,Central,Yumbe,Agriculture Warehouse,Secondary,Agriculture,Maize Seeds,Maize Seeds,Kit,Borehole,No,4642,696,3945,44382,9561,44382162,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,44382162
400,NFI-1060,Central,Mbarara,NFI Warehouse,Secondary,NFI,Jerrycan,Jerrycan,Kit,Borehole,No,3679,551,3127,25120,6828,25120212,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,25120212
401,NFI-1061,Eastern,Yumbe,NFI Warehouse,Primary,NFI,Jerrycan,Jerrycan,Pcs,Borehole,No,244,36,207,7392,30297,7392468,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,7392468
402,NFI-1062,Northern,Gulu,NFI Warehouse,Secondary,NFI,Blanket,Blanket,Kg,Borehole,No,2541,381,2159,58257,22927,58257507,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,58257507
403,SHE-1063,Eastern,Gulu,Shelter Warehouse,Secondary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,3297,494,2802,34789,10552,34789944,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,34789944
404,WAS-1064,Central,Yumbe,WASH Warehouse,Primary,WASH,Water Tank,Water Tank,Kit,Borehole,No,76,11,64,155,2046,155496,200,3000,Low,2024-06-01,2024-08-15,N/A,WFP,155496
405,SHE-1065,Central,Gulu,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,4634,695,3938,176555,38100,176555400,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,176555400
406,AGR-1066,Northern,Yumbe,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Kg,Borehole,No,612,91,520,2668,4360,2668320,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,2668320
407,NFI-1067,Central,Mbarara,NFI Warehouse,Primary,NFI,Blanket,Blanket,Pcs,Borehole,No,508,76,431,12777,25153,12777724,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,12777724
408,FOO-1068,Western,Kampala,Food Warehouse,Secondary,Food,Maize Flour,Maize Flour,Pcs,Borehole,No,3566,534,3031,129752,36386,129752476,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,129752476
409,HEA-1069,Central,Mbarara,Health Warehouse,Primary,Health,Malaria Kit,Malaria Kit,Pcs,Borehole,No,820,123,697,8870,10818,8870760,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,8870760
410,WAS-1070,Eastern,Mbarara,WASH Warehouse,Primary,WASH,Water Tank,Water Tank,Pcs,Borehole,No,4898,734,4163,243548,49724,243548152,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,243548152
411,AGR-1071,Central,Yumbe,Agriculture Warehouse,Secondary,Agriculture,Maize Seeds,Maize Seeds,Pcs,Borehole,No,3933,589,3343,117042,29759,117042147,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,117042147
412,AGR-1072,Eastern,Mbarara,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Kit,Borehole,No,613,91,521,4960,8092,4960396,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,4960396
413,NFI-1073,Northern,Yumbe,NFI Warehouse,Secondary,NFI,Jerrycan,Jerrycan,Pcs,Borehole,No,3593,538,3054,110269,30690,110269170,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,110269170
414,WAS-1074,Northern,Gulu,WASH Warehouse,Secondary,WASH,Soap,Soap,Kit,Borehole,No,3389,508,2880,108803,32105,108803845,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,108803845
415,AGR-1075,Eastern,Gulu,Agriculture Warehouse,Secondary,Agriculture,Maize Seeds,Maize Seeds,Pcs,Borehole,No,4521,678,3842,122632,27125,122632125,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,122632125
416,SHE-1076,Central,Kampala,Shelter Warehouse,Primary,Shelter,Cement,Cement,Pcs,Borehole,No,2097,314,1782,102843,49043,102843171,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,102843171
417,SHE-1077,Western,Yumbe,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,1310,196,1113,39755,30348,39755880,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,39755880
418,HEA-1078,Northern,Yumbe,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Kg,Borehole,No,860,129,731,14239,16557,14239020,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,14239020
419,HEA-1079,Central,Yumbe,Health Warehouse,Primary,Health,Mama Kit,Mama Kit,Kg,Borehole,No,3855,578,3276,126181,32732,126181860,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,126181860
420,WAS-1080,Western,Kampala,WASH Warehouse,Primary,WASH,Soap,Soap,Kit,Borehole,No,4914,737,4176,186609,37975,186609150,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,186609150
421,SHE-1081,Northern,Yumbe,Shelter Warehouse,Primary,Shelter,Cement,Cement,Kg,Borehole,No,1592,238,1353,55049,34579,55049768,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,55049768
422,WAS-1082,Central,Yumbe,WASH Warehouse,Primary,WASH,Soap,Soap,Pcs,Borehole,No,2972,445,2526,95038,31978,95038616,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,95038616
423,NFI-1083,Central,Mbarara,NFI Warehouse,Primary,NFI,Blanket,Blanket,Kit,Borehole,No,4991,748,4242,74800,14987,74800117,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,74800117
424,SHE-1084,Eastern,Mbarara,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kit,Borehole,No,4085,612,3472,17745,4344,17745240,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,17745240
425,HEA-1085,Northern,Kampala,Health Warehouse,Primary,Health,Malaria Kit,Malaria Kit,Pcs,Borehole,No,4802,720,4081,136299,28384,136299968,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,136299968
426,NFI-1086,Western,Mbarara,NFI Warehouse,Primary,NFI,Jerrycan,Jerrycan,Kit,Borehole,No,761,114,646,8441,11092,8441012,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,8441012
427,NFI-1087,Western,Kampala,NFI Warehouse,Primary,NFI,Blanket,Blanket,Kit,Borehole,No,1590,238,1351,21539,13547,21539730,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,21539730
428,SHE-1088,Northern,Kampala,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,622,93,528,11119,17877,11119494,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,11119494
429,AGR-1089,Northern,Gulu,Agriculture Warehouse,Primary,Agriculture,Maize Seeds,Maize Seeds,Pcs,Borehole,No,677,101,575,19457,28741,19457657,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,19457657
430,FOO-1090,Central,Gulu,Food Warehouse,Primary,Food,Cooking Oil,Cooking Oil,Pcs,Borehole,No,1489,223,1265,3344,2246,3344294,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,3344294
431,SHE-1091,Central,Gulu,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kg,Borehole,No,2285,342,1942,94203,41227,94203695,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,94203695
432,SHE-1092,Western,Gulu,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Pcs,Borehole,No,2163,324,1838,103205,47714,103205382,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,103205382
433,SHE-1093,Eastern,Mbarara,Shelter Warehouse,Secondary,Shelter,Cement,Cement,Kg,Borehole,No,3874,581,3292,141218,36453,141218922,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,141218922
434,HEA-1094,Western,Kampala,Health Warehouse,Primary,Health,Malaria Kit,Malaria Kit,Kit,Borehole,No,1149,172,976,34012,29602,34012698,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,34012698
435,NFI-1095,Northern,Yumbe,NFI Warehouse,Primary,NFI,Mosquito Net,Mosquito Net,Kit,Borehole,No,2797,419,2377,130468,46646,130468862,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,130468862
436,NFI-1096,Central,Mbarara,NFI Warehouse,Secondary,NFI,Mosquito Net,Mosquito Net,Kit,Borehole,No,4814,722,4091,42262,8779,42262106,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,42262106
437,SHE-1097,Eastern,Mbarara,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,1806,270,1535,41438,22945,41438670,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,41438670
438,HEA-1098,Eastern,Mbarara,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Kit,Borehole,No,3947,592,3354,170013,43074,170013078,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,170013078
439,FOO-1099,Northern,Yumbe,Food Warehouse,Secondary,Food,Cooking Oil,Cooking Oil,Pcs,Borehole,No,2622,393,2228,83513,31851,83513322,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,83513322
440,HEA-1100,Eastern,Kampala,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Pcs,Borehole,No,3104,465,2638,61859,19929,61859616,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,61859616
441,WAS-1101,Central,Mbarara,WASH Warehouse,Secondary,WASH,Water Tank,Water Tank,Kit,Borehole,No,2018,302,1715,33642,16671,33642078,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,33642078
442,FOO-1102,Western,Mbarara,Food Warehouse,Secondary,Food,Cooking Oil,Cooking Oil,Pcs,Borehole,No,1358,203,1154,57758,42532,57758456,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNICEF,57758456
443,WAS-1103,Northern,Mbarara,WASH Warehouse,Primary,WASH,Soap,Soap,Kit,Borehole,No,39,5,33,554,14227,554853,200,3000,Low,2024-06-01,2024-08-15,N/A,WFP,554853
444,WAS-1104,Central,Mbarara,WASH Warehouse,Secondary,WASH,Water Tank,Water Tank,Kg,Borehole,No,1547,232,1314,62342,40299,62342553,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,62342553
445,FOO-1105,Central,Mbarara,Food Warehouse,Secondary,Food,Maize Flour,Maize Flour,Pcs,Borehole,No,665,99,565,29606,44521,29606465,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,29606465
446,SHE-1106,Western,Kampala,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kg,Borehole,No,1739,260,1478,8230,4733,8230687,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,8230687
447,HEA-1107,Eastern,Mbarara,Health Warehouse,Secondary,Health,Mama Kit,Mama Kit,Pcs,Borehole,No,4723,708,4014,234223,49592,234223016,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,234223016
448,NFI-1108,Western,Mbarara,NFI Warehouse,Primary,NFI,Jerrycan,Jerrycan,Pcs,Borehole,No,1723,258,1464,32259,18723,32259729,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,32259729
449,AGR-1109,Central,Kampala,Agriculture Warehouse,Primary,Agriculture,Hoe,Hoe,Pcs,Borehole,No,892,133,758,24070,26985,24070620,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,24070620
450,SHE-1110,Eastern,Gulu,Shelter Warehouse,Primary,Shelter,Iron Sheets,Iron Sheets,Kit,Borehole,No,4472,670,3801,213658,47777,213658744,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,213658744
451,WAS-1111,Northern,Yumbe,WASH Warehouse,Primary,WASH,Water Tank,Water Tank,Kit,Borehole,No,4572,685,3886,54242,11864,54242208,200,3000,Normal,2024-06-01,2024-08-15,N/A,WFP,54242208
452,HEA-1112,Northern,Yumbe,Health Warehouse,Primary,Health,Malaria Kit,Malaria Kit,Kg,Borehole,No,933,139,793,43028,46118,43028094,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,UNHCR,43028094
453,AGR-1113,Central,Kampala,Agriculture Warehouse,Secondary,Agriculture,Hoe,Hoe,Kg,Borehole,No,309,46,262,864,2799,864891,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,864891
454,NFI-1114,Northern,Yumbe,NFI Warehouse,Secondary,NFI,Jerrycan,Jerrycan,Pcs,Borehole,No,2528,379,2148,10541,4170,10541760,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,10541760
455,SHE-1115,Central,Mbarara,Shelter Warehouse,Secondary,Shelter,Iron Sheets,Iron Sheets,Kit,Borehole,No,1723,258,1464,61866,35906,61866038,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNICEF,61866038
456,WAS-1116,Northern,Gulu,WASH Warehouse,Secondary,WASH,Soap,Soap,Kg,Borehole,No,4126,618,3507,31287,7583,31287458,200,3000,Normal,2024-06-01,2024-08-15,N/A,UNHCR,31287458
457,HEA-1117,Northern,Kampala,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Kg,Borehole,No,375,56,318,3831,10216,3831000,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,3831000
458,HEA-1118,Northern,Mbarara,Health Warehouse,Secondary,Health,Malaria Kit,Malaria Kit,Kg,Borehole,No,2662,399,2262,76391,28697,76391414,200,3000,Normal,2024-06-01,2024-08-15,2026-02-01,WFP,76391414
