ID,Case_ID,Region,Settlement,District,Country_Origin,Arrival_Year,Years_In_Uganda,Gender_HH_Head,Age_HH_Head,Education,Household_Size,Children_U18,Vulnerability,Water_Source,Irrigation,Crop,Yield,Assistance_Type,Protection_Concern,Income_UGX_Month
353,UNHCR-UG-10013,South West,Kyangwali,Arua,Eritrea,2017,5,Female,27,University,3,2,Single Parent,Borehole,Yes,Vegetables,1.07,Cash,GBV Risk,430935
354,UNHCR-UG-10014,South West,Kyaka II,Arua,DRC,2018,2,Male,50,Primary,4,3,Disability,Tap,Yes,Vegetables,3.1,NFI,None,186790
355,UNHCR-UG-10015,South West,Kyaka II,Arua,South Sudan,2025,6,Female,41,None,6,1,Elderly,Borehole,No,None,2.89,Cash,Food Insecurity,391551
356,UNHCR-UG-10016,West Nile,Bidi Bidi,Yumbe,Eritrea,2023,3,Female,32,University,6,0,Woman at Risk,River,No,Beans,2.85,NFI,Child Protection,339540
357,UNHCR-UG-10017,Central,Kampala Urban,Arua,Sudan,2021,6,Male,50,University,2,2,Elderly,River,Yes,Cassava,2.11,NFI,Child Protection,326401
358,UNHCR-UG-10018,West Nile,Palorinya,Arua,DRC,2022,5,Male,28,University,1,3,Unaccompanied Child,River,Yes,Vegetables,2.48,Cash,Food Insecurity,106789
359,UNHCR-UG-10019,South West,Kyaka II,Arua,DRC,2019,1,Male,71,Primary,7,2,None,Tap,Yes,Maize,2.33,Food,Child Protection,445452
360,UNHCR-UG-10020,Mid West,Kiryandongo,Arua,Burundi,2016,4,Female,25,Secondary,6,1,Woman at Risk,Borehole,No,None,0.42,Cash,Child Protection,222611
361,UNHCR-UG-10021,Mid West,Kiryandongo,Arua,Ethiopia,2020,3,Male,67,Secondary,7,0,Disability,Tap,Yes,Maize,0.5,NFI,GBV Risk,68190
362,UNHCR-UG-10022,South West,Kyaka II,Arua,Rwanda,2019,8,Female,63,None,3,3,Elderly,River,No,Maize,0.94,Cash,None,257438
363,UNHCR-UG-10023,Central,Kampala Urban,Arua,Sudan,2025,3,Male,66,Secondary,6,3,Single Parent,River,No,Maize,1.37,WASH,GBV Risk,426000
364,UNHCR-UG-10024,Mid West,Kiryandongo,Arua,DRC,2023,5,Male,66,University,5,0,Single Parent,Tap,No,Vegetables,0.67,NFI,None,482560
365,UNHCR-UG-10025,South West,Oruchinga,Arua,DRC,2021,2,Female,38,Secondary,9,3,Unaccompanied Child,Tap,No,Cassava,3.06,Food,GBV Risk,58601
366,UNHCR-UG-10026,West Nile,Rhino Camp,Arua,Eritrea,2019,5,Male,23,Secondary,3,2,Disability,Tap,Yes,Beans,0.6,NFI,Child Protection,409331
367,UNHCR-UG-10027,South West,Kyaka II,Arua,Eritrea,2024,10,Female,53,University,10,3,Elderly,River,Yes,Beans,2.53,Cash,Child Protection,447124
368,UNHCR-UG-10028,South West,Oruchinga,Arua,Somalia,2023,6,Male,57,Secondary,9,2,Woman at Risk,River,Yes,None,1.8,WASH,Food Insecurity,232256
369,UNHCR-UG-10029,South West,Nakivale,Arua,Ethiopia,2024,10,Female,71,University,3,4,Disability,Tap,Yes,Beans,2.07,Cash,Child Protection,233236
370,UNHCR-UG-10030,Central,Kampala Urban,Arua,Somalia,2020,2,Male,70,Primary,7,2,Single Parent,Tap,No,Maize,1.52,WASH,Child Protection,290731
371,UNHCR-UG-10031,Central,Kampala Urban,Arua,Eritrea,2022,7,Female,67,Primary,8,2,Single Parent,River,No,Maize,2.07,Cash,Food Insecurity,492778
372,UNHCR-UG-10032,West Nile,Palorinya,Arua,Rwanda,2023,3,Male,77,Primary,5,1,None,Tap,No,Beans,2.46,Cash,None,106262
373,UNHCR-UG-10033,West Nile,Imvepi,Arua,Rwanda,2022,6,Female,55,University,5,3,Disability,River,Yes,Cassava,2.73,Food,Food Insecurity,345666
374,UNHCR-UG-10034,Mid West,Kiryandongo,Arua,Rwanda,2024,10,Male,65,Secondary,9,2,Woman at Risk,Tap,No,Maize,1.36,Food,GBV Risk,329760
375,UNHCR-UG-10035,Central,Kampala Urban,Arua,South Sudan,2016,5,Male,24,University,7,0,Woman at Risk,Borehole,No,Maize,1.74,Food,Food Insecurity,357038
376,UNHCR-UG-10036,South West,Oruchinga,Arua,Eritrea,2023,8,Male,48,Primary,6,4,Elderly,Tap,No,Beans,2.18,Cash,GBV Risk,117572
377,UNHCR-UG-10037,Mid West,Kiryandongo,Arua,Rwanda,2025,4,Male,25,University,10,2,Unaccompanied Child,Tap,Yes,Maize,3.05,WASH,None,168855
378,UNHCR-UG-10038,Mid West,Kiryandongo,Arua,Ethiopia,2021,3,Male,51,Secondary,7,4,Unaccompanied Child,River,No,Cassava,0.16,NFI,None,466053
379,UNHCR-UG-10039,Central,Kampala Urban,Arua,Eritrea,2019,2,Male,65,None,2,2,Disability,Tap,Yes,Maize,2.67,WASH,Child Protection,161736
380,UNHCR-UG-10040,Mid West,Kiryandongo,Arua,Ethiopia,2025,3,Male,25,None,6,1,Woman at Risk,River,No,None,2.33,Cash,GBV Risk,113597
381,UNHCR-UG-10041,Mid West,Kiryandongo,Arua,Somalia,2022,5,Female,28,Secondary,1,3,Disability,River,Yes,Cassava,2.73,NFI,Food Insecurity,140133
382,UNHCR-UG-10042,South West,Nakivale,Arua,Eritrea,2016,1,Male,64,University,8,1,None,River,No,Maize,1.37,NFI,GBV Risk,449038
383,UNHCR-UG-10043,South West,Nakivale,Arua,DRC,2016,3,Male,33,Primary,9,1,None,River,Yes,Maize,2.86,Cash,None,154862
384,UNHCR-UG-10044,West Nile,Rhino Camp,Arua,DRC,2016,1,Male,49,Primary,2,3,Disability,Tap,No,Beans,0.82,WASH,Food Insecurity,462221
385,UNHCR-UG-10045,Central,Kampala Urban,Arua,Ethiopia,2017,1,Male,41,Secondary,4,0,Elderly,River,No,Vegetables,1.13,Food,Child Protection,306939
386,UNHCR-UG-10046,Central,Kampala Urban,Arua,Ethiopia,2019,3,Male,65,None,5,3,Elderly,Tap,No,Beans,2.9,NFI,Food Insecurity,22764
387,UNHCR-UG-10047,West Nile,Imvepi,Arua,Rwanda,2023,9,Female,51,Primary,3,3,Disability,Borehole,No,Vegetables,2.35,NFI,Food Insecurity,228391
388,UNHCR-UG-10048,South West,Kyaka II,Arua,South Sudan,2021,10,Male,23,Secondary,6,1,Disability,Borehole,No,Maize,2.81,WASH,None,6570
389,UNHCR-UG-10049,South West,Kyangwali,Arua,Eritrea,2017,8,Male,18,Secondary,8,3,Unaccompanied Child,Tap,No,Maize,1.92,Cash,None,380599
390,UNHCR-UG-10050,Mid West,Kiryandongo,Arua,Ethiopia,2016,10,Male,52,None,10,2,Disability,Tap,Yes,Vegetables,2.76,Food,GBV Risk,318518
391,UNHCR-UG-10051,West Nile,Rhino Camp,Arua,Eritrea,2020,2,Female,35,University,3,0,Elderly,Borehole,Yes,Vegetables,2.24,WASH,Child Protection,137142
392,UNHCR-UG-10052,Central,Kampala Urban,Arua,DRC,2025,6,Male,25,None,1,3,Disability,Borehole,Yes,Beans,2.36,WASH,Child Protection,191200
393,UNHCR-UG-10053,West Nile,Lobule,Arua,Rwanda,2020,3,Female,31,University,4,1,Single Parent,Borehole,Yes,Beans,3.36,Food,Child Protection,180794
394,UNHCR-UG-10054,West Nile,Imvepi,Arua,Somalia,2019,1,Male,61,None,7,0,Single Parent,River,No,Beans,0.66,Food,Food Insecurity,46787
395,UNHCR-UG-10055,South West,Rwamwanja,Arua,Somalia,2025,4,Male,77,None,10,4,Single Parent,Tap,Yes,Maize,1.98,NFI,Child Protection,90989
396,UNHCR-UG-10056,Mid West,Kiryandongo,Arua,South Sudan,2023,9,Male,18,Secondary,3,2,None,Tap,Yes,Vegetables,1.3,WASH,None,226031
397,UNHCR-UG-10057,West Nile,Imvepi,Arua,Ethiopia,2022,6,Female,42,None,7,2,Single Parent,Tap,No,None,1.64,Food,None,236581
398,UNHCR-UG-10058,Central,Kampala Urban,Arua,South Sudan,2016,2,Male,24,University,5,2,Single Parent,River,Yes,None,2.29,WASH,None,230820
399,UNHCR-UG-10059,South West,Kyaka II,Arua,South Sudan,2018,3,Female,66,University,7,4,Unaccompanied Child,Tap,Yes,Maize,0.46,Food,None,413546
400,UNHCR-UG-10060,South West,Rwamwanja,Arua,Somalia,2020,10,Female,74,University,3,3,Elderly,River,Yes,Maize,1.54,Food,None,280752
401,UNHCR-UG-10061,Mid West,Kiryandongo,Arua,Sudan,2016,7,Male,74,University,6,4,Disability,Tap,No,None,2.63,Food,Child Protection,459457
402,UNHCR-UG-10062,West Nile,Rhino Camp,Arua,South Sudan,2017,9,Male,52,University,9,1,Woman at Risk,Tap,Yes,Cassava,0.32,WASH,Food Insecurity,444755
403,UNHCR-UG-10063,Central,Kampala Urban,Arua,Ethiopia,2017,4,Female,25,None,8,0,Elderly,Tap,No,None,2.21,Food,Food Insecurity,348320
404,UNHCR-UG-10064,Central,Kampala Urban,Arua,Ethiopia,2024,3,Female,32,None,3,3,Single Parent,Borehole,Yes,Maize,1.24,Food,Child Protection,460196
405,UNHCR-UG-10065,West Nile,Bidi Bidi,Yumbe,South Sudan,2021,1,Female,27,None,7,2,None,Tap,Yes,Vegetables,0.68,NFI,Food Insecurity,122225
406,UNHCR-UG-10066,West Nile,Lobule,Arua,Burundi,2023,2,Female,71,University,10,1,Single Parent,Tap,Yes,Vegetables,2.94,Food,None,125982
407,UNHCR-UG-10067,West Nile,Bidi Bidi,Yumbe,Somalia,2022,2,Female,76,None,1,1,None,Borehole,Yes,Cassava,2.22,Food,None,366482
408,UNHCR-UG-10068,Central,Kampala Urban,Arua,Burundi,2020,3,Female,71,None,2,3,Disability,Borehole,No,Vegetables,3.28,Cash,GBV Risk,401410
409,UNHCR-UG-10069,West Nile,Imvepi,Arua,South Sudan,2025,5,Male,62,Primary,2,2,Disability,Tap,No,Vegetables,3.23,Cash,Child Protection,426946
410,UNHCR-UG-10070,Mid West,Kiryandongo,Arua,Rwanda,2023,1,Male,39,Secondary,2,3,Disability,Tap,Yes,Maize,1.62,Cash,GBV Risk,419141
411,UNHCR-UG-10071,Mid West,Kiryandongo,Arua,Rwanda,2025,7,Female,28,University,5,1,None,River,Yes,Beans,1.97,WASH,Food Insecurity,19853
412,UNHCR-UG-10072,West Nile,Rhino Camp,Arua,Burundi,2024,9,Female,76,None,3,4,None,Borehole,No,Vegetables,2.05,Food,Food Insecurity,439363
413,UNHCR-UG-10073,Central,Kampala Urban,Arua,Ethiopia,2018,5,Female,34,Secondary,3,2,Woman at Risk,Tap,No,Cassava,0.38,Cash,Food Insecurity,235256
414,UNHCR-UG-10074,West Nile,Rhino Camp,Arua,Eritrea,2025,6,Male,22,Primary,4,3,Woman at Risk,Borehole,No,Maize,2.02,NFI,Child Protection,255154
415,UNHCR-UG-10075,South West,Nakivale,Arua,South Sudan,2021,10,Male,67,Secondary,2,4,Woman at Risk,Borehole,No,Vegetables,1.44,Food,None,147274
416,UNHCR-UG-10076,Mid West,Kiryandongo,Arua,Eritrea,2024,1,Female,38,Secondary,4,3,Unaccompanied Child,River,Yes,Maize,2.83,NFI,Food Insecurity,57083
417,UNHCR-UG-10077,Central,Kampala Urban,Arua,Somalia,2018,8,Female,65,University,8,4,None,Borehole,No,None,3.13,Food,None,13933
418,UNHCR-UG-10078,Central,Kampala Urban,Arua,Eritrea,2017,8,Male,53,Primary,3,4,Elderly,Borehole,No,Vegetables,2.54,WASH,GBV Risk,226265
419,UNHCR-UG-10079,South West,Kyaka II,Arua,Rwanda,2019,1,Female,42,Secondary,8,3,Woman at Risk,Tap,No,None,0.76,Cash,Child Protection,173183
420,UNHCR-UG-10080,West Nile,Rhino Camp,Arua,Sudan,2021,7,Male,39,Primary,5,3,Elderly,River,No,Vegetables,1.41,NFI,Food Insecurity,453274
421,UNHCR-UG-10081,West Nile,Lobule,Arua,Ethiopia,2021,4,Female,32,Primary,6,3,Single Parent,River,No,Vegetables,2.66,Cash,Child Protection,133092
422,UNHCR-UG-10082,Central,Kampala Urban,Arua,DRC,2017,3,Female,42,Primary,1,1,None,River,Yes,Maize,3.45,Cash,GBV Risk,125049
423,UNHCR-UG-10083,Mid West,Kiryandongo,Arua,Ethiopia,2021,2,Male,42,None,5,0,Elderly,Tap,No,None,3.18,Food,Child Protection,343347
424,UNHCR-UG-10084,Central,Kampala Urban,Arua,Sudan,2019,6,Female,77,Secondary,9,1,Single Parent,Tap,No,None,2.08,WASH,Child Protection,216748
425,UNHCR-UG-10085,West Nile,Palorinya,Arua,Ethiopia,2016,10,Male,50,None,2,4,Woman at Risk,Tap,No,Cassava,0.14,WASH,None,140811
426,UNHCR-UG-10086,Mid West,Kiryandongo,Arua,South Sudan,2019,6,Female,22,University,6,2,Single Parent,River,Yes,None,0.92,NFI,None,74879
427,UNHCR-UG-10087,Central,Kampala Urban,Arua,Rwanda,2019,4,Male,62,University,8,1,Elderly,River,No,Beans,1.57,Food,None,377488
428,UNHCR-UG-10088,Central,Kampala Urban,Arua,DRC,2019,7,Male,56,None,9,0,Woman at Risk,Tap,No,Vegetables,2.9,Cash,Food Insecurity,187244
429,UNHCR-UG-10089,Central,Kampala Urban,Arua,Sudan,2017,1,Male,56,None,4,3,Unaccompanied Child,Tap,Yes,Maize,0.22,Food,Food Insecurity,195489
430,UNHCR-UG-10090,West Nile,Lobule,Arua,Ethiopia,2017,1,Male,76,None,7,1,Elderly,Tap,No,Cassava,1.04,Food,Food Insecurity,151515
431,UNHCR-UG-10091,Mid West,Kiryandongo,Arua,Somalia,2017,6,Female,31,None,2,3,Single Parent,Tap,Yes,Vegetables,2.81,Food,Food Insecurity,431244
432,UNHCR-UG-10092,South West,Kyaka II,Arua,Sudan,2025,9,Female,22,University,10,3,Unaccompanied Child,River,Yes,Cassava,1.04,WASH,Food Insecurity,126321
433,UNHCR-UG-10093,South West,Rwamwanja,Arua,Eritrea,2016,4,Female,53,Primary,8,3,Woman at Risk,River,Yes,Beans,0.96,NFI,None,445308
434,UNHCR-UG-10094,Central,Kampala Urban,Arua,Burundi,2024,6,Female,75,Primary,3,3,Disability,Tap,No,Vegetables,1.08,Food,None,407553
435,UNHCR-UG-10095,West Nile,Palorinya,Arua,Somalia,2020,6,Male,67,Primary,5,2,Unaccompanied Child,River,No,Beans,2.06,NFI,None,407753
436,UNHCR-UG-10096,Mid West,Kiryandongo,Arua,Ethiopia,2025,2,Female,33,University,4,4,Woman at Risk,River,Yes,Beans,3.32,Cash,Child Protection,449149
437,UNHCR-UG-10097,Mid West,Kiryandongo,Arua,Somalia,2016,1,Female,31,Secondary,4,1,Unaccompanied Child,River,No,Maize,0.29,Cash,Food Insecurity,151523
438,UNHCR-UG-10098,South West,Oruchinga,Arua,Eritrea,2017,2,Male,62,University,7,2,Single Parent,River,No,Beans,2.67,Food,Food Insecurity,348457
439,UNHCR-UG-10099,South West,Oruchinga,Arua,Somalia,2016,10,Male,21,Secondary,5,1,Single Parent,Tap,No,Cassava,0.71,NFI,Child Protection,468838
440,UNHCR-UG-10100,South West,Oruchinga,Arua,DRC,2020,4,Male,48,University,1,2,Elderly,River,No,Beans,0.14,Cash,Child Protection,262446
441,UNHCR-UG-10101,South West,Nakivale,Arua,Rwanda,2025,10,Female,35,University,6,4,Single Parent,River,Yes,None,0.17,Food,Food Insecurity,140050
442,UNHCR-UG-10102,West Nile,Imvepi,Arua,Rwanda,2016,4,Female,48,None,9,0,Unaccompanied Child,Tap,Yes,Cassava,1.15,Food,Child Protection,255419
443,UNHCR-UG-10103,South West,Kyaka II,Arua,Ethiopia,2019,4,Female,57,Secondary,7,0,Single Parent,River,Yes,None,0.81,Food,None,485674
444,UNHCR-UG-10104,Central,Kampala Urban,Arua,Ethiopia,2024,4,Male,41,None,5,3,Disability,Tap,Yes,None,0.44,Cash,None,169715
445,UNHCR-UG-10105,Mid West,Kiryandongo,Arua,Somalia,2018,6,Female,57,University,6,4,Woman at Risk,Borehole,No,Vegetables,3.46,Food,GBV Risk,365925
446,UNHCR-UG-10106,Central,Kampala Urban,Arua,Eritrea,2021,7,Male,38,Secondary,10,2,None,Tap,Yes,Cassava,0.95,Food,GBV Risk,162739
447,UNHCR-UG-10107,West Nile,Palorinya,Arua,Eritrea,2020,2,Male,68,None,3,1,Elderly,River,Yes,Maize,3.35,WASH,Child Protection,147888
448,UNHCR-UG-10108,West Nile,Lobule,Arua,Somalia,2022,2,Female,73,Primary,7,2,Unaccompanied Child,River,Yes,Maize,1.77,NFI,GBV Risk,104822
449,UNHCR-UG-10109,South West,Kyangwali,Arua,Somalia,2021,4,Female,54,Secondary,2,3,Disability,Borehole,Yes,Cassava,2.4,Cash,Food Insecurity,20500
450,UNHCR-UG-10110,South West,Kyangwali,Arua,DRC,2016,3,Female,72,Secondary,4,1,Elderly,Tap,Yes,Beans,0.74,NFI,Child Protection,239518
451,UNHCR-UG-10111,Mid West,Kiryandongo,Arua,Burundi,2025,2,Female,40,Primary,2,0,None,Borehole,No,Cassava,0.69,NFI,Child Protection,301367
452,UNHCR-UG-10112,Mid West,Kiryandongo,Arua,Burundi,2021,5,Female,47,Secondary,3,0,Disability,Borehole,Yes,Cassava,0.18,NFI,Child Protection,242864
453,UNHCR-UG-10113,Mid West,Kiryandongo,Arua,Somalia,2016,6,Female,41,Secondary,8,0,Disability,River,No,None,1.08,Food,None,435855
454,UNHCR-UG-10114,Mid West,Kiryandongo,Arua,Ethiopia,2021,4,Female,71,Primary,9,2,None,River,No,Cassava,3.28,Food,GBV Risk,452415
455,UNHCR-UG-10115,South West,Kyangwali,Arua,Eritrea,2018,6,Female,60,University,7,2,Disability,Borehole,Yes,Maize,0.85,WASH,Food Insecurity,463976
456,UNHCR-UG-10116,Central,Kampala Urban,Arua,South Sudan,2019,1,Female,44,University,3,0,Single Parent,Borehole,Yes,None,1.29,WASH,GBV Risk,30346
457,UNHCR-UG-10117,South West,Rwamwanja,Arua,Sudan,2018,2,Female,26,Secondary,2,0,Woman at Risk,Borehole,No,Vegetables,0.48,NFI,Food Insecurity,56664
458,UNHCR-UG-10118,Central,Kampala Urban,Arua,South Sudan,2018,4,Male,53,None,1,0,Woman at Risk,River,No,Cassava,2.6,Food,GBV Risk,280857
459,UNHCR-UG-10119,South West,Kyaka II,Arua,Somalia,2019,9,Male,37,University,4,1,None,Borehole,Yes,Beans,2.92,Food,GBV Risk,418862
460,UNHCR-UG-10120,Central,Kampala Urban,Arua,Burundi,2021,5,Male,28,None,5,4,Disability,Tap,Yes,Vegetables,0.89,NFI,Food Insecurity,190206
461,UNHCR-UG-10121,South West,Rwamwanja,Arua,Ethiopia,2020,8,Male,30,University,2,1,Single Parent,Tap,No,Maize,1.22,Food,Food Insecurity,450373
462,UNHCR-UG-10122,West Nile,Palorinya,Arua,DRC,2025,3,Female,54,Primary,9,1,Elderly,Tap,No,Beans,3.4,Cash,Child Protection,299378
463,UNHCR-UG-10123,Central,Kampala Urban,Arua,DRC,2021,5,Female,47,University,6,0,Disability,River,Yes,Maize,0.37,Food,GBV Risk,312998
464,UNHCR-UG-10124,South West,Rwamwanja,Arua,Burundi,2023,7,Female,39,Secondary,9,0,Disability,River,Yes,None,1.65,Cash,Child Protection,395482
465,UNHCR-UG-10125,Mid West,Kiryandongo,Arua,Burundi,2019,3,Male,74,Primary,2,0,Disability,Borehole,No,Vegetables,2.3,Food,GBV Risk,401942
466,UNHCR-UG-10126,Mid West,Kiryandongo,Arua,South Sudan,2024,1,Female,47,University,6,1,None,Borehole,No,Beans,2.84,WASH,None,216729
467,UNHCR-UG-10127,Central,Kampala Urban,Arua,Somalia,2019,8,Male,62,University,3,2,Unaccompanied Child,River,Yes,Maize,2.73,Food,GBV Risk,185283
468,UNHCR-UG-10128,Mid West,Kiryandongo,Arua,DRC,2018,5,Male,62,Secondary,5,0,Single Parent,Tap,Yes,Beans,0.89,Food,None,101580
469,UNHCR-UG-10129,Central,Kampala Urban,Arua,Ethiopia,2017,4,Female,25,Secondary,5,3,Disability,Tap,No,Maize,0.21,WASH,Child Protection,88241
470,UNHCR-UG-10130,Mid West,Kiryandongo,Arua,Eritrea,2016,4,Male,74,Secondary,9,3,Woman at Risk,Tap,Yes,Beans,0.37,Food,Child Protection,386888
471,UNHCR-UG-10131,West Nile,Lobule,Arua,DRC,2025,3,Female,40,Primary,9,2,Unaccompanied Child,Borehole,No,Cassava,1.05,Food,GBV Risk,26563
472,UNHCR-UG-10132,West Nile,Palorinya,Arua,Burundi,2022,3,Male,22,None,1,0,None,Borehole,No,Beans,0.6,WASH,Child Protection,477583
473,UNHCR-UG-10133,Mid West,Kiryandongo,Arua,Eritrea,2022,9,Female,51,Secondary,9,3,Single Parent,River,Yes,Beans,2.46,WASH,Child Protection,313033
474,UNHCR-UG-10134,West Nile,Bidi Bidi,Yumbe,Eritrea,2019,4,Male,18,Secondary,4,3,Elderly,Borehole,No,Maize,3.03,NFI,Food Insecurity,253882
475,UNHCR-UG-10135,Central,Kampala Urban,Arua,South Sudan,2025,1,Male,57,Secondary,9,4,Single Parent,Tap,No,Beans,0.22,Food,None,216969
476,UNHCR-UG-10136,West Nile,Bidi Bidi,Yumbe,Eritrea,2016,6,Male,61,Secondary,9,0,Unaccompanied Child,Tap,Yes,Beans,3.09,WASH,Child Protection,443713
477,UNHCR-UG-10137,West Nile,Bidi Bidi,Yumbe,Sudan,2018,10,Female,76,Primary,3,0,Woman at Risk,Tap,Yes,Vegetables,2.1,NFI,GBV Risk,249803
478,UNHCR-UG-10138,South West,Nakivale,Arua,Somalia,2025,4,Male,41,Secondary,7,2,Unaccompanied Child,Borehole,Yes,Beans,3.07,NFI,Child Protection,226520
479,UNHCR-UG-10139,South West,Oruchinga,Arua,Somalia,2022,2,Female,23,Secondary,5,4,Elderly,River,No,Vegetables,1.36,NFI,None,15044
480,UNHCR-UG-10140,South West,Kyaka II,Arua,Somalia,2019,4,Male,66,Primary,5,3,Disability,Tap,No,Maize,2.6,Cash,None,25672
481,UNHCR-UG-10141,Central,Kampala Urban,Arua,Ethiopia,2022,9,Male,26,Secondary,10,3,Unaccompanied Child,River,No,Cassava,1.89,Cash,Child Protection,294310
482,UNHCR-UG-10142,South West,Rwamwanja,Arua,Rwanda,2021,6,Female,58,None,5,2,Single Parent,Tap,No,Beans,3.29,Food,GBV Risk,392876
483,UNHCR-UG-10143,Central,Kampala Urban,Arua,DRC,2020,5,Male,64,Secondary,6,3,Unaccompanied Child,Borehole,Yes,Maize,2.7,NFI,Child Protection,459847
484,UNHCR-UG-10144,West Nile,Rhino Camp,Arua,Burundi,2019,9,Female,61,University,2,4,Woman at Risk,Borehole,No,Maize,2.4,Food,Food Insecurity,127481
485,UNHCR-UG-10145,South West,Nakivale,Arua,Burundi,2019,9,Female,33,Primary,1,3,Disability,Tap,No,Beans,0.91,Food,Child Protection,316357
486,UNHCR-UG-10146,South West,Kyaka II,Arua,South Sudan,2017,2,Female,49,None,10,3,Elderly,Borehole,No,Cassava,1.99,NFI,Child Protection,109293
487,UNHCR-UG-10147,South West,Nakivale,Arua,Ethiopia,2025,5,Female,41,Primary,7,2,Disability,River,Yes,Cassava,3.1,Cash,Child Protection,51630
488,UNHCR-UG-10148,South West,Kyangwali,Arua,Eritrea,2021,9,Female,20,Secondary,5,1,Woman at Risk,River,Yes,Cassava,2.4,NFI,None,47124
489,UNHCR-UG-10149,South West,Kyangwali,Arua,Sudan,2023,1,Male,25,None,9,4,Elderly,River,No,Maize,1.94,WASH,None,419097
490,UNHCR-UG-10150,Central,Kampala Urban,Arua,Rwanda,2020,1,Male,18,University,2,2,Woman at Risk,Borehole,No,Cassava,3.29,Food,Food Insecurity,476825
491,UNHCR-UG-10151,Central,Kampala Urban,Arua,Sudan,2019,2,Male,66,None,1,3,Disability,River,No,Maize,2.32,Food,GBV Risk,466940
492,UNHCR-UG-10152,Mid West,Kiryandongo,Arua,DRC,2018,9,Female,45,None,5,3,Elderly,Tap,No,Vegetables,3.06,WASH,GBV Risk,72738
493,UNHCR-UG-10153,Central,Kampala Urban,Arua,Eritrea,2020,2,Male,49,Primary,3,2,Disability,River,No,Cassava,2.87,WASH,Food Insecurity,189051
494,UNHCR-UG-10154,South West,Rwamwanja,Arua,Ethiopia,2018,6,Male,64,University,4,3,Elderly,River,No,None,2.28,NFI,GBV Risk,136625
495,UNHCR-UG-10155,Central,Kampala Urban,Arua,DRC,2025,4,Female,77,None,9,0,Unaccompanied Child,Borehole,No,Cassava,1.17,Cash,GBV Risk,73338
496,UNHCR-UG-10156,West Nile,Bidi Bidi,Yumbe,Sudan,2019,2,Female,67,Secondary,3,3,Woman at Risk,Tap,No,Cassava,3.2,WASH,Child Protection,310293
497,UNHCR-UG-10157,South West,Oruchinga,Arua,Sudan,2024,8,Female,48,University,5,2,Disability,Borehole,No,None,3.2,WASH,Child Protection,101749
498,UNHCR-UG-10158,South West,Nakivale,Arua,Burundi,2018,7,Female,65,None,1,1,Disability,Borehole,No,Vegetables,0.98,Cash,Food Insecurity,103986
499,UNHCR-UG-10159,South West,Kyangwali,Arua,Rwanda,2024,4,Female,42,University,9,2,Disability,Borehole,Yes,Maize,1.25,WASH,Child Protection,250258
500,UNHCR-UG-10160,South West,Kyaka II,Arua,Somalia,2017,5,Male,76,Primary,9,3,Single Parent,Tap,No,Vegetables,0.55,Cash,Child Protection,307841
