ID,Case_ID,Region,District,Settlement,Education,Gender,Age,Age_Group,Marital_Status,GBV_Type,Perpetrator,Location_Incident,Yield,Water_Source,Irrigation,Crop,Reported,Reported_Within_72H,Service_Sought,Service_Provided,Referral_Made,Risk_Level,Repeat_Case,Month,Year,Income_UGX
419,GBV-UG-10079,Western,Mbale,Nakivale,Secondary,Female,58,18-35,Married,Sexual Assault,Family Member,Field,1,Borehole,No,N/A,Yes,Yes,Psychosocial,No,Health,High,No,Feb,2024,4152
420,GBV-UG-10080,Eastern,Kampala,Nakivale,Secondary,Female,29,18-35,Married,Early Marriage,Stranger,School,1,Tap,No,N/A,No,No,Psychosocial,No,Health,Low,No,Jan,2024,424225
421,GBV-UG-10081,West Nile,Mbale,Nakivale,Secondary,Female,18,18-35,Single,Physical Assault,Stranger,Field,1,Borehole,No,N/A,No,No,Health,Yes,Health,High,Yes,Mar,2024,559761
422,GBV-UG-10082,Northern,Mbarara,Nakivale,None,Male,10,0-17,Single,Defilement,Family Member,Field,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Health,Low,No,Jan,2024,346400
423,GBV-UG-10083,West Nile,Gulu,Host Community,Secondary,Female,21,18-35,Single,Domestic Violence,Intimate Partner,School,1,Tap,No,N/A,No,No,Health,No,Health,High,Yes,Jan,2024,304679
424,GBV-UG-10084,West Nile,Gulu,Nakivale,Secondary,Female,20,18-35,Single,Physical Assault,Stranger,Field,1,Borehole,No,N/A,No,No,Psychosocial,No,Police,Medium,No,Feb,2024,564
425,GBV-UG-10085,Northern,Gulu,Bidi Bidi,Secondary,Female,24,18-35,Married,Sexual Assault,Intimate Partner,Water Point,1,Tap,No,N/A,No,Yes,Psychosocial,No,Police,Low,Yes,Jan,2024,504196
426,GBV-UG-10086,Eastern,Gulu,Host Community,None,Female,45,18-35,Single,Early Marriage,Intimate Partner,School,1,Borehole,No,N/A,No,Yes,Health,Yes,Health,Medium,Yes,Feb,2024,437800
427,GBV-UG-10087,Eastern,Mbarara,Bidi Bidi,Primary,Female,40,18-35,Single,Domestic Violence,Family Member,Field,1,Tap,No,N/A,No,No,Health,Yes,Police,High,No,Jan,2024,512739
428,GBV-UG-10088,Central,Kampala,Bidi Bidi,None,Male,42,18-35,Single,Sexual Assault,Family Member,Home,1,Borehole,No,N/A,No,No,Legal,No,Police,Medium,No,Jan,2024,100405
429,GBV-UG-10089,Central,Mbarara,Nakivale,None,Female,53,18-35,Married,Domestic Violence,Stranger,Water Point,1,Tap,No,N/A,No,Yes,Psychosocial,No,Police,Medium,No,Mar,2024,174557
430,GBV-UG-10090,West Nile,Mbarara,Nakivale,Secondary,Female,37,18-35,Single,Early Marriage,Stranger,Home,1,Borehole,No,N/A,No,No,Psychosocial,Yes,Police,Low,No,Mar,2024,235059
431,GBV-UG-10091,South West,Mbale,Nakivale,None,Male,59,18-35,Single,Sexual Assault,Stranger,Home,1,Tap,No,N/A,No,Yes,Legal,No,Health,Low,Yes,Jan,2024,245392
432,GBV-UG-10092,Eastern,Mbale,Host Community,Secondary,Female,28,18-35,Married,Sexual Assault,Stranger,School,1,Tap,No,N/A,Yes,No,Psychosocial,No,Health,Medium,No,Feb,2024,256482
433,GBV-UG-10093,Northern,Gulu,Host Community,None,Female,55,18-35,Married,Early Marriage,Family Member,Water Point,1,Tap,No,N/A,Yes,No,Psychosocial,Yes,Police,Medium,Yes,Mar,2024,4718
434,GBV-UG-10094,Central,Mbarara,Host Community,None,Female,13,0-17,Married,Defilement,Stranger,School,1,Borehole,No,N/A,Yes,Yes,Health,Yes,Police,Medium,No,Mar,2024,636314
435,GBV-UG-10095,West Nile,Mbarara,Host Community,Primary,Female,8,0-17,Single,Defilement,Family Member,School,1,Borehole,No,N/A,No,Yes,Legal,No,Health,Low,Yes,Feb,2024,414201
436,GBV-UG-10096,Northern,Mbale,Bidi Bidi,None,Female,39,18-35,Single,Early Marriage,Stranger,Water Point,1,Borehole,No,N/A,No,Yes,Health,Yes,Health,High,Yes,Mar,2024,424649
437,GBV-UG-10097,South West,Mbale,Host Community,Secondary,Male,49,18-35,Married,Sexual Assault,Stranger,Home,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Health,Medium,No,Feb,2024,92083
438,GBV-UG-10098,Eastern,Mbarara,Host Community,Primary,Female,18,18-35,Single,Domestic Violence,Family Member,Water Point,1,Tap,No,N/A,No,Yes,Health,No,Police,High,Yes,Mar,2024,143355
439,GBV-UG-10099,Eastern,Mbale,Nakivale,None,Male,20,18-35,Married,Early Marriage,Intimate Partner,School,1,Borehole,No,N/A,Yes,Yes,Legal,No,Health,Low,No,Mar,2024,593900
440,GBV-UG-10100,Central,Kampala,Host Community,Secondary,Female,44,18-35,Married,Domestic Violence,Stranger,School,1,Borehole,No,N/A,Yes,No,Legal,No,Police,High,Yes,Feb,2024,500246
441,GBV-UG-10101,South West,Mbale,Bidi Bidi,Primary,Female,49,18-35,Single,Physical Assault,Stranger,Field,1,Tap,No,N/A,No,No,Psychosocial,No,Police,High,No,Mar,2024,224839
442,GBV-UG-10102,Central,Mbale,Bidi Bidi,Primary,Female,28,18-35,Single,Early Marriage,Family Member,Water Point,1,Tap,No,N/A,Yes,Yes,Psychosocial,Yes,Health,Medium,No,Mar,2024,566274
443,GBV-UG-10103,South West,Gulu,Nakivale,Secondary,Male,12,0-17,Married,Defilement,Family Member,Field,1,Tap,No,N/A,No,Yes,Legal,Yes,Police,Medium,Yes,Mar,2024,101810
444,GBV-UG-10104,Western,Mbale,Bidi Bidi,None,Female,37,18-35,Married,Physical Assault,Family Member,Water Point,1,Borehole,No,N/A,Yes,Yes,Psychosocial,No,Police,Low,No,Mar,2024,289066
445,GBV-UG-10105,Eastern,Kampala,Host Community,Primary,Female,53,18-35,Married,Sexual Assault,Intimate Partner,Home,1,Borehole,No,N/A,Yes,Yes,Health,No,Police,Medium,Yes,Feb,2024,64603
446,GBV-UG-10106,Eastern,Mbale,Host Community,None,Female,18,18-35,Single,Physical Assault,Stranger,Field,1,Borehole,No,N/A,No,No,Legal,Yes,Health,Low,Yes,Feb,2024,184397
447,GBV-UG-10107,South West,Kampala,Bidi Bidi,Primary,Female,49,18-35,Married,Sexual Assault,Intimate Partner,School,1,Borehole,No,N/A,No,No,Legal,Yes,Police,High,Yes,Mar,2024,496509
448,GBV-UG-10108,Eastern,Mbarara,Host Community,None,Female,12,0-17,Single,Defilement,Family Member,School,1,Borehole,No,N/A,Yes,No,Legal,Yes,Police,Low,Yes,Mar,2024,414579
449,GBV-UG-10109,South West,Gulu,Host Community,Primary,Female,25,18-35,Married,Early Marriage,Family Member,Home,1,Tap,No,N/A,Yes,No,Health,Yes,Health,Medium,Yes,Feb,2024,532408
450,GBV-UG-10110,South West,Mbarara,Host Community,Secondary,Female,37,18-35,Married,Sexual Assault,Stranger,Home,1,Tap,No,N/A,Yes,Yes,Legal,Yes,Health,Medium,No,Feb,2024,437476
451,GBV-UG-10111,Central,Gulu,Host Community,Secondary,Male,20,18-35,Married,Domestic Violence,Stranger,School,1,Borehole,No,N/A,Yes,Yes,Health,No,Police,Low,Yes,Mar,2024,82976
452,GBV-UG-10112,West Nile,Kampala,Nakivale,None,Female,34,18-35,Single,Sexual Assault,Family Member,Water Point,1,Borehole,No,N/A,No,Yes,Legal,Yes,Police,High,Yes,Mar,2024,604511
453,GBV-UG-10113,Central,Mbale,Host Community,None,Female,23,18-35,Married,Physical Assault,Stranger,Home,1,Borehole,No,N/A,No,No,Legal,No,Health,High,No,Mar,2024,200188
454,GBV-UG-10114,Central,Kampala,Host Community,Primary,Female,20,18-35,Single,Domestic Violence,Intimate Partner,School,1,Borehole,No,N/A,No,No,Health,Yes,Police,Medium,No,Jan,2024,404952
455,GBV-UG-10115,South West,Kampala,Bidi Bidi,Primary,Female,13,0-17,Married,Defilement,Family Member,Home,1,Tap,No,N/A,No,Yes,Legal,Yes,Health,Low,Yes,Mar,2024,780812
456,GBV-UG-10116,Western,Mbale,Nakivale,Secondary,Female,31,18-35,Single,Early Marriage,Stranger,Field,1,Borehole,No,N/A,Yes,No,Psychosocial,Yes,Police,Low,No,Feb,2024,56139
457,GBV-UG-10117,Central,Mbale,Host Community,None,Female,30,18-35,Single,Physical Assault,Family Member,Field,1,Tap,No,N/A,Yes,No,Legal,No,Police,Low,No,Jan,2024,621399
458,GBV-UG-10118,Northern,Kampala,Nakivale,None,Female,28,18-35,Single,Sexual Assault,Stranger,Field,1,Tap,No,N/A,No,Yes,Psychosocial,Yes,Health,High,No,Feb,2024,579361
459,GBV-UG-10119,Western,Gulu,Bidi Bidi,Primary,Female,52,18-35,Married,Physical Assault,Stranger,Water Point,1,Borehole,No,N/A,No,No,Health,Yes,Health,Medium,No,Feb,2024,360254
460,GBV-UG-10120,Western,Mbale,Host Community,Secondary,Female,24,18-35,Married,Sexual Assault,Intimate Partner,Home,1,Borehole,No,N/A,No,Yes,Psychosocial,Yes,Health,Medium,Yes,Mar,2024,488338
461,GBV-UG-10121,Western,Kampala,Host Community,Secondary,Female,59,18-35,Single,Sexual Assault,Stranger,School,1,Tap,No,N/A,Yes,No,Psychosocial,No,Police,Low,No,Feb,2024,339948
462,GBV-UG-10122,Western,Gulu,Bidi Bidi,Primary,Female,21,18-35,Married,Sexual Assault,Stranger,Field,1,Borehole,No,N/A,No,Yes,Health,No,Police,High,Yes,Feb,2024,238154
463,GBV-UG-10123,West Nile,Gulu,Host Community,Primary,Female,60,18-35,Single,Sexual Assault,Stranger,Field,1,Borehole,No,N/A,No,Yes,Legal,No,Health,Medium,Yes,Jan,2024,356345
464,GBV-UG-10124,South West,Gulu,Nakivale,Secondary,Female,49,18-35,Single,Early Marriage,Intimate Partner,Field,1,Borehole,No,N/A,No,No,Psychosocial,No,Police,Medium,Yes,Jan,2024,713970
465,GBV-UG-10125,Western,Kampala,Nakivale,Secondary,Female,20,18-35,Single,Early Marriage,Family Member,Field,1,Tap,No,N/A,No,No,Legal,No,Health,High,No,Mar,2024,500469
466,GBV-UG-10126,Western,Kampala,Host Community,None,Female,56,18-35,Single,Sexual Assault,Intimate Partner,Water Point,1,Borehole,No,N/A,No,Yes,Health,No,Health,High,Yes,Jan,2024,544422
467,GBV-UG-10127,Eastern,Gulu,Bidi Bidi,Secondary,Female,51,18-35,Married,Sexual Assault,Intimate Partner,Field,1,Borehole,No,N/A,Yes,Yes,Psychosocial,No,Police,Medium,No,Feb,2024,748648
468,GBV-UG-10128,Eastern,Mbale,Bidi Bidi,Primary,Female,14,0-17,Single,Defilement,Stranger,Water Point,1,Tap,No,N/A,No,Yes,Legal,Yes,Health,High,Yes,Feb,2024,240999
469,GBV-UG-10129,South West,Mbarara,Nakivale,None,Female,56,18-35,Married,Physical Assault,Intimate Partner,Field,1,Borehole,No,N/A,Yes,Yes,Legal,Yes,Health,High,No,Jan,2024,781359
