ID,Region,District,Health_Facility,Facility_Level,Disease,ICD10_Code,Age_Group,Gender,Cases_Reported,Deaths,Yield,Education,Water_Source,Irrigation,Crop,Reporting_Week,Reporting_Year,Month,Village_Cases,Stockout_Days,Income_UGX
383,Central,Kampala,Kampala District Hospital,HC III,Anemia,J18,6-12,Male,230,4,230,Secondary,Tap,No,N/A,39,2024,Feb,17,1,257830
384,Northern,Arua,Arua HC IV,HC III,Malaria,B54,60+,Female,162,3,162,Primary,Borehole,No,N/A,13,2024,Feb,9,4,556217
385,Eastern,Mbale,Mbale HC IV,HC III,Pneumonia,J18,0-5,Male,111,2,111,None,Borehole,No,N/A,17,2024,Feb,36,0,391272
386,Western,Kabale,Kabale HC IV,HC III,Hypertension,J18,20-35,Female,205,4,205,Primary,Borehole,No,N/A,3,2024,Mar,39,2,219507
387,Eastern,Tororo,Tororo HC IV,HC IV,Malaria,B54,6-12,Female,442,8,442,Secondary,Borehole,No,N/A,51,2024,Jan,34,12,392858
388,Northern,Arua,Arua District Hospital,HC II,Malaria,B54,6-12,Female,261,5,261,Secondary,Borehole,No,N/A,51,2024,Mar,32,8,678500
389,Northern,Arua,Arua HC IV,HC II,Diabetes,J18,0-5,Female,154,3,154,Secondary,Tap,No,N/A,17,2024,Jan,39,0,159231
390,Eastern,Mbale,Mbale HC III,HC III,Maternal Complications,J18,0-5,Male,223,4,223,None,Borehole,No,N/A,42,2024,Mar,4,0,162351
391,Western,Mbarara,Mbarara HC III,HC II,HIV/AIDS,J18,20-35,Male,195,3,195,Secondary,Tap,No,N/A,50,2024,Feb,3,11,674377
392,Eastern,Tororo,Tororo District Hospital,HC III,Pneumonia,J18,0-5,Male,202,4,202,Primary,Tap,No,N/A,35,2024,Mar,20,11,514308
393,Western,Mbarara,Mbarara HC IV,HC II,Hypertension,J18,20-35,Female,138,2,138,None,Borehole,No,N/A,3,2024,Mar,36,13,615963
394,Northern,Arua,Arua District Hospital,HC II,Hypertension,J18,60+,Male,201,4,201,Secondary,Tap,No,N/A,31,2024,Jan,38,0,207125
395,Central,Wakiso,Wakiso District Hospital,HC II,Diabetes,J18,60+,Male,165,3,165,Secondary,Tap,No,N/A,15,2024,Jan,34,9,56851
396,Northern,Arua,Arua District Hospital,HC II,Hypertension,J18,0-5,Female,45,0,45,Primary,Tap,No,N/A,15,2024,Jan,17,14,289970
397,Northern,Lira,Lira HC IV,HC II,Hypertension,J18,60+,Female,119,2,119,None,Borehole,No,N/A,33,2024,Mar,12,7,610595
398,Central,Wakiso,Wakiso HC IV,HC III,Anemia,J18,20-35,Male,198,3,198,Primary,Borehole,No,N/A,24,2024,Jan,44,2,69797
399,Central,Kampala,Kampala District Hospital,HC IV,TB,J18,0-5,Male,25,0,25,Primary,Tap,No,N/A,51,2024,Feb,31,2,149425
400,Western,Fort Portal,Fort Portal HC III,HC III,Malaria,B54,20-35,Female,187,3,187,Secondary,Tap,No,N/A,45,2024,Mar,18,5,626281
401,Eastern,Tororo,Tororo District Hospital,HC IV,Diarrhea,J18,20-35,Male,54,1,54,None,Tap,No,N/A,46,2024,Jan,48,4,534212
402,Western,Fort Portal,Fort Portal District Hospital,HC III,Malaria,B54,6-12,Female,89,1,89,Secondary,Borehole,No,N/A,22,2024,Feb,24,11,123023
403,Eastern,Tororo,Tororo HC IV,HC IV,HIV/AIDS,J18,60+,Female,210,4,210,Primary,Tap,No,N/A,26,2024,Feb,1,12,273745
404,Eastern,Mbale,Mbale HC III,HC IV,TB,J18,20-35,Male,115,2,115,Primary,Tap,No,N/A,29,2024,Jan,40,3,319111
405,Eastern,Mbale,Mbale HC III,HC II,TB,J18,6-12,Female,6,0,6,Primary,Tap,No,N/A,52,2024,Mar,4,2,229605
406,Western,Fort Portal,Fort Portal HC III,HC IV,Maternal Complications,J18,60+,Male,113,2,113,Secondary,Borehole,No,N/A,43,2024,Feb,48,8,190644
407,Eastern,Jinja,Jinja District Hospital,HC II,Pneumonia,J18,6-12,Female,73,1,73,Primary,Borehole,No,N/A,35,2024,Jan,7,6,558132
408,Northern,Lira,Lira HC III,HC IV,Malaria,B54,6-12,Male,79,1,79,Secondary,Borehole,No,N/A,32,2024,Jan,36,11,494993
409,Northern,Lira,Lira District Hospital,HC IV,Pneumonia,J18,0-5,Male,86,1,86,Secondary,Tap,No,N/A,14,2024,Feb,37,11,144642
410,Northern,Lira,Lira HC III,HC III,Malnutrition,J18,6-12,Female,1,0,1,None,Tap,No,N/A,4,2024,Jan,49,2,355843
411,Eastern,Mbale,Mbale District Hospital,HC IV,Malnutrition,J18,20-35,Female,24,0,24,Primary,Borehole,No,N/A,31,2024,Jan,46,3,123464
412,Northern,Arua,Arua District Hospital,HC IV,Diabetes,J18,20-35,Female,216,4,216,Primary,Tap,No,N/A,38,2024,Mar,42,11,366322
413,Eastern,Jinja,Jinja HC IV,HC IV,Maternal Complications,J18,0-5,Male,54,1,54,Secondary,Tap,No,N/A,25,2024,Feb,14,10,373966
414,Western,Kabale,Kabale HC III,HC III,TB,J18,0-5,Male,91,1,91,None,Borehole,No,N/A,13,2024,Mar,15,2,80239
415,Western,Kabale,Kabale HC IV,HC IV,Diabetes,J18,20-35,Female,79,1,79,None,Tap,No,N/A,8,2024,Jan,44,9,406163
416,Northern,Arua,Arua HC III,HC IV,Anemia,J18,6-12,Male,124,2,124,Secondary,Tap,No,N/A,21,2024,Mar,42,2,449250
417,Western,Mbarara,Mbarara HC III,HC III,Malaria,B54,0-5,Female,246,4,246,Primary,Borehole,No,N/A,1,2024,Feb,43,4,617290
418,Northern,Gulu,Gulu HC IV,HC II,Diarrhea,J18,20-35,Female,12,0,12,Secondary,Borehole,No,N/A,25,2024,Mar,48,11,55340
419,Western,Mbarara,Mbarara HC IV,HC II,Diarrhea,J18,0-5,Male,221,4,221,None,Tap,No,N/A,44,2024,Feb,26,6,423356
420,Western,Kabale,Kabale HC III,HC III,Anemia,J18,0-5,Female,149,2,149,None,Tap,No,N/A,29,2024,Jan,24,5,133570
421,Western,Kabale,Kabale District Hospital,HC IV,Diabetes,J18,0-5,Female,19,0,19,Primary,Borehole,No,N/A,26,2024,Feb,19,6,336883
422,Western,Fort Portal,Fort Portal HC III,HC IV,Diabetes,J18,0-5,Female,171,3,171,Secondary,Borehole,No,N/A,51,2024,Mar,45,0,693074
423,Central,Wakiso,Wakiso District Hospital,HC IV,Malnutrition,J18,20-35,Female,166,3,166,Secondary,Tap,No,N/A,10,2024,Mar,28,10,717540
424,Western,Kabale,Kabale HC III,HC IV,Malnutrition,J18,60+,Female,170,3,170,Secondary,Tap,No,N/A,23,2024,Feb,32,5,708785
425,Eastern,Mbale,Mbale HC III,HC II,Diarrhea,J18,60+,Female,202,4,202,Secondary,Tap,No,N/A,43,2024,Feb,18,10,510650
426,Northern,Gulu,Gulu HC IV,HC IV,Malaria,B54,20-35,Male,318,6,318,None,Tap,No,N/A,15,2024,Jan,11,6,115227
427,Central,Wakiso,Wakiso HC IV,HC III,Maternal Complications,J18,20-35,Female,227,4,227,Primary,Borehole,No,N/A,19,2024,Feb,43,14,364995
428,Northern,Gulu,Gulu District Hospital,HC II,Hypertension,J18,0-5,Female,20,0,20,Primary,Borehole,No,N/A,9,2024,Jan,42,5,240182
429,Western,Kabale,Kabale HC III,HC IV,HIV/AIDS,J18,60+,Male,222,4,222,None,Borehole,No,N/A,9,2024,Jan,26,13,507164
430,Western,Fort Portal,Fort Portal HC III,HC III,HIV/AIDS,J18,0-5,Male,185,3,185,Secondary,Tap,No,N/A,38,2024,Mar,20,0,561632
431,Northern,Lira,Lira HC IV,HC IV,Pneumonia,J18,0-5,Female,182,3,182,Secondary,Borehole,No,N/A,15,2024,Mar,32,10,466648
432,Western,Kabale,Kabale HC III,HC II,Diabetes,J18,20-35,Male,246,4,246,Primary,Tap,No,N/A,39,2024,Mar,37,14,321350
433,Central,Mukono,Mukono HC III,HC III,Anemia,J18,60+,Female,70,1,70,Secondary,Tap,No,N/A,16,2024,Jan,10,4,272884
434,Central,Mukono,Mukono District Hospital,HC III,Pneumonia,J18,0-5,Female,86,1,86,Primary,Tap,No,N/A,4,2024,Jan,10,12,68159
435,Eastern,Jinja,Jinja HC III,HC IV,HIV/AIDS,J18,6-12,Female,233,4,233,None,Borehole,No,N/A,35,2024,Feb,1,8,539255
436,Western,Mbarara,Mbarara HC IV,HC IV,Malnutrition,J18,0-5,Male,148,2,148,Primary,Tap,No,N/A,2,2024,Jan,42,2,494810
437,Central,Kampala,Kampala HC IV,HC III,TB,J18,60+,Male,117,2,117,Primary,Borehole,No,N/A,37,2024,Mar,40,5,256241
438,Eastern,Jinja,Jinja HC IV,HC IV,Malaria,B54,20-35,Male,223,4,223,None,Tap,No,N/A,5,2024,Feb,15,8,66830
439,Central,Mukono,Mukono HC III,HC IV,Diarrhea,J18,0-5,Female,247,4,247,None,Borehole,No,N/A,4,2024,Jan,16,5,237761
440,Northern,Gulu,Gulu HC IV,HC II,Diabetes,J18,0-5,Female,121,2,121,None,Borehole,No,N/A,42,2024,Jan,36,14,768441
441,Central,Wakiso,Wakiso HC III,HC II,Diabetes,J18,6-12,Female,234,4,234,Secondary,Tap,No,N/A,37,2024,Feb,15,8,235296
442,Eastern,Mbale,Mbale HC III,HC II,TB,J18,60+,Female,112,2,112,None,Borehole,No,N/A,42,2024,Mar,15,13,350057
443,Central,Mukono,Mukono HC IV,HC III,Pneumonia,J18,6-12,Male,125,2,125,Secondary,Borehole,No,N/A,35,2024,Jan,35,2,196505
444,Northern,Lira,Lira HC III,HC II,Diabetes,J18,20-35,Male,152,3,152,Secondary,Tap,No,N/A,40,2024,Mar,7,5,779982
445,Central,Mukono,Mukono HC IV,HC II,HIV/AIDS,J18,60+,Male,185,3,185,Secondary,Tap,No,N/A,13,2024,Mar,6,3,442197
446,Eastern,Mbale,Mbale HC IV,HC III,TB,J18,60+,Female,225,4,225,None,Borehole,No,N/A,34,2024,Mar,32,0,59407
447,Central,Wakiso,Wakiso District Hospital,HC IV,Diarrhea,J18,6-12,Female,149,2,149,Primary,Borehole,No,N/A,43,2024,Feb,34,10,69353
448,Central,Mukono,Mukono District Hospital,HC IV,Maternal Complications,J18,20-35,Male,86,1,86,Secondary,Tap,No,N/A,34,2024,Mar,5,14,385542
449,Western,Kabale,Kabale HC IV,HC II,HIV/AIDS,J18,20-35,Male,102,2,102,Primary,Borehole,No,N/A,22,2024,Jan,19,1,375315
450,Northern,Gulu,Gulu District Hospital,HC II,Pneumonia,J18,0-5,Female,36,0,36,None,Tap,No,N/A,34,2024,Feb,26,14,78803
451,Central,Kampala,Kampala HC IV,HC IV,Diabetes,J18,0-5,Female,127,2,127,Secondary,Tap,No,N/A,22,2024,Mar,31,6,396339
452,Western,Fort Portal,Fort Portal HC III,HC IV,Pneumonia,J18,6-12,Female,246,4,246,Primary,Tap,No,N/A,33,2024,Feb,9,3,39900
453,Northern,Lira,Lira HC IV,HC II,Pneumonia,J18,6-12,Female,119,2,119,Secondary,Tap,No,N/A,25,2024,Mar,23,14,322832
454,Western,Mbarara,Mbarara HC III,HC IV,Diabetes,J18,6-12,Male,206,4,206,Secondary,Borehole,No,N/A,28,2024,Jan,42,3,346701
455,Eastern,Jinja,Jinja HC IV,HC III,Hypertension,J18,20-35,Female,183,3,183,None,Tap,No,N/A,46,2024,Mar,43,3,360697
456,Western,Fort Portal,Fort Portal HC III,HC IV,Malnutrition,J18,0-5,Female,107,2,107,None,Tap,No,N/A,17,2024,Mar,11,0,261519
457,Central,Mukono,Mukono HC III,HC III,Diabetes,J18,20-35,Male,89,1,89,None,Tap,No,N/A,44,2024,Mar,10,3,244623
458,Central,Mukono,Mukono HC III,HC IV,Maternal Complications,J18,6-12,Male,216,4,216,None,Borehole,No,N/A,29,2024,Feb,10,5,328535
459,Eastern,Jinja,Jinja District Hospital,HC IV,TB,J18,6-12,Female,240,4,240,Secondary,Borehole,No,N/A,18,2024,Feb,21,10,785264
460,Central,Kampala,Kampala District Hospital,HC IV,Diarrhea,J18,60+,Female,225,4,225,Primary,Tap,No,N/A,13,2024,Mar,39,3,686523
461,Western,Kabale,Kabale HC IV,HC II,Maternal Complications,J18,60+,Female,61,1,61,None,Borehole,No,N/A,25,2024,Jan,12,5,608718
462,Central,Mukono,Mukono District Hospital,HC III,Malaria,B54,0-5,Male,161,3,161,Primary,Borehole,No,N/A,44,2024,Mar,3,0,238540
463,Western,Mbarara,Mbarara HC III,HC II,HIV/AIDS,J18,0-5,Female,140,2,140,None,Borehole,No,N/A,1,2024,Mar,15,11,253307
464,Northern,Arua,Arua HC III,HC IV,Maternal Complications,J18,20-35,Male,52,1,52,Primary,Borehole,No,N/A,51,2024,Jan,27,8,13619
465,Western,Kabale,Kabale HC IV,HC IV,Diarrhea,J18,0-5,Male,155,3,155,None,Tap,No,N/A,48,2024,Feb,47,6,421525
466,Central,Wakiso,Wakiso HC IV,HC II,Anemia,J18,0-5,Female,95,1,95,None,Tap,No,N/A,44,2024,Mar,48,5,360881
467,Central,Kampala,Kampala HC III,HC II,TB,J18,0-5,Female,145,2,145,Secondary,Borehole,No,N/A,3,2024,Jan,34,7,448856
468,Northern,Arua,Arua HC III,HC II,Anemia,J18,0-5,Male,10,0,10,Secondary,Tap,No,N/A,19,2024,Jan,7,3,583784
469,Northern,Gulu,Gulu HC IV,HC II,Diabetes,J18,20-35,Female,136,2,136,Primary,Tap,No,N/A,51,2024,Mar,35,0,686964
470,Northern,Lira,Lira HC IV,HC III,Malaria,B54,20-35,Female,417,8,417,None,Tap,No,N/A,40,2024,Feb,6,12,373242
471,Western,Kabale,Kabale HC III,HC III,Maternal Complications,J18,0-5,Female,166,3,166,Secondary,Tap,No,N/A,31,2024,Jan,4,14,173189
472,Western,Kabale,Kabale District Hospital,HC II,Hypertension,J18,20-35,Female,247,4,247,Secondary,Tap,No,N/A,13,2024,Jan,13,2,199398
473,Central,Mukono,Mukono HC IV,HC II,Diabetes,J18,0-5,Male,175,3,175,Secondary,Borehole,No,N/A,30,2024,Feb,17,13,137615
474,Central,Wakiso,Wakiso District Hospital,HC II,Hypertension,J18,20-35,Male,241,4,241,Primary,Tap,No,N/A,24,2024,Mar,35,1,116617
475,Western,Kabale,Kabale HC IV,HC IV,Malnutrition,J18,0-5,Female,188,3,188,None,Borehole,No,N/A,25,2024,Jan,39,10,139085
476,Northern,Lira,Lira HC III,HC II,HIV/AIDS,J18,6-12,Male,73,1,73,Primary,Tap,No,N/A,47,2024,Mar,9,5,479293
477,Northern,Arua,Arua HC IV,HC IV,HIV/AIDS,J18,20-35,Female,142,2,142,Primary,Borehole,No,N/A,13,2024,Jan,40,2,449364
478,Northern,Lira,Lira HC III,HC II,Maternal Complications,J18,0-5,Male,191,3,191,None,Borehole,No,N/A,47,2024,Feb,20,13,267571
479,Northern,Lira,Lira HC III,HC III,TB,J18,60+,Male,44,0,44,None,Tap,No,N/A,29,2024,Feb,38,2,411156
480,Central,Mukono,Mukono HC IV,HC III,HIV/AIDS,J18,0-5,Male,90,1,90,Primary,Borehole,No,N/A,43,2024,Jan,25,14,456222
481,Eastern,Jinja,Jinja District Hospital,HC II,HIV/AIDS,J18,20-35,Male,246,4,246,Secondary,Tap,No,N/A,49,2024,Feb,39,12,159147
482,Western,Mbarara,Mbarara HC III,HC IV,Anemia,J18,6-12,Male,79,1,79,None,Tap,No,N/A,23,2024,Mar,31,5,338219
483,Western,Mbarara,Mbarara HC III,HC III,Malaria,B54,0-5,Male,85,1,85,Primary,Borehole,No,N/A,3,2024,Mar,14,9,404003
484,Central,Kampala,Kampala HC IV,HC IV,Diabetes,J18,60+,Male,106,2,106,Secondary,Tap,No,N/A,30,2024,Feb,23,10,741575
485,Eastern,Tororo,Tororo HC IV,HC IV,Diarrhea,J18,0-5,Female,139,2,139,None,Tap,No,N/A,2,2024,Mar,9,3,77808
486,Central,Kampala,Kampala District Hospital,HC IV,Malnutrition,J18,20-35,Male,10,0,10,Secondary,Borehole,No,N/A,27,2024,Jan,12,6,115099
487,Western,Fort Portal,Fort Portal District Hospital,HC IV,Malaria,B54,60+,Female,207,4,207,Primary,Tap,No,N/A,5,2024,Feb,29,9,351543
488,Central,Mukono,Mukono HC III,HC III,Anemia,J18,6-12,Male,77,1,77,Primary,Tap,No,N/A,17,2024,Feb,24,12,785427
489,Central,Kampala,Kampala District Hospital,HC II,Diabetes,J18,20-35,Male,121,2,121,None,Borehole,No,N/A,49,2024,Mar,40,1,267781
490,Western,Kabale,Kabale HC IV,HC III,Diarrhea,J18,20-35,Female,223,4,223,Secondary,Tap,No,N/A,48,2024,Mar,17,6,162382
491,Western,Mbarara,Mbarara HC III,HC II,Diabetes,J18,60+,Female,70,1,70,Primary,Borehole,No,N/A,4,2024,Mar,5,4,591556
492,Western,Mbarara,Mbarara HC III,HC II,Malnutrition,J18,60+,Male,146,2,146,Secondary,Borehole,No,N/A,33,2024,Mar,26,8,674572
493,Eastern,Tororo,Tororo HC IV,HC II,Hypertension,J18,20-35,Female,140,2,140,Secondary,Borehole,No,N/A,2,2024,Jan,4,3,344950
494,Western,Mbarara,Mbarara HC III,HC III,Malaria,B54,0-5,Female,97,1,97,Primary,Tap,No,N/A,17,2024,Feb,42,3,463856
495,Western,Kabale,Kabale HC IV,HC II,Maternal Complications,J18,60+,Male,23,0,23,Primary,Tap,No,N/A,44,2024,Mar,11,6,140704
496,Eastern,Tororo,Tororo HC III,HC IV,TB,J18,60+,Female,245,4,245,Primary,Tap,No,N/A,41,2024,Jan,18,8,261401
497,Eastern,Jinja,Jinja HC IV,HC II,TB,J18,6-12,Female,33,0,33,Primary,Tap,No,N/A,28,2024,Feb,2,1,330924
498,Central,Mukono,Mukono HC III,HC IV,Pneumonia,J18,0-5,Female,102,2,102,Primary,Borehole,No,N/A,22,2024,Feb,36,1,434904
499,Eastern,Jinja,Jinja HC III,HC II,Malnutrition,J18,20-35,Male,62,1,62,None,Tap,No,N/A,34,2024,Feb,1,0,583285
500,Northern,Lira,Lira HC IV,HC IV,Malnutrition,J18,6-12,Male,203,4,203,None,Tap,No,N/A,3,2024,Jan,34,4,723555
501,Central,Wakiso,Wakiso HC III,HC III,Anemia,J18,20-35,Female,99,1,99,Primary,Borehole,No,N/A,51,2024,Mar,21,5,415058
502,Eastern,Tororo,Tororo District Hospital,HC IV,TB,J18,6-12,Male,27,0,27,Secondary,Borehole,No,N/A,44,2024,Mar,16,12,674677
503,Eastern,Tororo,Tororo District Hospital,HC IV,Pneumonia,J18,20-35,Male,118,2,118,Secondary,Borehole,No,N/A,22,2024,Feb,19,3,418188
504,Eastern,Mbale,Mbale HC IV,HC IV,Malnutrition,J18,0-5,Female,108,2,108,None,Borehole,No,N/A,37,2024,Jan,40,6,641058
505,Central,Kampala,Kampala HC III,HC III,HIV/AIDS,J18,20-35,Male,38,0,38,Secondary,Tap,No,N/A,18,2024,Jan,49,4,313506
506,Central,Kampala,Kampala HC III,HC IV,HIV/AIDS,J18,20-35,Male,80,1,80,None,Tap,No,N/A,49,2024,Jan,14,11,53673
507,Central,Wakiso,Wakiso HC III,HC III,TB,J18,6-12,Male,175,3,175,Primary,Tap,No,N/A,36,2024,Mar,26,13,438104
508,Western,Kabale,Kabale HC IV,HC III,Pneumonia,J18,0-5,Male,60,1,60,None,Borehole,No,N/A,6,2024,Feb,21,4,124194
509,Northern,Lira,Lira HC III,HC II,Diabetes,J18,20-35,Male,8,0,8,Primary,Borehole,No,N/A,26,2024,Feb,22,6,224180
510,Central,Mukono,Mukono HC IV,HC III,Pneumonia,J18,0-5,Female,185,3,185,Secondary,Tap,No,N/A,7,2024,Jan,21,1,523236
511,Eastern,Tororo,Tororo District Hospital,HC IV,Malnutrition,J18,20-35,Female,151,3,151,Primary,Tap,No,N/A,30,2024,Feb,46,1,303905
512,Northern,Lira,Lira HC IV,HC IV,HIV/AIDS,J18,0-5,Male,123,2,123,Primary,Tap,No,N/A,28,2024,Feb,21,9,297409
513,Eastern,Jinja,Jinja HC III,HC IV,HIV/AIDS,J18,20-35,Male,55,1,55,Primary,Tap,No,N/A,41,2024,Feb,24,4,305227
514,Eastern,Tororo,Tororo District Hospital,HC IV,Maternal Complications,J18,6-12,Female,211,4,211,None,Borehole,No,N/A,41,2024,Feb,45,9,267100
515,Central,Mukono,Mukono HC IV,HC III,Malaria,B54,60+,Female,114,2,114,Secondary,Borehole,No,N/A,26,2024,Jan,38,6,40973
516,Western,Mbarara,Mbarara HC III,HC II,TB,J18,60+,Female,234,4,234,Primary,Borehole,No,N/A,3,2024,Mar,1,11,500486
517,Central,Kampala,Kampala HC III,HC II,Malaria,B54,0-5,Male,76,1,76,None,Tap,No,N/A,45,2024,Jan,9,3,52291
518,Western,Mbarara,Mbarara District Hospital,HC III,Diabetes,J18,60+,Female,21,0,21,None,Tap,No,N/A,7,2024,Mar,2,13,647299
519,Eastern,Mbale,Mbale District Hospital,HC IV,Malaria,B54,6-12,Female,117,2,117,Primary,Tap,No,N/A,6,2024,Jan,24,2,393109
