ID,Region,Sub_Region,District,Education,Crop,Yield,Water_Source,Irrigation,Area_Planted_Ha,Production_MT,Crop_Purpose,Fertilizer_Use,Improved_Seed,Gender_HH_Head,Farm_Size_Acres,Income_UGX
360,Central,Buganda North,Luwero,Secondary,Maize,3.09,River,No,4.74,14.65,Mainly own with some sale,Yes,No,Male,11.7,1935954
361,Northern,Karamoja,Kotido,Primary,Coffee,1.41,Rain,No,0.23,0.32,Own consumption only,No,Yes,Male,0.6,630047
362,Central,Buganda South,Wakiso,Secondary,Maize,5.43,Borehole,No,2.14,11.62,Own consumption only,No,No,Male,5.3,1770197
363,Western,Tooro,Fort Portal,Secondary,Maize,6.55,Borehole,No,2.78,18.21,Own consumption only,No,Yes,Male,6.9,3221491
364,Central,Buganda North,Nakaseke,University,Millet,0.6,River,No,4.27,2.56,Own consumption only,Yes,No,Male,10.6,281373
365,Eastern,Bukedi,Busia,Primary,Millet,7.06,Borehole,No,3.23,22.8,Own consumption only,No,No,Male,8.0,2760910
366,Western,Bunyoro,Masindi,Primary,Sorghum,4.23,Borehole,No,3.89,16.45,Own consumption only,No,No,Male,9.6,308823
367,Northern,Acholi,Pader,Primary,Cassava,5.19,River,No,0.92,4.77,Own consumption only,No,Yes,Male,2.3,1447286
368,Northern,Karamoja,Kotido,Secondary,Coffee,1.64,Borehole,No,3.53,5.79,Mainly own with some sale,No,No,Male,8.7,268834
369,Northern,Karamoja,Kotido,Primary,Sorghum,7.07,Rain,No,1.02,7.21,Mainly own with some sale,Yes,No,Male,2.5,2208852
370,Northern,Acholi,Gulu,Primary,Sorghum,2.17,Rain,No,4.59,9.96,Mainly own with some sale,Yes,Yes,Male,11.3,2320675
371,Western,Tooro,Fort Portal,Secondary,Coffee,5.23,River,No,5.34,27.93,Own consumption only,No,Yes,Male,13.2,2641518
372,Northern,Karamoja,Kotido,Primary,Beans,0.7,River,No,3.85,2.69,Own consumption only,No,Yes,Male,9.5,3430143
373,Western,Tooro,Kabarole,Secondary,Coffee,4.13,River,No,4.11,16.97,Own consumption only,No,Yes,Male,10.2,159435
374,Eastern,Bukedi,Busia,Secondary,Rice,2.45,River,No,0.7,1.72,Own consumption only,No,Yes,Male,1.7,1694548
375,Eastern,Busoga,Iganga,None,Rice,6.85,River,Yes,0.45,3.08,Mainly own with some sale,Yes,No,Male,1.1,2799103
376,Eastern,Elgon,Kapchorwa,Primary,Matooke,6.82,River,No,5.2,35.46,Own consumption only,Yes,Yes,Male,12.8,401492
377,Eastern,Teso,Kumi,Primary,Beans,6.93,Rain,No,2.25,15.59,Own consumption only,Yes,Yes,Male,5.6,2860108
378,Western,Kigezi,Kabale,Primary,Matooke,2.65,River,No,3.81,10.1,Own consumption only,Yes,Yes,Male,9.4,3356420
379,Western,Tooro,Fort Portal,Primary,Coffee,1.52,Rain,No,1.69,2.57,Mainly own with some sale,No,Yes,Male,4.2,550573
380,Eastern,Bukedi,Tororo,Secondary,Sweet Potatoes,4.99,River,Yes,1.46,7.29,Mainly own with some sale,No,No,Male,3.6,3414908
381,Northern,Lango,Lira,University,Sweet Potatoes,0.67,Borehole,Yes,0.73,0.49,Own consumption only,No,No,Male,1.8,155486
382,Eastern,Bukedi,Busia,Secondary,Matooke,4.46,Rain,No,0.69,3.08,Own consumption only,Yes,Yes,Female,1.7,2793129
383,Eastern,Busoga,Jinja,Secondary,Beans,0.69,Borehole,No,5.48,3.78,Mainly own with some sale,No,No,Female,13.5,2684629
384,Eastern,Busoga,Jinja,Secondary,Rice,1.84,River,No,2.46,4.53,Own consumption only,No,Yes,Male,6.1,2404656
385,Western,Bunyoro,Hoima,Primary,Matooke,6.84,River,No,4.51,30.85,Own consumption only,Yes,No,Male,11.1,1841738
386,Western,Kigezi,Kabale,Primary,Beans,1.07,River,No,5.0,5.35,Mainly own with some sale,No,Yes,Female,12.4,455062
387,Northern,Acholi,Gulu,Primary,Maize,1.94,Rain,No,3.81,7.39,Mainly own with some sale,Yes,No,Female,9.4,1703068
388,Western,Tooro,Kabarole,University,Millet,6.45,Borehole,No,0.43,2.77,Own consumption only,No,Yes,Male,1.1,2023421
389,Northern,Acholi,Pader,None,Rice,4.33,River,No,3.53,15.28,Mainly own with some sale,Yes,No,Male,8.7,1713299
390,Western,Kigezi,Rukungiri,None,Sweet Potatoes,1.88,Borehole,No,2.26,4.25,Own consumption only,Yes,Yes,Male,5.6,1192892
391,Eastern,Teso,Soroti,Secondary,Beans,1.22,Borehole,No,1.64,2.0,Own consumption only,Yes,No,Male,4.1,3091725
392,Western,Ankole,Mbarara,Secondary,Beans,1.44,Borehole,No,3.12,4.49,Own consumption only,No,Yes,Male,7.7,419114
393,Northern,Lango,Lira,Primary,Maize,0.74,Rain,No,3.22,2.38,Mainly own with some sale,No,Yes,Male,8.0,2482517
394,Central,Buganda North,Luwero,Secondary,Coffee,5.61,Rain,No,3.14,17.62,Own consumption only,No,Yes,Female,7.8,3181756
395,Central,Buganda South,Masaka,None,Groundnuts,4.93,Borehole,No,1.41,6.95,Mainly own with some sale,No,No,Female,3.5,837409
396,Eastern,Teso,Kumi,Secondary,Sweet Potatoes,6.98,Rain,No,4.53,31.62,Own consumption only,Yes,Yes,Female,11.2,3111293
397,Western,Ankole,Bushenyi,Primary,Beans,6.53,River,No,4.47,29.19,Own consumption only,Yes,Yes,Male,11.0,2603752
398,Western,Bunyoro,Masindi,Secondary,Coffee,6.58,Rain,Yes,2.59,17.04,Mainly own with some sale,No,No,Female,6.4,1709312
399,Eastern,Teso,Kumi,Primary,Coffee,0.62,Borehole,No,0.55,0.34,Own consumption only,No,Yes,Male,1.4,1876351
400,Eastern,Elgon,Mbale,Secondary,Coffee,5.11,Borehole,No,1.15,5.88,Mainly own with some sale,Yes,No,Male,2.8,2304260
401,Eastern,Bukedi,Busia,None,Maize,2.7,Rain,No,2.03,5.48,Mainly own with some sale,No,No,Male,5.0,241865
402,Western,Tooro,Fort Portal,Secondary,Groundnuts,0.94,River,No,1.9,1.79,Mainly own with some sale,Yes,Yes,Male,4.7,2457328
403,Eastern,Elgon,Mbale,Primary,Groundnuts,1.57,River,No,4.17,6.55,Mainly own with some sale,Yes,No,Male,10.3,1870684
404,Western,Kigezi,Kabale,Secondary,Cassava,2.04,River,No,0.39,0.8,Mainly own with some sale,Yes,No,Male,1.0,1828050
405,Central,Buganda North,Luwero,Primary,Cassava,2.16,Rain,No,1.49,3.22,Mainly own with some sale,No,No,Male,3.7,808956
406,Central,Buganda South,Wakiso,Primary,Matooke,2.75,Borehole,No,2.71,7.45,Own consumption only,No,No,Male,6.7,2843714
407,Western,Kigezi,Rukungiri,Secondary,Groundnuts,2.81,Borehole,Yes,1.7,4.78,Own consumption only,Yes,Yes,Male,4.2,3257092
408,Western,Bunyoro,Masindi,Primary,Groundnuts,3.67,Borehole,No,2.14,7.85,Own consumption only,Yes,Yes,Male,5.3,945543
409,Western,Bunyoro,Masindi,None,Sorghum,6.99,Rain,No,2.31,16.15,Mainly own with some sale,Yes,No,Female,5.7,675134
410,Northern,Lango,Apac,Primary,Rice,2.23,River,No,3.23,7.2,Mainly own with some sale,Yes,No,Male,8.0,2636830
411,Northern,Acholi,Gulu,Primary,Matooke,2.29,Rain,No,3.44,7.88,Own consumption only,No,No,Male,8.5,3377908
412,Eastern,Busoga,Iganga,Secondary,Maize,1.69,Borehole,No,3.11,5.26,Own consumption only,Yes,Yes,Male,7.7,2869269
413,Eastern,Busoga,Jinja,Secondary,Beans,1.04,River,Yes,4.41,4.59,Own consumption only,Yes,No,Male,10.9,536594
414,Northern,Acholi,Gulu,None,Sweet Potatoes,4.26,Rain,No,4.13,17.59,Mainly own with some sale,Yes,Yes,Male,10.2,1611074
415,Northern,Lango,Lira,Secondary,Sweet Potatoes,6.56,River,No,3.56,23.35,Own consumption only,No,No,Female,8.8,485484
416,Western,Bunyoro,Hoima,Primary,Maize,3.33,Borehole,No,3.06,10.19,Mainly own with some sale,Yes,No,Male,7.6,3101090
417,Western,Bunyoro,Masindi,Secondary,Matooke,4.63,Borehole,No,5.18,23.98,Own consumption only,No,No,Female,12.8,2345875
418,Western,Tooro,Fort Portal,Secondary,Maize,2.45,River,No,1.0,2.45,Mainly own with some sale,No,Yes,Female,2.5,1373520
419,Western,Bunyoro,Masindi,Primary,Matooke,1.06,Borehole,No,4.55,4.82,Own consumption only,Yes,Yes,Male,11.2,1857692
420,Western,Ankole,Bushenyi,Primary,Millet,4.43,Borehole,Yes,0.26,1.15,Mainly own with some sale,No,No,Male,0.6,544030
421,Western,Kigezi,Kabale,None,Beans,1.36,Rain,No,5.22,7.1,Mainly own with some sale,No,Yes,Female,12.9,3070803
422,Central,Buganda South,Wakiso,Primary,Rice,0.46,Rain,No,4.39,2.02,Own consumption only,No,No,Female,10.8,2426106
423,Eastern,Busoga,Iganga,Secondary,Sorghum,1.93,Borehole,Yes,0.85,1.64,Own consumption only,No,Yes,Male,2.1,2179454
424,Eastern,Bukedi,Busia,Secondary,Millet,5.44,River,No,2.21,12.02,Own consumption only,No,Yes,Female,5.5,616725
425,Western,Ankole,Ntungamo,Primary,Coffee,3.62,River,No,2.67,9.67,Own consumption only,No,No,Male,6.6,533152
426,Western,Tooro,Kabarole,Primary,Maize,4.66,Borehole,Yes,3.28,15.28,Own consumption only,Yes,No,Male,8.1,1819595
427,Western,Tooro,Kabarole,None,Cassava,2.37,Borehole,No,1.18,2.8,Own consumption only,No,No,Male,2.9,1940380
428,Western,Tooro,Kabarole,Primary,Coffee,4.2,Borehole,No,2.7,11.34,Mainly own with some sale,No,Yes,Male,6.7,450709
429,Central,Buganda North,Luwero,None,Coffee,1.56,River,No,1.02,1.59,Mainly own with some sale,No,No,Female,2.5,1935910
430,Eastern,Teso,Kumi,None,Cassava,6.28,Borehole,No,4.65,29.2,Own consumption only,Yes,Yes,Male,11.5,1885416
431,Eastern,Bukedi,Tororo,Secondary,Coffee,4.8,River,No,1.15,5.52,Mainly own with some sale,Yes,No,Male,2.8,649876
432,Western,Bunyoro,Masindi,None,Rice,2.32,Borehole,No,1.29,2.99,Own consumption only,Yes,No,Male,3.2,294931
433,Western,Tooro,Fort Portal,Secondary,Rice,6.46,Borehole,No,2.43,15.7,Own consumption only,Yes,No,Female,6.0,2149652
434,Western,Bunyoro,Hoima,Primary,Matooke,2.8,River,No,4.3,12.04,Mainly own with some sale,Yes,No,Male,10.6,217642
435,Northern,West Nile,Nebbi,None,Sweet Potatoes,1.56,River,No,2.7,4.21,Own consumption only,Yes,No,Male,6.7,266739
436,Western,Kigezi,Kabale,Secondary,Sorghum,1.48,River,No,2.99,4.43,Mainly own with some sale,No,Yes,Male,7.4,2156032
437,Eastern,Bukedi,Tororo,None,Sorghum,6.03,Rain,No,3.65,22.01,Own consumption only,No,Yes,Male,9.0,1376476
438,Northern,Karamoja,Moroto,Primary,Rice,4.26,River,No,2.82,12.01,Mainly own with some sale,No,Yes,Male,7.0,2268324
439,Central,Buganda South,Wakiso,Primary,Matooke,0.77,Rain,No,4.29,3.3,Mainly own with some sale,Yes,No,Male,10.6,2663518
440,Eastern,Elgon,Mbale,Primary,Matooke,5.35,Borehole,No,5.17,27.66,Own consumption only,Yes,No,Female,12.8,1761754
441,Western,Ankole,Mbarara,None,Maize,3.57,Rain,No,3.5,12.49,Own consumption only,No,No,Male,8.6,3320082
442,Central,Buganda North,Luwero,Primary,Beans,0.32,Borehole,No,0.61,0.2,Own consumption only,Yes,Yes,Male,1.5,330553
443,Northern,Karamoja,Kotido,University,Coffee,1.58,Borehole,No,2.56,4.04,Own consumption only,Yes,No,Male,6.3,614071
444,Northern,Karamoja,Moroto,University,Rice,4.76,Borehole,No,4.99,23.75,Mainly own with some sale,Yes,Yes,Male,12.3,2565572
445,Western,Bunyoro,Hoima,Secondary,Coffee,0.53,River,No,5.05,2.68,Own consumption only,No,Yes,Female,12.5,431570
446,Western,Ankole,Bushenyi,Primary,Coffee,4.75,Rain,No,2.97,14.11,Own consumption only,Yes,No,Male,7.3,959942
447,Eastern,Teso,Kumi,Secondary,Sweet Potatoes,5.85,Rain,No,3.23,18.9,Mainly own with some sale,Yes,No,Female,8.0,2357169
448,Eastern,Busoga,Jinja,Secondary,Beans,7.13,Borehole,No,2.65,18.89,Mainly own with some sale,No,Yes,Male,6.5,2571212
449,Northern,West Nile,Nebbi,Primary,Sweet Potatoes,4.63,River,No,2.74,12.69,Own consumption only,Yes,No,Male,6.8,2279885
450,Northern,Acholi,Kitgum,Secondary,Beans,2.75,River,No,0.79,2.17,Mainly own with some sale,Yes,Yes,Female,2.0,316472
451,Northern,Acholi,Pader,University,Millet,1.16,Borehole,No,2.28,2.64,Own consumption only,No,Yes,Female,5.6,2746874
452,Northern,West Nile,Nebbi,None,Groundnuts,1.45,Rain,No,3.45,5.0,Own consumption only,Yes,Yes,Male,8.5,452186
453,Western,Ankole,Bushenyi,Secondary,Sorghum,0.55,Rain,No,2.24,1.23,Own consumption only,Yes,Yes,Male,5.5,2702851
454,Western,Kigezi,Kabale,Secondary,Maize,2.1,Borehole,No,2.98,6.26,Mainly own with some sale,Yes,No,Male,7.4,3094088
455,Northern,Karamoja,Moroto,Secondary,Coffee,6.23,Borehole,No,4.94,30.78,Own consumption only,Yes,Yes,Female,12.2,1292953
456,Northern,Karamoja,Moroto,None,Groundnuts,6.73,Borehole,No,1.94,13.06,Own consumption only,Yes,No,Male,4.8,1042964
457,Eastern,Teso,Soroti,Secondary,Groundnuts,6.47,Rain,No,0.78,5.05,Own consumption only,Yes,No,Male,1.9,161303
458,Western,Ankole,Mbarara,Secondary,Coffee,6.27,Rain,No,3.08,19.31,Mainly own with some sale,Yes,Yes,Female,7.6,1034056
459,Eastern,Bukedi,Busia,Primary,Millet,4.57,Borehole,Yes,3.8,17.37,Own consumption only,Yes,Yes,Female,9.4,2774159
460,Northern,Lango,Apac,Secondary,Cassava,6.57,River,No,1.41,9.26,Mainly own with some sale,Yes,Yes,Male,3.5,2767703
461,Western,Ankole,Ntungamo,None,Coffee,4.03,River,No,3.56,14.35,Own consumption only,No,No,Male,8.8,1814221
462,Eastern,Bukedi,Busia,Secondary,Matooke,6.77,Borehole,No,0.74,5.01,Mainly own with some sale,No,Yes,Male,1.8,922800
463,Western,Bunyoro,Masindi,University,Matooke,0.62,Borehole,No,3.49,2.16,Own consumption only,No,Yes,Male,8.6,1111568
464,Western,Bunyoro,Hoima,Secondary,Rice,5.95,River,No,2.17,12.91,Own consumption only,No,Yes,Male,5.4,3131352
465,Eastern,Busoga,Jinja,Primary,Beans,6.0,Borehole,No,2.99,17.94,Mainly own with some sale,Yes,Yes,Female,7.4,1636205
466,Eastern,Teso,Soroti,Primary,Matooke,5.35,River,No,0.37,1.98,Own consumption only,Yes,Yes,Male,0.9,2488683
467,Western,Bunyoro,Masindi,Secondary,Groundnuts,1.77,River,No,1.42,2.51,Mainly own with some sale,Yes,No,Male,3.5,2624968
468,Northern,Acholi,Pader,Secondary,Matooke,1.36,Borehole,No,0.68,0.92,Mainly own with some sale,No,Yes,Female,1.7,3218281
469,Central,Buganda North,Nakaseke,None,Maize,3.49,River,No,1.18,4.12,Mainly own with some sale,Yes,No,Male,2.9,3024299
470,Western,Bunyoro,Masindi,Primary,Maize,2.16,Rain,No,3.28,7.08,Mainly own with some sale,No,No,Female,8.1,1043093
471,Northern,Lango,Apac,University,Sorghum,6.23,Borehole,No,3.88,24.17,Own consumption only,No,Yes,Male,9.6,1819211
472,Central,Buganda South,Masaka,Primary,Beans,5.65,Rain,No,2.03,11.47,Own consumption only,No,Yes,Female,5.0,1779849
473,Western,Bunyoro,Masindi,Secondary,Beans,7.04,Borehole,No,1.91,13.45,Own consumption only,No,Yes,Female,4.7,994092
474,Central,Buganda North,Luwero,None,Sweet Potatoes,4.4,River,Yes,4.95,21.78,Mainly own with some sale,No,No,Female,12.2,2653997
475,Northern,Lango,Apac,Primary,Rice,4.86,River,No,2.77,13.46,Own consumption only,Yes,Yes,Male,6.8,711165
476,Northern,Lango,Apac,Primary,Coffee,4.39,River,No,4.04,17.74,Mainly own with some sale,No,Yes,Male,10.0,2881638
477,Eastern,Bukedi,Busia,None,Coffee,3.74,River,No,3.69,13.8,Mainly own with some sale,Yes,Yes,Male,9.1,1540281
478,Central,Buganda North,Luwero,Primary,Cassava,0.8,Rain,No,3.81,3.05,Own consumption only,No,Yes,Female,9.4,1145843
479,Eastern,Teso,Kumi,Primary,Coffee,7.11,Rain,No,2.17,15.43,Own consumption only,No,No,Male,5.4,439102
480,Western,Ankole,Ntungamo,Primary,Sorghum,4.82,Rain,No,4.4,21.21,Own consumption only,No,No,Female,10.9,2042064
481,Central,Buganda North,Nakaseke,Primary,Beans,3.1,Borehole,No,4.31,13.36,Mainly own with some sale,Yes,Yes,Male,10.7,2867499
482,Western,Tooro,Fort Portal,Secondary,Cassava,3.85,River,No,2.56,9.86,Own consumption only,Yes,No,Male,6.3,2240212
483,Eastern,Bukedi,Busia,Primary,Cassava,5.64,Borehole,No,1.92,10.83,Mainly own with some sale,Yes,No,Male,4.7,1192377
484,Western,Tooro,Fort Portal,Primary,Groundnuts,6.02,Borehole,Yes,1.99,11.98,Own consumption only,No,No,Male,4.9,2463336
485,Northern,Lango,Lira,Secondary,Groundnuts,4.88,Borehole,No,4.1,20.01,Mainly own with some sale,Yes,Yes,Male,10.1,1717053
486,Western,Ankole,Bushenyi,None,Cassava,1.89,Borehole,No,0.85,1.61,Own consumption only,Yes,Yes,Male,2.1,3097762
487,Northern,West Nile,Nebbi,University,Beans,3.04,Rain,No,3.85,11.7,Own consumption only,Yes,Yes,Male,9.5,1205146
488,Western,Ankole,Ntungamo,None,Matooke,3.97,River,No,2.02,8.02,Own consumption only,No,No,Male,5.0,1699302
489,Eastern,Elgon,Mbale,Primary,Beans,1.92,Rain,No,1.03,1.98,Mainly own with some sale,Yes,No,Male,2.5,178625
490,Northern,Acholi,Gulu,None,Groundnuts,6.27,Rain,No,4.6,28.84,Own consumption only,Yes,Yes,Female,11.4,3014781
491,Eastern,Bukedi,Busia,Secondary,Beans,4.28,River,No,3.73,15.96,Own consumption only,Yes,Yes,Female,9.2,832568
492,Eastern,Bukedi,Busia,Secondary,Sorghum,5.4,River,Yes,3.21,17.33,Own consumption only,No,No,Male,7.9,306498
493,Western,Tooro,Kabarole,Secondary,Millet,1.13,Borehole,No,4.53,5.12,Mainly own with some sale,Yes,Yes,Male,11.2,2933836
494,Northern,Karamoja,Moroto,Primary,Rice,4.07,Borehole,No,3.36,13.68,Mainly own with some sale,No,No,Male,8.3,2062584
495,Central,Buganda North,Nakaseke,Primary,Millet,6.87,Rain,No,3.07,21.09,Mainly own with some sale,Yes,No,Male,7.6,1865499
496,Central,Buganda South,Masaka,Secondary,Millet,5.58,Borehole,No,3.42,19.08,Mainly own with some sale,Yes,Yes,Female,8.5,1516808
497,Central,Buganda South,Wakiso,Primary,Coffee,0.72,River,No,5.11,3.68,Mainly own with some sale,No,Yes,Male,12.6,2938890
498,Western,Tooro,Kabarole,None,Beans,4.02,River,No,4.46,17.93,Mainly own with some sale,No,Yes,Male,11.0,904950
499,Eastern,Teso,Soroti,Primary,Maize,3.92,River,No,1.16,4.55,Mainly own with some sale,No,No,Male,2.9,1560822
500,Western,Bunyoro,Masindi,None,Cassava,0.6,River,No,3.12,1.87,Mainly own with some sale,No,Yes,Female,7.7,671998
501,Western,Kigezi,Rukungiri,University,Maize,2.79,River,No,1.13,3.15,Mainly own with some sale,No,No,Female,2.8,2410134
502,Western,Kigezi,Rukungiri,Primary,Beans,5.59,Rain,No,4.49,25.1,Own consumption only,No,No,Male,11.1,1016964
503,Northern,Acholi,Pader,Secondary,Rice,2.45,Rain,No,1.15,2.82,Own consumption only,Yes,No,Male,2.8,692015
504,Central,Buganda North,Nakaseke,Primary,Cassava,4.96,Rain,No,3.36,16.67,Own consumption only,No,No,Female,8.3,3072051
505,Western,Kigezi,Kabale,None,Groundnuts,6.55,Rain,Yes,1.99,13.03,Own consumption only,Yes,No,Male,4.9,2315160
506,Eastern,Busoga,Iganga,Secondary,Millet,3.88,River,No,0.57,2.21,Own consumption only,No,No,Male,1.4,2476341
507,Western,Ankole,Mbarara,University,Cassava,4.87,River,No,5.47,26.64,Mainly own with some sale,No,No,Female,13.5,2289980
508,Western,Tooro,Kabarole,Primary,Sweet Potatoes,1.69,Borehole,No,3.86,6.52,Own consumption only,No,No,Female,9.5,1340402
509,Northern,West Nile,Nebbi,None,Matooke,3.06,Rain,No,1.44,4.41,Own consumption only,No,No,Male,3.6,1814742
510,Northern,Acholi,Kitgum,None,Matooke,3.8,Rain,No,3.42,13.0,Own consumption only,No,Yes,Male,8.5,2015690
511,Northern,Karamoja,Kotido,Primary,Rice,2.41,River,No,3.14,7.57,Own consumption only,No,Yes,Male,7.8,876331
512,Eastern,Bukedi,Tororo,None,Beans,3.76,Rain,No,2.27,8.54,Mainly own with some sale,No,No,Male,5.6,2954802
513,Eastern,Busoga,Jinja,None,Beans,0.86,Borehole,No,1.81,1.56,Mainly own with some sale,No,No,Female,4.5,3108104
514,Western,Tooro,Kabarole,None,Sorghum,6.67,River,No,4.77,31.82,Own consumption only,Yes,Yes,Female,11.8,1400956
515,Eastern,Bukedi,Busia,None,Matooke,3.6,Rain,No,0.85,3.06,Mainly own with some sale,No,No,Male,2.1,1363261
516,Central,Buganda South,Masaka,None,Beans,1.03,Borehole,No,2.53,2.61,Own consumption only,Yes,Yes,Male,6.3,2497649
517,Northern,West Nile,Nebbi,Primary,Cassava,0.7,Borehole,No,5.47,3.83,Own consumption only,Yes,No,Male,13.5,2125154
518,Eastern,Busoga,Iganga,Secondary,Groundnuts,0.73,Rain,No,3.87,2.83,Mainly own with some sale,No,Yes,Male,9.6,3045995
519,Western,Bunyoro,Masindi,Primary,Coffee,1.2,Borehole,No,2.46,2.95,Mainly own with some sale,No,Yes,Male,6.1,3372101
520,Eastern,Bukedi,Tororo,Primary,Sorghum,3.17,Borehole,No,0.26,0.82,Own consumption only,No,No,Male,0.6,1688112
521,Western,Tooro,Fort Portal,Primary,Millet,1.96,Rain,No,0.26,0.51,Own consumption only,Yes,Yes,Male,0.6,1334446
522,Eastern,Bukedi,Busia,None,Beans,0.98,River,No,4.68,4.59,Own consumption only,Yes,No,Female,11.6,869401
523,Western,Tooro,Kabarole,Primary,Maize,1.0,River,No,0.91,0.91,Own consumption only,Yes,No,Female,2.2,702959
524,Eastern,Teso,Soroti,Secondary,Sorghum,5.99,Rain,No,4.34,26.0,Mainly own with some sale,Yes,No,Female,10.7,1115188
525,Eastern,Teso,Soroti,None,Cassava,4.99,Borehole,No,2.91,14.52,Own consumption only,No,Yes,Male,7.2,2068596
526,Central,Buganda South,Masaka,University,Matooke,2.74,Borehole,Yes,4.11,11.26,Own consumption only,No,Yes,Male,10.2,3325684
527,Eastern,Bukedi,Busia,Primary,Maize,5.57,Borehole,No,3.7,20.61,Mainly own with some sale,Yes,Yes,Male,9.1,2766241
528,Central,Buganda North,Nakaseke,None,Sweet Potatoes,4.54,River,No,0.84,3.81,Own consumption only,No,No,Female,2.1,3170634
529,Eastern,Elgon,Kapchorwa,Secondary,Beans,3.65,Borehole,No,0.8,2.92,Own consumption only,No,No,Male,2.0,565384
530,Eastern,Elgon,Mbale,Primary,Matooke,3.33,River,Yes,2.49,8.29,Mainly own with some sale,No,Yes,Female,6.2,1451367
531,Eastern,Bukedi,Tororo,Secondary,Sweet Potatoes,5.93,Borehole,No,1.72,10.2,Own consumption only,No,Yes,Female,4.3,772893
532,Eastern,Elgon,Kapchorwa,Primary,Sorghum,1.55,River,Yes,3.16,4.9,Mainly own with some sale,No,Yes,Male,7.8,2391281
533,Western,Tooro,Kabarole,Primary,Coffee,0.93,Borehole,No,3.83,3.56,Own consumption only,No,Yes,Male,9.5,1265488
534,Eastern,Elgon,Mbale,Secondary,Cassava,1.03,Borehole,No,3.44,3.54,Own consumption only,Yes,No,Male,8.5,2480255
535,Eastern,Elgon,Mbale,Primary,Coffee,5.31,River,No,1.51,8.02,Own consumption only,No,Yes,Male,3.7,3375830
536,Northern,Lango,Lira,Primary,Matooke,2.75,River,No,1.2,3.3,Mainly own with some sale,No,No,Male,3.0,1576445
537,Northern,Karamoja,Moroto,Secondary,Cassava,2.84,River,No,5.28,15.0,Own consumption only,No,No,Male,13.0,1830403
538,Western,Kigezi,Kabale,Secondary,Sorghum,4.39,Borehole,No,4.9,21.51,Mainly own with some sale,No,No,Male,12.1,1082883
539,Northern,Acholi,Kitgum,Secondary,Millet,3.62,River,No,3.32,12.02,Mainly own with some sale,No,No,Male,8.2,3311757
540,Western,Ankole,Ntungamo,Primary,Coffee,0.46,River,No,3.39,1.56,Mainly own with some sale,No,No,Male,8.4,2422158
