ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Farm_Size_acres,Fertilizer_Use,Household_Size,Refugee_Status,Protection_Needs,Disease,Health_Facility,ANC_Visits,Latrine_Type,Water_Distance_min,Handwashing,Main_Income,Food_Months,Savings_UGX,Coping_Strategy,GBV_Case_Type,Survivor_Gender,Support_Received,Referred,Item_Code,Item_Name,Stock,Location,KPI,Baseline,Target,Achieved,Research_Title,Methodology,P_Value,Findings
23,Eastern,Kampala,Secondary,3.657395158241722,46,Female,1951797,Tap,Cassava,2024,6.542672255433338,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Western,Arua,Secondary,5.077101978786293,50,Female,297406,Well,Coffee,2022,2.6001020288104204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Western,Mbarara,University,7.263723857390432,44,Female,1560018,Well,Beans,2024,9.794774148605661,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Eastern,Arua,Secondary,4.77781689088114,42,Female,1164725,Tap,Coffee,2022,7.607823106800477,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Eastern,Gulu,Secondary,3.715690819413632,27,Female,1555662,River,Cassava,2023,5.7992256423551645,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Eastern,Gulu,Secondary,3.8453758170665058,64,Male,1776317,Well,Cassava,2024,2.2156486826653583,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Western,Mbarara,University,4.953227565528598,40,Male,1875675,Borehole,Cassava,2023,1.0116529664812481,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Western,Kampala,Primary,1.9333305874898943,38,Male,779223,Well,Coffee,2023,3.5405684089493428,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Central,Gulu,University,7.963485458031259,38,Female,584583,Borehole,Beans,2024,7.655279691177327,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Central,Lira,Secondary,3.2706678058977268,60,Male,1947306,Borehole,Maize,2023,3.058647333869238,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Western,Gulu,Primary,1.7196983461430952,30,Female,1221436,Well,Coffee,2024,5.625784094707298,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Eastern,Gulu,Secondary,4.840189823707124,54,Female,994760,Well,Cassava,2023,7.41549817894206,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Eastern,Kampala,Secondary,4.602768291993094,50,Female,1264110,Borehole,Coffee,2024,1.5254652891414113,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Central,Arua,Secondary,4.889863249796301,41,Male,1202429,Tap,Cassava,2024,7.010331153100797,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Western,Gulu,Secondary,3.0367794599095963,61,Female,1809184,Tap,Maize,2022,1.3727734332454247,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Central,Mbarara,None,3.764057949300346,28,Female,1822034,Well,Maize,2024,9.668732550206467,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Central,Arua,Secondary,2.98424662583275,34,Male,1349122,River,Beans,2024,5.139744235616926,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Northern,Lira,University,6.954247313734068,21,Male,804489,Tap,Cassava,2023,1.9314230232438352,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Northern,Kampala,Primary,2.3413445041314134,64,Female,1246439,Well,Beans,2024,3.752644542318692,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Northern,Lira,Secondary,3.0133584826349527,42,Female,958761,Tap,Beans,2022,4.427456268304984,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Eastern,Arua,Primary,2.1297905771867502,47,Male,1519360,River,Maize,2023,7.702757605227105,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Western,Arua,Secondary,4.22330760088587,26,Male,431324,Well,Coffee,2023,7.5625259677277885,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Western,Arua,Secondary,3.55002678813653,38,Male,684273,River,Coffee,2022,6.313434800704645,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Western,Lira,Secondary,5.137223621534849,37,Female,1933985,Well,Beans,2023,1.506341769305683,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Western,Arua,Primary,2.338374254537529,36,Male,1647410,River,Maize,2023,1.939909030082899,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Northern,Lira,Secondary,2.8587253289817136,36,Male,1482188,Tap,Cassava,2023,1.390690746132788,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Eastern,Arua,None,0.2,29,Male,1959989,Tap,Coffee,2023,5.983141441231726,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Eastern,Mbarara,Primary,3.106165090611456,54,Female,1119424,River,Beans,2022,8.832815194358338,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Northern,Arua,None,0.2,59,Male,506081,River,Coffee,2022,4.621104866420332,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Eastern,Lira,Primary,2.8164260730490835,34,Male,925084,River,Coffee,2023,2.028057652598589,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Northern,Gulu,Secondary,4.644655185666959,54,Male,1391855,Well,Cassava,2023,5.801402088915187,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Western,Arua,Secondary,3.204644636075983,56,Male,1445422,Tap,Maize,2022,8.211646060224243,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Northern,Gulu,Secondary,5.090738083774891,45,Male,888332,Well,Cassava,2022,7.546264584372835,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Western,Mbarara,Primary,0.7822063762383678,58,Female,1652591,Tap,Maize,2022,8.873782406912703,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Western,Kampala,University,7.096458933998559,52,Female,926448,Borehole,Coffee,2023,3.140069923864244,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Central,Mbarara,Secondary,4.159142066403992,64,Female,622132,Well,Beans,2023,2.342561739043861,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Northern,Arua,Secondary,4.0810020242691065,35,Male,270463,Tap,Cassava,2024,8.858256616448418,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Central,Gulu,University,5.622103357019427,31,Female,293500,Tap,Maize,2022,6.746822971391219,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Northern,Gulu,University,5.862977995600074,52,Female,1456348,Well,Coffee,2023,3.4538248350717646,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Northern,Lira,Primary,4.118802025020598,61,Female,761446,Well,Maize,2022,7.552306480438837,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Central,Gulu,Primary,3.7151550088717538,58,Male,1333183,Tap,Maize,2023,8.243624652563495,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Central,Lira,University,7.542084588523799,24,Male,969305,Well,Maize,2022,6.342293283240758,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Northern,Kampala,Secondary,5.139848103529688,58,Female,533840,River,Coffee,2023,7.034899043859194,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Eastern,Arua,None,2.046013544671269,30,Female,1047942,Well,Beans,2024,4.06496909220533,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Western,Lira,Secondary,3.8766437877137916,35,Male,320076,Well,Beans,2024,5.617608839758871,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Central,Kampala,University,6.847603551814351,54,Male,1307268,Well,Beans,2022,5.479512121898542,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Western,Gulu,Secondary,2.7274916219589915,30,Female,855129,Tap,Maize,2023,8.556454015742332,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Eastern,Gulu,Secondary,4.110304373192474,53,Male,917104,River,Coffee,2023,8.479657812680735,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Eastern,Kampala,University,7.983414249539186,48,Female,1002242,Borehole,Maize,2022,8.41046445879691,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Eastern,Gulu,Primary,1.8392927517428643,19,Male,1122630,Borehole,Beans,2023,0.604800335493425,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Central,Kampala,Primary,3.523141204687226,33,Female,361081,River,Beans,2022,7.620682102454438,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Eastern,Lira,Secondary,4.2915857386937635,26,Female,1360294,River,Coffee,2023,7.707425706054546,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Central,Lira,University,5.414628134330267,26,Male,1601652,River,Maize,2022,6.944598817123848,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Eastern,Kampala,Primary,1.3926804866536884,55,Female,724480,Tap,Cassava,2023,7.6845142499687995,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Western,Lira,Secondary,5.119302869707755,28,Female,447536,Borehole,Cassava,2022,8.498718529218733,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Western,Lira,Secondary,4.752524085258385,39,Female,236413,River,Beans,2023,4.9680310139669634,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Northern,Lira,Secondary,4.301764072987625,50,Male,1392464,Tap,Coffee,2024,5.269477028140248,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Western,Mbarara,Secondary,3.9259681857520548,53,Male,1811946,Borehole,Maize,2023,1.6847835406582097,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Northern,Arua,University,7.010567977628585,62,Male,1051480,Well,Maize,2022,4.161070888949937,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Western,Gulu,Secondary,5.080296249253249,40,Female,1895994,Tap,Beans,2024,6.611969209161951,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Central,Mbarara,Secondary,5.675853280487285,62,Male,775228,Borehole,Beans,2023,7.913797873399108,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Western,Lira,Secondary,5.723684199440605,62,Female,1936066,Tap,Maize,2024,2.5634864280665,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Northern,Kampala,Secondary,4.571959900758499,51,Female,764430,Borehole,Maize,2023,1.8093175420127363,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Northern,Lira,Primary,2.3280683096354795,26,Male,1771356,Borehole,Beans,2024,6.798899042754676,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Eastern,Arua,Primary,2.6462480078188557,41,Male,236468,Well,Maize,2022,0.517858893486651,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Central,Lira,Secondary,4.72212035725508,25,Female,1148202,Tap,Cassava,2023,2.1945395509196333,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Western,Kampala,None,1.7180669438450913,24,Female,866015,River,Beans,2023,0.7761781132675605,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Eastern,Arua,Primary,3.8079866371401048,53,Male,1427545,Well,Maize,2022,2.0854086196212736,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Western,Lira,Secondary,6.315755721916656,35,Male,1671867,Well,Beans,2024,2.2225331592922997,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Western,Arua,Secondary,3.994745370385914,20,Male,1126863,Borehole,Coffee,2022,4.182899150128745,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Eastern,Gulu,Primary,4.655884908824462,45,Female,1115480,River,Beans,2022,4.3221076845222814,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Eastern,Gulu,Secondary,5.372239246758394,23,Female,1743989,Tap,Beans,2024,8.80549347079726,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Eastern,Lira,Secondary,4.099177009814793,61,Female,1484763,River,Coffee,2022,5.34604226873884,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Eastern,Arua,Primary,3.9985648388650796,61,Female,242056,River,Cassava,2023,7.37234527331672,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Eastern,Kampala,University,8.485648301419165,38,Female,251831,River,Maize,2023,1.4893049002427308,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Western,Lira,Secondary,3.7397045558061532,45,Male,1045623,River,Coffee,2023,2.6416681769050916,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Eastern,Gulu,Secondary,5.932215252485648,57,Male,973952,River,Beans,2022,7.17796268929743,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Central,Gulu,Secondary,5.275082821035964,18,Female,1108380,Borehole,Maize,2023,1.0016376244510168,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Northern,Lira,University,9.0,53,Female,626488,Borehole,Coffee,2023,5.122677791315654,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Eastern,Arua,Secondary,3.7759614180005014,38,Male,832405,Well,Maize,2023,6.194005173797872,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Eastern,Gulu,Secondary,3.846573256264004,60,Male,476815,Borehole,Maize,2023,6.22038361849857,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Western,Arua,Secondary,2.17333787025666,52,Male,1537768,Well,Coffee,2023,0.7178617070463993,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Eastern,Gulu,Primary,3.0711939205679624,30,Male,1193778,Well,Maize,2023,3.560026040177262,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Eastern,Gulu,Primary,2.875251255618718,27,Female,768242,Tap,Cassava,2022,6.546661184966963,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Eastern,Mbarara,Secondary,3.6370063284643335,61,Male,1714101,River,Coffee,2023,1.9154974934178126,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Western,Gulu,Secondary,4.118149268511942,64,Female,433192,Borehole,Cassava,2023,7.106448659116506,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Eastern,Kampala,Secondary,2.888778989824885,27,Male,1606150,Tap,Beans,2024,7.586289483729908,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Northern,Lira,Primary,3.698444952831686,63,Male,725005,Borehole,Maize,2022,9.82870730923838,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Western,Lira,Secondary,3.71030052547169,30,Male,1522396,Well,Beans,2022,2.4934989511358894,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Northern,Arua,Primary,5.594049015620952,54,Female,1646226,Borehole,Beans,2022,8.338741342828094,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Western,Gulu,Secondary,4.024398699288968,55,Female,1429458,River,Maize,2022,5.442817480727213,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Eastern,Kampala,Secondary,3.4403811589516904,41,Male,1367272,Well,Coffee,2023,4.0478946633696475,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Northern,Arua,Secondary,3.787686881265138,19,Female,1212140,Well,Maize,2023,1.6625791945891906,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Western,Mbarara,Secondary,2.788039023455749,39,Female,204994,Tap,Beans,2024,7.487303261631607,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Central,Arua,Secondary,4.682271890702943,34,Male,990666,River,Beans,2024,2.7406471918650275,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Eastern,Arua,Secondary,3.780100300220878,53,Male,269300,Well,Coffee,2022,4.028509017793935,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Western,Gulu,Secondary,5.331252790397738,31,Female,506093,River,Maize,2024,1.094151155525,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Central,Mbarara,None,0.9252525048255825,27,Female,761693,Borehole,Beans,2024,8.112985700285432,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Western,Arua,Secondary,5.584442111685647,52,Female,1545592,River,Cassava,2022,7.782590977730612,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Central,Kampala,Secondary,4.957455749317041,42,Male,1552935,Well,Beans,2022,7.4693503854019685,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Eastern,Kampala,Secondary,4.228596776718344,20,Male,1796049,Tap,Beans,2024,3.344713349672923,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Northern,Lira,Secondary,5.780232587350822,64,Female,1947378,Well,Coffee,2023,2.1480607055265937,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Central,Mbarara,University,7.752293461037209,55,Male,716479,River,Cassava,2024,6.556756012467183,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Western,Mbarara,University,9.0,34,Male,1693551,River,Beans,2024,5.213580649075585,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Eastern,Lira,Primary,2.0905447550217957,29,Female,539679,Well,Beans,2023,2.193398435594095,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Central,Arua,Primary,2.5766161054584606,41,Female,1906517,River,Cassava,2023,7.016157074973705,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Western,Mbarara,Secondary,5.76870901101093,46,Male,1300293,Borehole,Maize,2022,9.915701102302386,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Western,Kampala,Primary,0.9564621881648876,60,Male,1251339,Well,Maize,2022,7.598586083549358,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Western,Kampala,Secondary,5.516943563232562,42,Female,555054,Tap,Beans,2024,7.529870673513312,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Central,Gulu,University,7.239302757681471,53,Male,1304056,Well,Beans,2023,9.527971152840621,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Central,Mbarara,Primary,1.6117892445527522,43,Male,1942695,Borehole,Maize,2022,2.4278954919615705,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Central,Arua,Primary,1.1369603414488785,55,Female,1455715,Borehole,Coffee,2024,5.872724666753683,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Northern,Lira,Primary,1.827510526869716,18,Female,1366670,Borehole,Cassava,2023,9.806643792821893,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Central,Lira,Secondary,1.9151804276744282,37,Male,880667,Borehole,Cassava,2024,2.0702940542166584,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Central,Arua,Secondary,3.7104605563084965,45,Male,951731,Borehole,Coffee,2022,7.15239361472295,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Central,Gulu,Primary,3.1225563333425814,33,Male,1783928,Tap,Coffee,2022,6.065196386733069,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Northern,Lira,University,6.323699359031172,64,Female,1325424,River,Coffee,2023,6.071551375792716,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central,Mbarara,Secondary,5.588312701433808,34,Male,1810412,Borehole,Coffee,2024,7.127870961440713,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Western,Gulu,None,2.8599476027252875,57,Male,1416593,Borehole,Coffee,2023,9.331360767319,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Central,Mbarara,Secondary,5.475644482625775,45,Female,992908,Well,Coffee,2022,7.9345284285877105,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Western,Kampala,Secondary,4.430640910264366,29,Female,644972,Tap,Cassava,2022,1.033292982453995,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Western,Gulu,Primary,0.2,44,Male,1775246,Tap,Coffee,2024,8.600916188819257,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Western,Lira,None,0.49630250796739406,59,Female,642899,River,Maize,2024,2.64264263429446,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Northern,Gulu,None,1.057961473225613,64,Female,681215,Tap,Coffee,2024,4.080684564995534,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Northern,Gulu,Primary,1.6061323504951892,47,Male,900636,Well,Coffee,2023,4.886461729317631,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Northern,Gulu,University,6.660494524513429,58,Female,1733673,Well,Cassava,2024,5.068607007154162,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Central,Gulu,University,8.410067468693379,51,Female,1752092,River,Cassava,2024,4.634213792925889,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Western,Mbarara,Primary,0.8542234704846818,54,Male,620162,Well,Coffee,2022,9.404856295050712,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Northern,Kampala,Primary,4.311692056119027,23,Female,1852562,Borehole,Cassava,2022,7.207180572808234,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Northern,Arua,Primary,3.384726421754137,24,Male,970050,Borehole,Beans,2024,6.496121136588711,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Central,Gulu,Primary,2.7682168082776957,49,Male,1191437,Well,Cassava,2024,0.9734992639379447,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Northern,Lira,University,6.086383444259236,49,Female,245095,River,Cassava,2022,9.08717663747356,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Central,Gulu,Primary,1.6260496545085745,42,Female,1721722,Tap,Cassava,2024,9.139206824079764,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Eastern,Lira,Primary,0.8737822854112602,50,Female,592118,River,Cassava,2023,7.912024102585972,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Northern,Mbarara,Primary,4.216765480314387,24,Male,1794874,Tap,Maize,2023,0.566777436229382,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Eastern,Lira,Secondary,5.737611560074042,29,Female,1665915,Well,Maize,2023,1.044162385237422,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Central,Arua,Primary,1.0937153714167178,33,Male,550067,Well,Maize,2024,2.6396251715506525,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Western,Kampala,Secondary,3.647372005093799,33,Female,1906826,Borehole,Coffee,2022,1.7478193773766137,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Northern,Lira,Primary,2.933144769231909,60,Female,1641246,Tap,Coffee,2024,4.288942282185429,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Central,Lira,Secondary,3.9004908618277923,53,Female,1357738,River,Beans,2024,9.264919051834001,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Western,Kampala,Secondary,2.2813252429681823,30,Male,583071,Well,Maize,2022,4.984574124871484,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Western,Arua,Primary,1.8422272394443118,24,Female,470170,River,Coffee,2022,0.6273249511055733,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
