ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Main_Income,Food_Months,Savings_UGX,Coping_Strategy
24,Western,Arua,Secondary,5.077101978786293,24,Male,987670,Borehole,Cassava,2022,Farming,4,324639,None
25,Western,Mbarara,University,7.263723857390432,57,Female,1460505,River,Maize,2023,Farming,11,397959,Reduce Meals
26,Eastern,Arua,Secondary,4.77781689088114,62,Male,1392697,Tap,Maize,2024,Casual,11,8951,Reduce Meals
27,Eastern,Gulu,Secondary,3.715690819413632,41,Male,781481,River,Maize,2024,Farming,6,138086,Reduce Meals
28,Eastern,Gulu,Secondary,3.8453758170665058,28,Male,1939520,Tap,Coffee,2023,Business,5,36180,Reduce Meals
29,Western,Mbarara,University,4.953227565528598,58,Female,1577354,Borehole,Beans,2023,Business,8,319121,None
30,Western,Kampala,Primary,1.9333305874898943,18,Male,1787543,Tap,Beans,2023,Farming,5,247117,None
31,Central,Gulu,University,7.963485458031259,49,Male,1545225,River,Coffee,2022,Business,3,190606,None
32,Central,Lira,Secondary,3.2706678058977268,57,Female,1562061,Tap,Maize,2022,Farming,6,63209,Reduce Meals
33,Western,Gulu,Primary,1.7196983461430952,61,Female,694285,River,Coffee,2023,Casual,3,249241,Borrow
34,Eastern,Gulu,Secondary,4.840189823707124,19,Female,774662,Well,Coffee,2022,Farming,4,172980,Reduce Meals
35,Eastern,Kampala,Secondary,4.602768291993094,32,Male,1033430,Borehole,Beans,2024,Farming,5,370719,Borrow
36,Central,Arua,Secondary,4.889863249796301,38,Male,1194474,River,Coffee,2023,Casual,10,313062,None
37,Western,Gulu,Secondary,3.0367794599095963,41,Male,1435349,Well,Coffee,2024,Business,6,401435,Reduce Meals
38,Central,Mbarara,None,3.764057949300346,34,Female,375931,Borehole,Maize,2022,Casual,6,138235,Reduce Meals
39,Central,Arua,Secondary,2.98424662583275,64,Female,1637923,Well,Cassava,2023,Casual,11,133542,None
40,Northern,Lira,University,6.954247313734068,26,Male,757466,River,Maize,2022,Farming,9,409759,Reduce Meals
41,Northern,Kampala,Primary,2.3413445041314134,52,Male,1145079,Borehole,Beans,2024,Farming,4,150348,Borrow
42,Northern,Lira,Secondary,3.0133584826349527,37,Female,1661121,Well,Cassava,2022,Casual,5,120014,Borrow
43,Eastern,Arua,Primary,2.1297905771867502,36,Female,1699046,River,Maize,2024,Business,6,167953,Borrow
44,Western,Arua,Secondary,4.22330760088587,35,Female,1482738,Well,Coffee,2022,Casual,6,341094,Reduce Meals
45,Western,Arua,Secondary,3.55002678813653,37,Male,569517,Borehole,Coffee,2024,Business,10,7749,Reduce Meals
46,Western,Lira,Secondary,5.137223621534849,47,Female,1757266,Borehole,Cassava,2022,Casual,8,286326,Borrow
47,Western,Arua,Primary,2.338374254537529,57,Female,415101,Borehole,Cassava,2023,Casual,5,339594,Reduce Meals
48,Northern,Lira,Secondary,2.8587253289817136,18,Female,418438,River,Coffee,2023,Business,11,80543,Borrow
49,Eastern,Arua,None,0.2,41,Female,1877003,Well,Beans,2022,Casual,10,96487,None
50,Eastern,Mbarara,Primary,3.106165090611456,41,Male,1348866,Well,Maize,2024,Farming,11,372371,Borrow
51,Northern,Arua,None,0.2,64,Female,1191166,River,Coffee,2022,Casual,7,229216,None
52,Eastern,Lira,Primary,2.8164260730490835,36,Male,1749166,Borehole,Maize,2023,Farming,5,414599,None
53,Northern,Gulu,Secondary,4.644655185666959,47,Male,1419716,Tap,Maize,2024,Business,6,340722,None
54,Western,Arua,Secondary,3.204644636075983,43,Female,1307527,Borehole,Maize,2022,Business,7,116258,Borrow
55,Northern,Gulu,Secondary,5.090738083774891,59,Female,1598349,Tap,Maize,2022,Farming,11,156484,Borrow
56,Western,Mbarara,Primary,0.7822063762383678,61,Male,1676963,Borehole,Beans,2024,Casual,11,13181,Reduce Meals
57,Western,Kampala,University,7.096458933998559,55,Female,863622,River,Beans,2022,Farming,5,44898,Reduce Meals
58,Central,Mbarara,Secondary,4.159142066403992,46,Male,351857,Tap,Beans,2023,Farming,9,452846,None
59,Northern,Arua,Secondary,4.0810020242691065,30,Female,543367,River,Coffee,2023,Business,8,265549,Borrow
60,Central,Gulu,University,5.622103357019427,21,Male,1765433,Tap,Coffee,2024,Farming,6,489620,Reduce Meals
61,Northern,Gulu,University,5.862977995600074,62,Male,769931,Well,Coffee,2022,Casual,7,273006,Reduce Meals
62,Northern,Lira,Primary,4.118802025020598,34,Male,1447305,Tap,Beans,2022,Farming,4,185751,Reduce Meals
63,Central,Gulu,Primary,3.7151550088717538,50,Female,1776446,Tap,Maize,2023,Business,9,290832,Borrow
64,Central,Lira,University,7.542084588523799,22,Male,1885645,Tap,Beans,2024,Casual,6,48017,Reduce Meals
65,Northern,Kampala,Secondary,5.139848103529688,45,Male,828292,Well,Coffee,2024,Business,4,489697,None
66,Eastern,Arua,None,2.046013544671269,41,Female,764288,River,Cassava,2024,Farming,8,275083,Borrow
67,Western,Lira,Secondary,3.8766437877137916,34,Female,826880,Well,Coffee,2023,Farming,4,243343,Reduce Meals
68,Central,Kampala,University,6.847603551814351,56,Male,690424,Tap,Maize,2023,Business,4,487683,Reduce Meals
69,Western,Gulu,Secondary,2.7274916219589915,57,Male,1249661,Borehole,Beans,2024,Business,9,366296,Borrow
70,Eastern,Gulu,Secondary,4.110304373192474,61,Female,1198931,Well,Cassava,2024,Casual,3,301729,Reduce Meals
71,Eastern,Kampala,University,7.983414249539186,63,Male,1084426,Borehole,Cassava,2022,Business,9,378459,Reduce Meals
72,Eastern,Gulu,Primary,1.8392927517428643,28,Female,1701593,Well,Maize,2022,Business,7,104447,None
73,Central,Kampala,Primary,3.523141204687226,29,Female,392811,Well,Beans,2024,Farming,3,243885,Borrow
74,Eastern,Lira,Secondary,4.2915857386937635,30,Female,1767938,Tap,Cassava,2023,Farming,8,239434,Reduce Meals
75,Central,Lira,University,5.414628134330267,25,Male,929541,River,Coffee,2023,Business,9,499916,Borrow
76,Eastern,Kampala,Primary,1.3926804866536884,18,Female,1093546,River,Maize,2022,Business,3,154014,Borrow
77,Western,Lira,Secondary,5.119302869707755,26,Male,1683388,Tap,Cassava,2024,Farming,11,241147,None
78,Western,Lira,Secondary,4.752524085258385,45,Male,1758828,Well,Maize,2023,Casual,9,398488,None
79,Northern,Lira,Secondary,4.301764072987625,19,Female,1056842,River,Beans,2023,Casual,3,437350,Borrow
80,Western,Mbarara,Secondary,3.9259681857520548,31,Female,672519,River,Beans,2023,Casual,5,155337,None
81,Northern,Arua,University,7.010567977628585,30,Female,907548,River,Beans,2023,Casual,7,254743,None
82,Western,Gulu,Secondary,5.080296249253249,19,Female,1537545,Tap,Coffee,2022,Farming,6,179264,Reduce Meals
83,Central,Mbarara,Secondary,5.675853280487285,21,Male,1914849,Borehole,Cassava,2023,Business,4,159740,None
84,Western,Lira,Secondary,5.723684199440605,29,Male,1461399,Borehole,Beans,2023,Casual,3,81560,None
85,Northern,Kampala,Secondary,4.571959900758499,27,Female,284269,Borehole,Coffee,2024,Farming,6,359579,Reduce Meals
86,Northern,Lira,Primary,2.3280683096354795,20,Male,254895,Borehole,Beans,2024,Business,9,69283,Reduce Meals
87,Eastern,Arua,Primary,2.6462480078188557,21,Female,1646224,Borehole,Beans,2022,Casual,6,9297,Borrow
88,Central,Lira,Secondary,4.72212035725508,23,Male,436641,River,Cassava,2022,Business,11,64005,None
89,Western,Kampala,None,1.7180669438450913,40,Male,599319,River,Coffee,2022,Casual,10,390977,Reduce Meals
90,Eastern,Arua,Primary,3.8079866371401048,22,Male,984118,Well,Beans,2022,Business,10,189506,None
91,Western,Lira,Secondary,6.315755721916656,20,Female,1751108,River,Coffee,2023,Casual,7,457965,Borrow
92,Western,Arua,Secondary,3.994745370385914,27,Male,1108478,Tap,Coffee,2024,Casual,3,394823,None
93,Eastern,Gulu,Primary,4.655884908824462,60,Male,1578287,Well,Beans,2023,Business,11,130654,None
94,Eastern,Gulu,Secondary,5.372239246758394,36,Male,524857,River,Beans,2023,Business,4,190255,None
95,Eastern,Lira,Secondary,4.099177009814793,31,Male,414241,Well,Maize,2023,Business,8,86994,Reduce Meals
96,Eastern,Arua,Primary,3.9985648388650796,38,Female,782927,Well,Cassava,2024,Farming,7,56305,Reduce Meals
97,Eastern,Kampala,University,8.485648301419165,60,Male,1730520,Borehole,Beans,2022,Farming,10,159045,Borrow
98,Western,Lira,Secondary,3.7397045558061532,45,Female,1614323,Well,Maize,2022,Business,5,416333,None
99,Eastern,Gulu,Secondary,5.932215252485648,38,Female,1243245,River,Cassava,2024,Farming,8,213058,Borrow
100,Central,Gulu,Secondary,5.275082821035964,53,Male,278488,Borehole,Beans,2024,Casual,8,212143,Borrow
101,Northern,Lira,University,9.0,41,Male,1603625,River,Coffee,2022,Business,5,384832,Reduce Meals
102,Eastern,Arua,Secondary,3.7759614180005014,55,Female,694614,Borehole,Cassava,2023,Farming,9,225963,None
103,Eastern,Gulu,Secondary,3.846573256264004,34,Female,465121,River,Coffee,2022,Business,6,269789,None
104,Western,Arua,Secondary,2.17333787025666,39,Female,1102082,Borehole,Maize,2024,Casual,7,304382,Borrow
105,Eastern,Gulu,Primary,3.0711939205679624,36,Male,1483677,Borehole,Beans,2022,Casual,11,69694,None
106,Eastern,Gulu,Primary,2.875251255618718,62,Male,1565361,Tap,Maize,2022,Farming,8,172845,Reduce Meals
107,Eastern,Mbarara,Secondary,3.6370063284643335,27,Female,594484,River,Beans,2022,Casual,6,278930,Borrow
108,Western,Gulu,Secondary,4.118149268511942,28,Female,1100897,Well,Beans,2024,Business,10,40693,Borrow
109,Eastern,Kampala,Secondary,2.888778989824885,55,Female,1827295,Borehole,Coffee,2024,Farming,11,358591,Reduce Meals
110,Northern,Lira,Primary,3.698444952831686,19,Male,1527476,River,Maize,2022,Business,7,419794,Reduce Meals
111,Western,Lira,Secondary,3.71030052547169,50,Male,1924700,Borehole,Coffee,2022,Business,4,439624,Reduce Meals
112,Northern,Arua,Primary,5.594049015620952,60,Female,390984,Tap,Coffee,2023,Business,8,69702,Reduce Meals
113,Western,Gulu,Secondary,4.024398699288968,48,Male,870392,Tap,Coffee,2023,Casual,10,346989,Reduce Meals
114,Eastern,Kampala,Secondary,3.4403811589516904,52,Female,1998950,Tap,Maize,2022,Business,7,277220,Reduce Meals
115,Northern,Arua,Secondary,3.787686881265138,54,Male,1949638,Tap,Beans,2024,Casual,3,281521,Borrow
116,Western,Mbarara,Secondary,2.788039023455749,64,Female,1915821,Well,Beans,2023,Business,10,140350,None
117,Central,Arua,Secondary,4.682271890702943,64,Male,1412511,Well,Maize,2022,Casual,11,458024,None
118,Eastern,Arua,Secondary,3.780100300220878,53,Male,1853878,Borehole,Beans,2023,Casual,3,389512,Borrow
119,Western,Gulu,Secondary,5.331252790397738,40,Male,887477,River,Maize,2023,Casual,10,33539,None
120,Central,Mbarara,None,0.9252525048255825,53,Male,1138257,Tap,Maize,2023,Business,4,126552,None
121,Western,Arua,Secondary,5.584442111685647,57,Male,1531045,Tap,Beans,2024,Business,6,142512,Borrow
122,Central,Kampala,Secondary,4.957455749317041,56,Male,1648813,Well,Cassava,2022,Casual,4,288389,None
123,Eastern,Kampala,Secondary,4.228596776718344,43,Male,673937,Well,Coffee,2024,Business,4,415313,None
124,Northern,Lira,Secondary,5.780232587350822,42,Female,253096,Tap,Maize,2024,Casual,5,204775,Borrow
125,Central,Mbarara,University,7.752293461037209,34,Female,1975340,River,Maize,2023,Business,10,329236,None
126,Western,Mbarara,University,9.0,32,Female,868431,Borehole,Cassava,2022,Casual,6,371598,Reduce Meals
127,Eastern,Lira,Primary,2.0905447550217957,54,Male,1237588,Borehole,Maize,2023,Casual,9,394367,Borrow
128,Central,Arua,Primary,2.5766161054584606,62,Male,994473,Borehole,Maize,2024,Farming,5,152770,None
129,Western,Mbarara,Secondary,5.76870901101093,21,Male,937411,Borehole,Beans,2024,Business,5,148673,None
130,Western,Kampala,Primary,0.9564621881648876,39,Female,702827,River,Beans,2022,Business,4,157879,Reduce Meals
131,Western,Kampala,Secondary,5.516943563232562,34,Female,1288634,River,Cassava,2024,Farming,8,176374,Borrow
132,Central,Gulu,University,7.239302757681471,39,Female,772551,River,Maize,2024,Casual,8,216936,Borrow
133,Central,Mbarara,Primary,1.6117892445527522,34,Female,422574,Well,Coffee,2022,Casual,3,139111,None
134,Central,Arua,Primary,1.1369603414488785,31,Female,1353396,Tap,Beans,2023,Farming,9,309571,Reduce Meals
135,Northern,Lira,Primary,1.827510526869716,31,Female,831933,River,Coffee,2022,Farming,6,333983,Reduce Meals
136,Central,Lira,Secondary,1.9151804276744282,34,Male,899830,Borehole,Coffee,2024,Casual,5,189121,Reduce Meals
137,Central,Arua,Secondary,3.7104605563084965,25,Female,1991762,River,Cassava,2022,Business,10,412269,Reduce Meals
138,Central,Gulu,Primary,3.1225563333425814,51,Male,689454,Tap,Cassava,2023,Farming,4,228252,Reduce Meals
139,Northern,Lira,University,6.323699359031172,43,Female,1538943,Well,Maize,2024,Farming,11,378945,Reduce Meals
140,Central,Mbarara,Secondary,5.588312701433808,62,Female,1020007,Borehole,Cassava,2023,Farming,10,494497,Borrow
141,Western,Gulu,None,2.8599476027252875,47,Male,1163303,Well,Beans,2023,Farming,10,372989,None
142,Central,Mbarara,Secondary,5.475644482625775,39,Male,965064,River,Maize,2022,Farming,5,348442,None
143,Western,Kampala,Secondary,4.430640910264366,33,Male,1532381,Borehole,Maize,2023,Farming,6,89147,Reduce Meals
144,Western,Gulu,Primary,0.2,47,Female,430119,Borehole,Coffee,2022,Casual,4,55413,Borrow
145,Western,Lira,None,0.49630250796739406,33,Female,624363,River,Coffee,2022,Casual,4,65958,Borrow
146,Northern,Gulu,None,1.057961473225613,55,Male,753402,River,Coffee,2023,Farming,6,31275,Reduce Meals
147,Northern,Gulu,Primary,1.6061323504951892,41,Female,1778894,Tap,Maize,2022,Casual,8,26597,None
148,Northern,Gulu,University,6.660494524513429,53,Male,552195,River,Cassava,2022,Business,7,339665,Reduce Meals
149,Central,Gulu,University,8.410067468693379,52,Female,1951365,River,Cassava,2023,Business,3,94243,Borrow
150,Western,Mbarara,Primary,0.8542234704846818,23,Female,1034175,River,Cassava,2024,Farming,3,254482,Reduce Meals
151,Northern,Kampala,Primary,4.311692056119027,21,Female,426941,Borehole,Maize,2022,Business,8,68908,None
152,Northern,Arua,Primary,3.384726421754137,35,Male,1636476,Tap,Maize,2022,Business,5,474835,None
153,Central,Gulu,Primary,2.7682168082776957,23,Female,1576335,Borehole,Maize,2023,Casual,5,317332,Borrow
154,Northern,Lira,University,6.086383444259236,43,Male,1296153,River,Maize,2022,Casual,9,296854,Reduce Meals
155,Central,Gulu,Primary,1.6260496545085745,54,Male,687800,Tap,Maize,2023,Casual,3,380637,Reduce Meals
156,Eastern,Lira,Primary,0.8737822854112602,44,Male,572580,River,Cassava,2024,Casual,3,222424,Borrow
157,Northern,Mbarara,Primary,4.216765480314387,58,Male,727254,Borehole,Maize,2024,Business,5,468702,Reduce Meals
158,Eastern,Lira,Secondary,5.737611560074042,28,Male,1624558,Borehole,Cassava,2023,Farming,10,180122,Borrow
159,Central,Arua,Primary,1.0937153714167178,55,Male,1776592,River,Maize,2024,Casual,3,311393,Reduce Meals
160,Western,Kampala,Secondary,3.647372005093799,33,Male,1941240,Tap,Cassava,2023,Business,6,34247,None
161,Northern,Lira,Primary,2.933144769231909,36,Male,1691069,Borehole,Beans,2022,Casual,11,463378,Borrow
162,Central,Lira,Secondary,3.9004908618277923,60,Male,1483765,River,Beans,2024,Business,6,288552,Reduce Meals
163,Western,Kampala,Secondary,2.2813252429681823,32,Female,1732122,Well,Cassava,2022,Casual,10,76313,Reduce Meals
164,Western,Arua,Primary,1.8422272394443118,43,Male,1904883,River,Beans,2022,Farming,9,201755,Reduce Meals
165,Eastern,Gulu,Secondary,6.1510342980200186,58,Female,1576850,River,Beans,2023,Casual,5,249407,Borrow
166,Central,Lira,University,6.210021409585556,48,Male,745702,Tap,Cassava,2024,Farming,9,267587,None
167,Western,Kampala,University,6.636532663297793,36,Female,1213730,River,Maize,2024,Casual,9,392414,Reduce Meals
168,Northern,Mbarara,Secondary,3.0548225759646197,41,Female,1199564,Well,Maize,2022,Casual,5,131151,Borrow
169,Northern,Kampala,Secondary,4.787762985283749,26,Female,293005,River,Cassava,2022,Casual,4,358962,Reduce Meals
170,Eastern,Mbarara,University,6.915151799024583,40,Female,612655,Well,Coffee,2023,Business,11,431561,None
171,Western,Arua,Secondary,3.4579802584430217,21,Female,651436,Borehole,Coffee,2024,Business,3,143973,None
172,Central,Gulu,None,0.2,27,Female,902145,River,Beans,2023,Farming,9,198831,None
173,Northern,Kampala,University,8.204543374010875,26,Male,1547693,Tap,Coffee,2023,Farming,6,494089,Borrow
174,Western,Lira,Primary,0.8944565933589197,36,Male,404390,River,Beans,2023,Business,4,173804,Reduce Meals
175,Western,Arua,Secondary,4.703815695589555,32,Male,923556,Well,Maize,2024,Farming,4,210376,Borrow
176,Eastern,Kampala,Primary,0.3461207552884269,51,Male,1493965,Well,Cassava,2023,Farming,10,250278,Reduce Meals
177,Northern,Lira,None,1.9072116830123824,59,Male,1910025,Tap,Maize,2024,Business,9,148579,Borrow
178,Northern,Kampala,Primary,3.4702988872600606,36,Male,1243774,Well,Cassava,2023,Business,9,260082,Reduce Meals
179,Central,Mbarara,Secondary,5.294783711639914,38,Female,401926,River,Coffee,2022,Business,7,343929,Borrow
180,Northern,Kampala,Primary,2.338791531430132,51,Male,1733933,Well,Maize,2023,Business,10,126691,Reduce Meals
181,Central,Kampala,Primary,4.084003605563696,34,Female,229400,River,Maize,2023,Casual,4,257426,Borrow
182,Northern,Kampala,Primary,4.807791694996068,35,Female,1395053,River,Beans,2024,Business,4,297535,None
183,Eastern,Arua,Secondary,3.878376863954037,34,Female,1627960,Well,Cassava,2022,Farming,7,34171,Borrow
184,Northern,Kampala,University,6.3489949698700725,19,Female,252763,Tap,Coffee,2022,Casual,3,444946,None
185,Central,Lira,Secondary,4.349177260344936,18,Female,1672001,Borehole,Maize,2024,Casual,8,377163,None
186,Central,Mbarara,Secondary,3.722319854105793,60,Female,1453246,Tap,Cassava,2024,Farming,6,269629,Reduce Meals
187,Eastern,Mbarara,University,6.1761298039898795,27,Male,872784,Borehole,Coffee,2022,Casual,8,389772,None
188,Northern,Kampala,Secondary,3.6632614597584907,54,Female,1093242,Tap,Maize,2024,Farming,9,372248,None
189,Northern,Arua,Primary,4.215756008006245,22,Female,309955,River,Cassava,2022,Casual,5,377571,Reduce Meals
190,Eastern,Arua,Primary,3.271881995035432,29,Male,1400204,River,Beans,2023,Casual,10,226392,Borrow
191,Northern,Lira,Primary,2.019053872741909,53,Male,1603857,Well,Maize,2023,Farming,9,242174,Borrow
192,Northern,Kampala,Primary,0.2,48,Male,1136834,Borehole,Cassava,2022,Farming,3,90153,None
193,Central,Mbarara,Secondary,2.655535506393533,55,Male,936626,Borehole,Coffee,2022,Farming,8,37748,Borrow
194,Northern,Arua,Secondary,4.703429082601878,26,Male,858596,Well,Coffee,2023,Farming,9,397094,None
195,Northern,Kampala,Primary,0.3784440586111826,61,Male,924576,Tap,Beans,2023,Business,6,133021,Borrow
196,Eastern,Arua,Secondary,4.492993527451956,43,Male,1662983,Well,Maize,2022,Business,4,216452,Borrow
197,Eastern,Arua,Secondary,3.1344362751349744,32,Female,1358178,Tap,Beans,2024,Farming,11,247888,Borrow
198,Western,Mbarara,Primary,2.5918057745806733,33,Male,1463105,Well,Cassava,2024,Business,9,414097,None
199,Central,Gulu,University,6.863856301334143,30,Female,562315,Borehole,Coffee,2022,Farming,3,182378,Reduce Meals
200,Northern,Lira,Secondary,4.3205899338907106,42,Male,524437,Borehole,Beans,2024,Farming,10,87150,Borrow
201,Northern,Lira,Primary,2.1055781529214794,47,Male,838412,Tap,Maize,2023,Casual,5,89364,Borrow
202,Western,Mbarara,Secondary,3.772714374392268,24,Female,446921,Borehole,Cassava,2023,Farming,6,115925,Borrow
203,Northern,Arua,Secondary,3.4792095810635617,21,Male,1154192,Borehole,Maize,2024,Farming,7,9958,None
204,Central,Kampala,Secondary,4.68389231724189,60,Male,1975165,Borehole,Beans,2022,Farming,3,452401,Reduce Meals
205,Western,Arua,Secondary,5.0051926747809485,57,Male,1858666,Borehole,Coffee,2023,Farming,8,139769,None
206,Central,Mbarara,Secondary,2.981027477463874,55,Male,1488900,River,Coffee,2023,Casual,8,87160,Borrow
207,Western,Lira,Secondary,4.148371527707731,47,Male,1602744,Well,Beans,2023,Farming,4,277637,None
208,Western,Arua,Primary,2.696582073487738,27,Male,355194,Well,Maize,2024,Casual,8,173873,Borrow
209,Eastern,Lira,Primary,2.683771134623042,47,Male,1945160,River,Maize,2022,Farming,10,283343,Borrow
210,Central,Kampala,None,1.3667696195965178,56,Female,425612,Borehole,Maize,2024,Casual,8,262081,None
211,Northern,Lira,Secondary,3.797965189654776,24,Male,599547,Well,Maize,2022,Business,6,238962,Borrow
212,Northern,Lira,Primary,2.779030425462539,53,Female,942462,Well,Coffee,2022,Casual,6,459008,Borrow
213,Central,Gulu,University,7.41802871098362,52,Female,573555,Well,Maize,2024,Casual,11,427704,Reduce Meals
214,Northern,Gulu,Secondary,4.341036655822564,41,Female,242262,Tap,Beans,2023,Farming,8,292637,None
215,Northern,Gulu,University,7.305939836533724,56,Female,1225194,River,Beans,2022,Casual,10,111545,None
216,Central,Lira,University,7.790353411037507,53,Female,1626934,Tap,Beans,2024,Casual,10,311146,Borrow
217,Western,Mbarara,University,4.949059642104732,62,Female,306435,Tap,Beans,2023,Farming,9,23731,Borrow
218,Central,Lira,University,7.743463841865367,37,Female,1227604,River,Maize,2022,Business,5,138148,None
219,Western,Mbarara,Secondary,4.542427765221275,49,Male,1859178,Well,Coffee,2022,Business,3,263215,None
220,Northern,Mbarara,Secondary,3.0883746722612733,56,Male,914952,Tap,Cassava,2023,Business,7,362070,None
221,Northern,Gulu,Primary,3.3024708823196884,43,Male,889286,Well,Maize,2022,Casual,4,127872,Borrow
222,Northern,Arua,Primary,2.1016790939760384,43,Female,1072719,Tap,Cassava,2024,Farming,4,460818,Reduce Meals
223,Eastern,Kampala,Secondary,3.938033563681447,53,Male,843606,Well,Coffee,2022,Business,9,484397,Reduce Meals
224,Western,Gulu,Secondary,3.692320217534338,60,Female,592278,Borehole,Maize,2022,Business,5,41410,Borrow
225,Eastern,Gulu,Primary,2.8023988442382244,52,Female,741816,Borehole,Cassava,2023,Business,10,230273,Borrow
226,Eastern,Arua,Secondary,3.414646857487947,60,Male,1248644,Borehole,Coffee,2024,Business,11,447543,Borrow
227,Central,Kampala,University,7.701474629947786,52,Female,1055685,River,Cassava,2023,Farming,10,357092,None
228,Eastern,Lira,Secondary,4.061137412805328,29,Female,1067186,Borehole,Beans,2024,Business,8,192144,Borrow
229,Central,Lira,Secondary,3.835797516512063,50,Male,1947904,Tap,Beans,2023,Casual,7,228443,None
230,Central,Gulu,University,7.55287567761397,53,Female,553082,Well,Coffee,2022,Casual,5,41041,Reduce Meals
231,Eastern,Kampala,University,6.48044323768092,31,Male,1738971,Well,Coffee,2024,Farming,5,385760,Borrow
232,Western,Gulu,Secondary,5.1481768253623015,50,Female,1814993,Well,Cassava,2024,Business,9,53326,Borrow
233,Western,Mbarara,University,7.779592950840866,63,Female,1503511,Well,Coffee,2022,Business,7,431765,None
234,Western,Gulu,University,5.465196161781023,62,Male,576140,Tap,Beans,2023,Casual,8,315240,None
235,Western,Gulu,University,7.9092602022229235,62,Male,1474336,Well,Beans,2024,Farming,8,186650,None
236,Western,Lira,Primary,1.0379640284981144,41,Male,1309897,Tap,Maize,2022,Casual,11,439606,Reduce Meals
237,Eastern,Lira,Secondary,5.371580526882511,32,Female,735814,Tap,Cassava,2022,Farming,3,439268,Reduce Meals
238,Eastern,Lira,Primary,4.528357192230239,48,Female,1996388,Well,Coffee,2024,Farming,10,305311,Borrow
239,Northern,Mbarara,None,2.0748344382691313,34,Male,963871,Well,Coffee,2024,Farming,7,447803,Borrow
240,Western,Lira,Secondary,2.043019355300327,29,Male,684780,Well,Coffee,2024,Casual,8,323436,None
241,Eastern,Kampala,Secondary,5.263565719386019,39,Male,1930645,Tap,Cassava,2022,Farming,8,485330,Reduce Meals
242,Northern,Arua,University,9.0,40,Female,307535,River,Beans,2023,Casual,3,337563,Borrow
243,Western,Kampala,Primary,2.196968359001971,43,Female,215063,Tap,Coffee,2023,Casual,5,173211,None
244,Central,Kampala,University,6.76529667997011,31,Male,1908659,River,Coffee,2024,Business,8,349897,None
245,Northern,Lira,Secondary,3.011513278073568,29,Male,1777077,Well,Beans,2022,Casual,11,141779,Reduce Meals
246,Eastern,Arua,Secondary,4.51207941881967,21,Male,1481418,Tap,Coffee,2022,Casual,8,237464,Reduce Meals
247,Central,Arua,University,8.069177182543129,63,Female,1333522,Well,Maize,2024,Business,8,406356,Borrow
248,Central,Arua,Secondary,4.897737128149454,30,Male,813206,River,Beans,2022,Business,3,11093,Borrow
