ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Item_Code,Item_Name,Stock,Location
37,Western,Gulu,Secondary,3.0367794599095963,32,Male,1460554,River,Coffee,2022,ITEM-36,Hoe,727,Store B
38,Central,Mbarara,None,3.764057949300346,51,Male,985254,Tap,Coffee,2022,ITEM-37,Hoe,245,Store B
39,Central,Arua,Secondary,2.98424662583275,56,Male,649582,River,Beans,2024,ITEM-38,Hoe,51,Store A
40,Northern,Lira,University,6.954247313734068,43,Male,453442,Tap,Beans,2024,ITEM-39,Hoe,169,Store A
41,Northern,Kampala,Primary,2.3413445041314134,22,Male,902081,Well,Beans,2022,ITEM-40,Maize Seed,773,Store A
42,Northern,Lira,Secondary,3.0133584826349527,42,Male,1046261,Borehole,Beans,2022,ITEM-41,DAP,700,Store A
43,Eastern,Arua,Primary,2.1297905771867502,51,Female,1759198,River,Maize,2024,ITEM-42,DAP,134,Store A
44,Western,Arua,Secondary,4.22330760088587,64,Female,1355975,Tap,Beans,2022,ITEM-43,Hoe,269,Store A
45,Western,Arua,Secondary,3.55002678813653,21,Male,733930,Well,Maize,2022,ITEM-44,Maize Seed,285,Store A
46,Western,Lira,Secondary,5.137223621534849,51,Male,545519,Well,Cassava,2024,ITEM-45,Hoe,222,Store A
47,Western,Arua,Primary,2.338374254537529,44,Female,1862081,River,Cassava,2023,ITEM-46,Maize Seed,972,Store A
48,Northern,Lira,Secondary,2.8587253289817136,59,Female,1706325,Well,Coffee,2022,ITEM-47,Hoe,482,Store A
49,Eastern,Arua,None,0.2,46,Male,403643,Well,Coffee,2023,ITEM-48,Hoe,845,Store A
50,Eastern,Mbarara,Primary,3.106165090611456,22,Female,1957318,Well,Maize,2023,ITEM-49,DAP,711,Store B
51,Northern,Arua,None,0.2,35,Male,890395,Tap,Beans,2022,ITEM-50,Maize Seed,579,Store A
52,Eastern,Lira,Primary,2.8164260730490835,21,Female,1625740,Well,Coffee,2023,ITEM-51,Maize Seed,440,Store A
53,Northern,Gulu,Secondary,4.644655185666959,18,Female,319937,Well,Maize,2024,ITEM-52,DAP,724,Store B
54,Western,Arua,Secondary,3.204644636075983,37,Female,1403231,Well,Coffee,2022,ITEM-53,DAP,89,Store A
55,Northern,Gulu,Secondary,5.090738083774891,23,Female,674882,Well,Beans,2022,ITEM-54,DAP,964,Store B
56,Western,Mbarara,Primary,0.7822063762383678,37,Female,1786600,Well,Maize,2023,ITEM-55,DAP,237,Store B
57,Western,Kampala,University,7.096458933998559,37,Male,1290857,Tap,Coffee,2022,ITEM-56,Maize Seed,911,Store A
58,Central,Mbarara,Secondary,4.159142066403992,63,Male,1327927,Well,Beans,2022,ITEM-57,Maize Seed,104,Store A
59,Northern,Arua,Secondary,4.0810020242691065,44,Female,1338508,Well,Maize,2023,ITEM-58,DAP,433,Store B
60,Central,Gulu,University,5.622103357019427,43,Male,617528,Borehole,Maize,2023,ITEM-59,Hoe,982,Store A
61,Northern,Gulu,University,5.862977995600074,49,Male,1588500,Well,Maize,2022,ITEM-60,Hoe,928,Store A
62,Northern,Lira,Primary,4.118802025020598,27,Female,1946604,Well,Cassava,2022,ITEM-61,Hoe,957,Store A
63,Central,Gulu,Primary,3.7151550088717538,35,Male,779940,Tap,Maize,2024,ITEM-62,Hoe,525,Store B
64,Central,Lira,University,7.542084588523799,58,Male,593174,Well,Coffee,2024,ITEM-63,Maize Seed,174,Store B
65,Northern,Kampala,Secondary,5.139848103529688,29,Female,1522438,Tap,Maize,2022,ITEM-64,Maize Seed,435,Store A
66,Eastern,Arua,None,2.046013544671269,27,Male,1199824,River,Maize,2022,ITEM-65,Maize Seed,821,Store A
67,Western,Lira,Secondary,3.8766437877137916,41,Female,296219,Well,Maize,2024,ITEM-66,Hoe,902,Store B
68,Central,Kampala,University,6.847603551814351,41,Female,1489774,Borehole,Maize,2023,ITEM-67,DAP,51,Store B
69,Western,Gulu,Secondary,2.7274916219589915,55,Male,1161501,Tap,Maize,2022,ITEM-68,Hoe,806,Store A
70,Eastern,Gulu,Secondary,4.110304373192474,63,Female,624644,River,Cassava,2024,ITEM-69,Maize Seed,750,Store A
71,Eastern,Kampala,University,7.983414249539186,42,Male,1481943,Borehole,Beans,2024,ITEM-70,Hoe,412,Store A
72,Eastern,Gulu,Primary,1.8392927517428643,25,Male,1438470,Tap,Cassava,2022,ITEM-71,DAP,764,Store B
73,Central,Kampala,Primary,3.523141204687226,31,Female,1406138,River,Coffee,2022,ITEM-72,DAP,733,Store B
74,Eastern,Lira,Secondary,4.2915857386937635,60,Male,509495,Borehole,Beans,2024,ITEM-73,Hoe,425,Store A
75,Central,Lira,University,5.414628134330267,48,Male,1289577,Well,Coffee,2022,ITEM-74,Maize Seed,309,Store B
76,Eastern,Kampala,Primary,1.3926804866536884,41,Male,1163360,Borehole,Maize,2023,ITEM-75,Maize Seed,64,Store A
77,Western,Lira,Secondary,5.119302869707755,33,Male,587194,Borehole,Coffee,2022,ITEM-76,Maize Seed,345,Store A
78,Western,Lira,Secondary,4.752524085258385,37,Male,1825549,Borehole,Cassava,2024,ITEM-77,Hoe,910,Store A
79,Northern,Lira,Secondary,4.301764072987625,55,Male,1716690,Tap,Cassava,2024,ITEM-78,Maize Seed,890,Store A
80,Western,Mbarara,Secondary,3.9259681857520548,64,Male,1222447,Well,Maize,2022,ITEM-79,Hoe,439,Store A
81,Northern,Arua,University,7.010567977628585,32,Female,1768370,Well,Maize,2024,ITEM-80,Maize Seed,981,Store B
82,Western,Gulu,Secondary,5.080296249253249,31,Male,1107749,Tap,Beans,2023,ITEM-81,DAP,694,Store B
83,Central,Mbarara,Secondary,5.675853280487285,29,Female,1862411,Borehole,Cassava,2022,ITEM-82,DAP,798,Store A
84,Western,Lira,Secondary,5.723684199440605,51,Female,1929222,Well,Cassava,2022,ITEM-83,Maize Seed,343,Store B
85,Northern,Kampala,Secondary,4.571959900758499,25,Male,342463,Borehole,Beans,2024,ITEM-84,Hoe,750,Store A
86,Northern,Lira,Primary,2.3280683096354795,36,Female,489143,Well,Cassava,2023,ITEM-85,Maize Seed,415,Store B
87,Eastern,Arua,Primary,2.6462480078188557,63,Female,737240,Tap,Beans,2022,ITEM-86,Hoe,39,Store B
88,Central,Lira,Secondary,4.72212035725508,22,Female,1461424,River,Cassava,2024,ITEM-87,DAP,544,Store B
89,Western,Kampala,None,1.7180669438450913,44,Male,1204302,Borehole,Coffee,2022,ITEM-88,Hoe,526,Store B
90,Eastern,Arua,Primary,3.8079866371401048,58,Female,612498,Well,Coffee,2023,ITEM-89,Maize Seed,584,Store A
91,Western,Lira,Secondary,6.315755721916656,30,Female,1873215,Well,Beans,2024,ITEM-90,DAP,230,Store B
92,Western,Arua,Secondary,3.994745370385914,49,Female,909714,Well,Beans,2022,ITEM-91,Hoe,836,Store B
93,Eastern,Gulu,Primary,4.655884908824462,48,Female,1266518,Tap,Maize,2024,ITEM-92,Hoe,999,Store B
94,Eastern,Gulu,Secondary,5.372239246758394,58,Female,201722,Tap,Cassava,2024,ITEM-93,DAP,603,Store B
95,Eastern,Lira,Secondary,4.099177009814793,63,Female,630036,River,Coffee,2023,ITEM-94,Maize Seed,503,Store B
96,Eastern,Arua,Primary,3.9985648388650796,54,Male,1182534,Tap,Maize,2023,ITEM-95,DAP,763,Store B
97,Eastern,Kampala,University,8.485648301419165,19,Female,1640105,Borehole,Cassava,2022,ITEM-96,Maize Seed,262,Store B
98,Western,Lira,Secondary,3.7397045558061532,24,Female,790507,Tap,Coffee,2024,ITEM-97,Maize Seed,573,Store B
99,Eastern,Gulu,Secondary,5.932215252485648,28,Male,980534,Well,Cassava,2024,ITEM-98,Hoe,330,Store A
100,Central,Gulu,Secondary,5.275082821035964,28,Male,611610,Borehole,Beans,2024,ITEM-99,Maize Seed,48,Store A
101,Northern,Lira,University,9.0,40,Female,1176063,Tap,Coffee,2022,ITEM-100,Maize Seed,474,Store A
102,Eastern,Arua,Secondary,3.7759614180005014,48,Female,619685,Borehole,Coffee,2023,ITEM-101,DAP,780,Store B
103,Eastern,Gulu,Secondary,3.846573256264004,61,Male,1060473,Borehole,Maize,2023,ITEM-102,DAP,947,Store A
104,Western,Arua,Secondary,2.17333787025666,62,Female,1354323,Tap,Cassava,2024,ITEM-103,Maize Seed,848,Store A
105,Eastern,Gulu,Primary,3.0711939205679624,25,Female,1047770,Borehole,Beans,2022,ITEM-104,Hoe,420,Store A
106,Eastern,Gulu,Primary,2.875251255618718,49,Male,205492,Well,Beans,2024,ITEM-105,DAP,421,Store B
107,Eastern,Mbarara,Secondary,3.6370063284643335,38,Female,610043,Well,Cassava,2023,ITEM-106,Hoe,501,Store A
108,Western,Gulu,Secondary,4.118149268511942,48,Male,316359,Tap,Cassava,2024,ITEM-107,DAP,447,Store A
109,Eastern,Kampala,Secondary,2.888778989824885,18,Female,358564,Tap,Beans,2024,ITEM-108,DAP,488,Store A
110,Northern,Lira,Primary,3.698444952831686,30,Female,924162,Well,Cassava,2024,ITEM-109,Maize Seed,792,Store A
111,Western,Lira,Secondary,3.71030052547169,28,Male,1239617,Tap,Maize,2023,ITEM-110,DAP,958,Store A
112,Northern,Arua,Primary,5.594049015620952,46,Male,402517,Well,Cassava,2022,ITEM-111,DAP,81,Store A
113,Western,Gulu,Secondary,4.024398699288968,21,Female,1916805,Borehole,Maize,2024,ITEM-112,Hoe,591,Store A
114,Eastern,Kampala,Secondary,3.4403811589516904,53,Female,1943718,Tap,Maize,2023,ITEM-113,DAP,229,Store B
115,Northern,Arua,Secondary,3.787686881265138,32,Female,1139367,River,Cassava,2024,ITEM-114,DAP,13,Store A
116,Western,Mbarara,Secondary,2.788039023455749,20,Male,1441635,Well,Coffee,2022,ITEM-115,Hoe,871,Store A
117,Central,Arua,Secondary,4.682271890702943,46,Male,721323,Well,Coffee,2024,ITEM-116,Maize Seed,922,Store B
118,Eastern,Arua,Secondary,3.780100300220878,38,Male,1161559,Borehole,Maize,2022,ITEM-117,Maize Seed,299,Store B
119,Western,Gulu,Secondary,5.331252790397738,19,Male,404427,River,Cassava,2023,ITEM-118,DAP,389,Store B
120,Central,Mbarara,None,0.9252525048255825,23,Male,491280,River,Maize,2022,ITEM-119,DAP,911,Store B
121,Western,Arua,Secondary,5.584442111685647,48,Male,1106261,River,Cassava,2022,ITEM-120,Hoe,813,Store B
122,Central,Kampala,Secondary,4.957455749317041,41,Female,1001269,Well,Cassava,2023,ITEM-121,Maize Seed,364,Store A
123,Eastern,Kampala,Secondary,4.228596776718344,57,Male,1755282,Well,Beans,2022,ITEM-122,Maize Seed,752,Store A
124,Northern,Lira,Secondary,5.780232587350822,34,Male,275592,River,Coffee,2022,ITEM-123,Maize Seed,944,Store A
125,Central,Mbarara,University,7.752293461037209,22,Male,593931,Tap,Coffee,2023,ITEM-124,Hoe,89,Store B
126,Western,Mbarara,University,9.0,19,Male,1396923,River,Beans,2022,ITEM-125,Hoe,75,Store A
127,Eastern,Lira,Primary,2.0905447550217957,29,Female,1268767,Borehole,Beans,2022,ITEM-126,Hoe,145,Store A
128,Central,Arua,Primary,2.5766161054584606,22,Male,1199924,River,Beans,2024,ITEM-127,DAP,408,Store B
129,Western,Mbarara,Secondary,5.76870901101093,59,Female,1046558,River,Maize,2022,ITEM-128,Maize Seed,712,Store B
130,Western,Kampala,Primary,0.9564621881648876,58,Male,645008,River,Maize,2022,ITEM-129,DAP,356,Store A
131,Western,Kampala,Secondary,5.516943563232562,37,Female,442070,Tap,Maize,2022,ITEM-130,DAP,857,Store B
132,Central,Gulu,University,7.239302757681471,25,Male,1856978,River,Maize,2023,ITEM-131,Hoe,970,Store A
133,Central,Mbarara,Primary,1.6117892445527522,18,Male,1271897,River,Maize,2022,ITEM-132,Maize Seed,68,Store B
134,Central,Arua,Primary,1.1369603414488785,23,Male,832793,Well,Coffee,2023,ITEM-133,DAP,787,Store A
135,Northern,Lira,Primary,1.827510526869716,28,Male,749247,River,Coffee,2023,ITEM-134,Maize Seed,528,Store A
136,Central,Lira,Secondary,1.9151804276744282,20,Female,603731,Borehole,Cassava,2022,ITEM-135,DAP,889,Store A
137,Central,Arua,Secondary,3.7104605563084965,48,Female,1716405,Well,Coffee,2022,ITEM-136,Hoe,723,Store B
138,Central,Gulu,Primary,3.1225563333425814,45,Male,789484,Tap,Beans,2022,ITEM-137,DAP,853,Store B
139,Northern,Lira,University,6.323699359031172,64,Male,876803,Well,Coffee,2022,ITEM-138,Hoe,986,Store B
140,Central,Mbarara,Secondary,5.588312701433808,60,Female,1433198,Tap,Beans,2022,ITEM-139,Maize Seed,246,Store B
141,Western,Gulu,None,2.8599476027252875,22,Female,1193483,Tap,Coffee,2022,ITEM-140,DAP,789,Store A
142,Central,Mbarara,Secondary,5.475644482625775,43,Female,368280,Borehole,Maize,2022,ITEM-141,DAP,88,Store A
143,Western,Kampala,Secondary,4.430640910264366,33,Male,332855,River,Coffee,2023,ITEM-142,Hoe,567,Store A
144,Western,Gulu,Primary,0.2,48,Female,1851513,Borehole,Cassava,2024,ITEM-143,Hoe,764,Store A
145,Western,Lira,None,0.49630250796739406,45,Male,1219925,Well,Maize,2023,ITEM-144,Maize Seed,809,Store B
146,Northern,Gulu,None,1.057961473225613,24,Male,1910918,Tap,Maize,2022,ITEM-145,Hoe,681,Store B
147,Northern,Gulu,Primary,1.6061323504951892,55,Female,1611607,Well,Cassava,2024,ITEM-146,Maize Seed,124,Store B
148,Northern,Gulu,University,6.660494524513429,26,Male,1487873,Tap,Coffee,2024,ITEM-147,DAP,995,Store B
149,Central,Gulu,University,8.410067468693379,56,Male,672159,Well,Coffee,2022,ITEM-148,Maize Seed,471,Store A
150,Western,Mbarara,Primary,0.8542234704846818,52,Female,477460,Tap,Cassava,2022,ITEM-149,Maize Seed,635,Store B
151,Northern,Kampala,Primary,4.311692056119027,60,Male,1207878,Borehole,Maize,2023,ITEM-150,Maize Seed,135,Store B
152,Northern,Arua,Primary,3.384726421754137,44,Female,1734535,Tap,Cassava,2024,ITEM-151,DAP,611,Store B
153,Central,Gulu,Primary,2.7682168082776957,29,Female,1624372,River,Beans,2024,ITEM-152,DAP,582,Store A
154,Northern,Lira,University,6.086383444259236,42,Female,687154,Borehole,Beans,2022,ITEM-153,Hoe,974,Store A
155,Central,Gulu,Primary,1.6260496545085745,60,Male,1709758,River,Coffee,2022,ITEM-154,Maize Seed,509,Store A
156,Eastern,Lira,Primary,0.8737822854112602,46,Female,1893221,Well,Maize,2024,ITEM-155,DAP,838,Store B
157,Northern,Mbarara,Primary,4.216765480314387,48,Female,305364,Well,Beans,2024,ITEM-156,Maize Seed,111,Store A
158,Eastern,Lira,Secondary,5.737611560074042,51,Male,1240775,Tap,Cassava,2022,ITEM-157,Maize Seed,635,Store A
159,Central,Arua,Primary,1.0937153714167178,50,Male,1513656,Tap,Coffee,2022,ITEM-158,Maize Seed,183,Store A
160,Western,Kampala,Secondary,3.647372005093799,44,Female,1063832,Well,Coffee,2022,ITEM-159,DAP,461,Store A
161,Northern,Lira,Primary,2.933144769231909,19,Male,946011,Borehole,Maize,2023,ITEM-160,Maize Seed,101,Store A
162,Central,Lira,Secondary,3.9004908618277923,31,Male,1323419,River,Beans,2023,ITEM-161,Maize Seed,704,Store A
163,Western,Kampala,Secondary,2.2813252429681823,30,Male,1517429,Well,Coffee,2022,ITEM-162,Hoe,394,Store B
164,Western,Arua,Primary,1.8422272394443118,41,Male,1999326,Borehole,Cassava,2023,ITEM-163,Maize Seed,214,Store B
165,Eastern,Gulu,Secondary,6.1510342980200186,22,Male,1224883,River,Beans,2024,ITEM-164,Hoe,372,Store A
166,Central,Lira,University,6.210021409585556,51,Female,1531427,Tap,Coffee,2024,ITEM-165,Maize Seed,716,Store B
167,Western,Kampala,University,6.636532663297793,40,Female,1812248,Borehole,Coffee,2022,ITEM-166,Hoe,826,Store A
168,Northern,Mbarara,Secondary,3.0548225759646197,36,Female,1021619,Borehole,Beans,2024,ITEM-167,DAP,507,Store B
169,Northern,Kampala,Secondary,4.787762985283749,47,Male,1291112,Well,Beans,2024,ITEM-168,DAP,546,Store A
170,Eastern,Mbarara,University,6.915151799024583,60,Male,578916,River,Maize,2024,ITEM-169,Maize Seed,243,Store B
171,Western,Arua,Secondary,3.4579802584430217,33,Female,1524965,Well,Cassava,2024,ITEM-170,Hoe,25,Store A
172,Central,Gulu,None,0.2,57,Female,944267,Tap,Maize,2024,ITEM-171,DAP,990,Store A
173,Northern,Kampala,University,8.204543374010875,51,Female,1761636,Tap,Maize,2023,ITEM-172,Maize Seed,150,Store B
174,Western,Lira,Primary,0.8944565933589197,28,Male,1623460,River,Cassava,2023,ITEM-173,Maize Seed,957,Store A
175,Western,Arua,Secondary,4.703815695589555,31,Female,232286,River,Cassava,2022,ITEM-174,Hoe,629,Store B
176,Eastern,Kampala,Primary,0.3461207552884269,64,Male,1204733,River,Maize,2024,ITEM-175,Hoe,429,Store A
177,Northern,Lira,None,1.9072116830123824,32,Female,365375,Well,Beans,2023,ITEM-176,Maize Seed,465,Store A
178,Northern,Kampala,Primary,3.4702988872600606,52,Female,1990609,River,Cassava,2023,ITEM-177,Hoe,309,Store A
179,Central,Mbarara,Secondary,5.294783711639914,24,Male,372121,River,Maize,2023,ITEM-178,Hoe,348,Store A
180,Northern,Kampala,Primary,2.338791531430132,46,Male,543045,Well,Beans,2024,ITEM-179,DAP,312,Store B
181,Central,Kampala,Primary,4.084003605563696,61,Female,1435848,Tap,Coffee,2023,ITEM-180,Hoe,901,Store B
182,Northern,Kampala,Primary,4.807791694996068,39,Female,1589706,Tap,Beans,2022,ITEM-181,Maize Seed,601,Store B
183,Eastern,Arua,Secondary,3.878376863954037,40,Female,269726,Borehole,Maize,2022,ITEM-182,Hoe,85,Store B
184,Northern,Kampala,University,6.3489949698700725,41,Male,578486,Tap,Cassava,2024,ITEM-183,Maize Seed,797,Store B
185,Central,Lira,Secondary,4.349177260344936,52,Male,1422509,River,Beans,2022,ITEM-184,Maize Seed,923,Store A
186,Central,Mbarara,Secondary,3.722319854105793,27,Female,898999,Tap,Beans,2023,ITEM-185,Hoe,959,Store A
187,Eastern,Mbarara,University,6.1761298039898795,25,Female,390586,Well,Beans,2024,ITEM-186,Hoe,789,Store B
188,Northern,Kampala,Secondary,3.6632614597584907,29,Female,666204,Tap,Cassava,2022,ITEM-187,Hoe,633,Store A
189,Northern,Arua,Primary,4.215756008006245,46,Male,585389,Tap,Cassava,2024,ITEM-188,DAP,930,Store B
190,Eastern,Arua,Primary,3.271881995035432,46,Female,466104,Borehole,Beans,2023,ITEM-189,DAP,325,Store A
191,Northern,Lira,Primary,2.019053872741909,40,Female,501746,Borehole,Beans,2022,ITEM-190,Hoe,509,Store B
192,Northern,Kampala,Primary,0.2,43,Male,1737513,River,Maize,2023,ITEM-191,Maize Seed,84,Store A
193,Central,Mbarara,Secondary,2.655535506393533,54,Female,1914500,Well,Cassava,2022,ITEM-192,Hoe,735,Store A
194,Northern,Arua,Secondary,4.703429082601878,49,Female,1033942,River,Beans,2024,ITEM-193,DAP,375,Store B
195,Northern,Kampala,Primary,0.3784440586111826,55,Male,708422,Well,Cassava,2022,ITEM-194,DAP,555,Store A
196,Eastern,Arua,Secondary,4.492993527451956,23,Male,1835199,Well,Cassava,2022,ITEM-195,Hoe,662,Store B
197,Eastern,Arua,Secondary,3.1344362751349744,25,Female,1672311,Borehole,Cassava,2022,ITEM-196,Maize Seed,687,Store A
198,Western,Mbarara,Primary,2.5918057745806733,34,Male,1121214,Tap,Maize,2024,ITEM-197,Maize Seed,405,Store B
199,Central,Gulu,University,6.863856301334143,29,Male,263564,Tap,Coffee,2022,ITEM-198,DAP,240,Store A
200,Northern,Lira,Secondary,4.3205899338907106,39,Male,1377833,Borehole,Cassava,2023,ITEM-199,DAP,813,Store B
201,Northern,Lira,Primary,2.1055781529214794,31,Male,315517,River,Cassava,2024,ITEM-200,DAP,37,Store A
202,Western,Mbarara,Secondary,3.772714374392268,51,Male,1308553,Tap,Beans,2024,ITEM-201,Maize Seed,484,Store A
203,Northern,Arua,Secondary,3.4792095810635617,36,Male,1877795,River,Cassava,2023,ITEM-202,DAP,304,Store B
204,Central,Kampala,Secondary,4.68389231724189,23,Male,1182479,Tap,Coffee,2024,ITEM-203,DAP,854,Store B
205,Western,Arua,Secondary,5.0051926747809485,35,Female,1699406,River,Cassava,2022,ITEM-204,Maize Seed,436,Store B
206,Central,Mbarara,Secondary,2.981027477463874,53,Male,994420,Well,Maize,2024,ITEM-205,DAP,881,Store B
207,Western,Lira,Secondary,4.148371527707731,54,Male,1415402,Well,Beans,2023,ITEM-206,DAP,100,Store A
208,Western,Arua,Primary,2.696582073487738,55,Male,485218,Tap,Coffee,2024,ITEM-207,Hoe,124,Store A
209,Eastern,Lira,Primary,2.683771134623042,32,Male,717103,River,Maize,2023,ITEM-208,DAP,168,Store A
210,Central,Kampala,None,1.3667696195965178,55,Female,1062477,River,Coffee,2024,ITEM-209,Hoe,267,Store A
211,Northern,Lira,Secondary,3.797965189654776,57,Female,1929116,Well,Beans,2023,ITEM-210,DAP,382,Store A
212,Northern,Lira,Primary,2.779030425462539,26,Male,772356,River,Cassava,2024,ITEM-211,DAP,859,Store B
213,Central,Gulu,University,7.41802871098362,23,Female,835257,Borehole,Beans,2022,ITEM-212,Hoe,99,Store B
214,Northern,Gulu,Secondary,4.341036655822564,19,Female,1265136,River,Beans,2023,ITEM-213,DAP,766,Store B
215,Northern,Gulu,University,7.305939836533724,33,Female,1226321,Well,Cassava,2023,ITEM-214,Hoe,307,Store B
216,Central,Lira,University,7.790353411037507,18,Female,1422322,Borehole,Maize,2024,ITEM-215,DAP,40,Store B
217,Western,Mbarara,University,4.949059642104732,47,Female,1575872,Borehole,Coffee,2024,ITEM-216,Hoe,838,Store A
218,Central,Lira,University,7.743463841865367,50,Male,1896380,River,Maize,2024,ITEM-217,Hoe,367,Store A
219,Western,Mbarara,Secondary,4.542427765221275,18,Male,370010,Well,Cassava,2022,ITEM-218,DAP,833,Store B
220,Northern,Mbarara,Secondary,3.0883746722612733,56,Male,1546111,Well,Coffee,2024,ITEM-219,DAP,479,Store B
221,Northern,Gulu,Primary,3.3024708823196884,33,Female,1539451,Well,Cassava,2023,ITEM-220,Hoe,749,Store B
222,Northern,Arua,Primary,2.1016790939760384,34,Male,1071130,Borehole,Maize,2024,ITEM-221,Maize Seed,860,Store A
223,Eastern,Kampala,Secondary,3.938033563681447,55,Female,1624600,Well,Beans,2022,ITEM-222,DAP,137,Store B
224,Western,Gulu,Secondary,3.692320217534338,35,Male,1367016,Borehole,Coffee,2024,ITEM-223,DAP,791,Store B
225,Eastern,Gulu,Primary,2.8023988442382244,39,Male,630349,Borehole,Cassava,2024,ITEM-224,Maize Seed,279,Store B
226,Eastern,Arua,Secondary,3.414646857487947,39,Male,932275,Tap,Coffee,2023,ITEM-225,Maize Seed,507,Store A
227,Central,Kampala,University,7.701474629947786,52,Male,728628,River,Coffee,2024,ITEM-226,Hoe,422,Store B
228,Eastern,Lira,Secondary,4.061137412805328,48,Female,1318867,Well,Maize,2022,ITEM-227,DAP,218,Store A
229,Central,Lira,Secondary,3.835797516512063,57,Male,248731,Borehole,Beans,2024,ITEM-228,Hoe,699,Store B
