ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,KPI,Baseline,Target,Achieved
80,Western,Mbarara,Secondary,3.9259681857520548,40,Male,1850127,Borehole,Cassava,2022,Kits Distributed,86,520,367
81,Northern,Arua,University,7.010567977628585,42,Male,459751,Tap,Coffee,2022,Yield Increased,39,520,404
82,Western,Gulu,Secondary,5.080296249253249,33,Female,592455,Tap,Maize,2022,Farmers Trained,84,520,393
83,Central,Mbarara,Secondary,5.675853280487285,41,Female,1885089,Borehole,Maize,2024,Farmers Trained,76,520,423
84,Western,Lira,Secondary,5.723684199440605,48,Male,560069,River,Cassava,2024,Farmers Trained,7,520,486
85,Northern,Kampala,Secondary,4.571959900758499,28,Female,1114860,Borehole,Cassava,2022,Kits Distributed,4,520,498
86,Northern,Lira,Primary,2.3280683096354795,40,Male,261804,Tap,Beans,2024,Yield Increased,24,520,423
87,Eastern,Arua,Primary,2.6462480078188557,58,Male,1865204,Borehole,Coffee,2022,Farmers Trained,38,520,321
88,Central,Lira,Secondary,4.72212035725508,56,Male,475165,Borehole,Beans,2023,Kits Distributed,36,520,517
89,Western,Kampala,None,1.7180669438450913,39,Female,1890475,River,Coffee,2022,Yield Increased,4,520,456
90,Eastern,Arua,Primary,3.8079866371401048,50,Female,244001,Well,Maize,2024,Farmers Trained,7,520,388
91,Western,Lira,Secondary,6.315755721916656,58,Female,1923028,Tap,Maize,2024,Farmers Trained,3,520,501
92,Western,Arua,Secondary,3.994745370385914,59,Male,622131,Tap,Coffee,2024,Kits Distributed,40,520,511
93,Eastern,Gulu,Primary,4.655884908824462,35,Male,704120,Borehole,Beans,2024,Yield Increased,59,520,505
94,Eastern,Gulu,Secondary,5.372239246758394,31,Female,1695115,Tap,Cassava,2022,Kits Distributed,53,520,496
95,Eastern,Lira,Secondary,4.099177009814793,45,Female,1637552,Tap,Coffee,2022,Farmers Trained,21,520,344
96,Eastern,Arua,Primary,3.9985648388650796,28,Female,1717829,Well,Coffee,2023,Kits Distributed,77,520,497
97,Eastern,Kampala,University,8.485648301419165,41,Female,831014,Tap,Coffee,2022,Kits Distributed,18,520,513
98,Western,Lira,Secondary,3.7397045558061532,53,Male,382974,Tap,Maize,2023,Farmers Trained,76,520,423
99,Eastern,Gulu,Secondary,5.932215252485648,36,Female,477883,River,Coffee,2022,Farmers Trained,98,520,444
100,Central,Gulu,Secondary,5.275082821035964,30,Female,1226693,River,Maize,2022,Yield Increased,67,520,378
101,Northern,Lira,University,9.0,50,Male,1059444,River,Cassava,2024,Yield Increased,32,520,338
102,Eastern,Arua,Secondary,3.7759614180005014,36,Female,1715259,River,Cassava,2023,Farmers Trained,21,520,467
103,Eastern,Gulu,Secondary,3.846573256264004,64,Female,213699,River,Beans,2024,Farmers Trained,64,520,327
104,Western,Arua,Secondary,2.17333787025666,49,Female,333876,Well,Maize,2024,Yield Increased,10,520,429
105,Eastern,Gulu,Primary,3.0711939205679624,32,Male,1690696,Tap,Cassava,2022,Kits Distributed,15,520,509
106,Eastern,Gulu,Primary,2.875251255618718,28,Male,1696388,Borehole,Cassava,2022,Farmers Trained,67,520,454
107,Eastern,Mbarara,Secondary,3.6370063284643335,40,Female,1429641,Well,Beans,2023,Farmers Trained,92,520,448
108,Western,Gulu,Secondary,4.118149268511942,22,Male,657582,Borehole,Beans,2023,Kits Distributed,43,520,386
109,Eastern,Kampala,Secondary,2.888778989824885,39,Female,762631,River,Beans,2022,Yield Increased,87,520,434
110,Northern,Lira,Primary,3.698444952831686,59,Female,604991,Tap,Maize,2023,Yield Increased,8,520,488
111,Western,Lira,Secondary,3.71030052547169,35,Male,977558,River,Coffee,2022,Kits Distributed,71,520,351
112,Northern,Arua,Primary,5.594049015620952,24,Female,1244995,Well,Maize,2022,Farmers Trained,77,520,475
113,Western,Gulu,Secondary,4.024398699288968,50,Male,833273,Borehole,Beans,2022,Kits Distributed,78,520,425
114,Eastern,Kampala,Secondary,3.4403811589516904,20,Male,1573732,Tap,Coffee,2023,Farmers Trained,61,520,446
115,Northern,Arua,Secondary,3.787686881265138,45,Male,509830,Well,Cassava,2024,Yield Increased,85,520,372
116,Western,Mbarara,Secondary,2.788039023455749,18,Female,1959493,Well,Maize,2023,Farmers Trained,14,520,439
117,Central,Arua,Secondary,4.682271890702943,64,Female,526380,Tap,Beans,2024,Farmers Trained,5,520,393
118,Eastern,Arua,Secondary,3.780100300220878,54,Female,1425522,Tap,Beans,2023,Farmers Trained,0,520,498
119,Western,Gulu,Secondary,5.331252790397738,39,Female,1378601,Well,Coffee,2024,Farmers Trained,19,520,301
120,Central,Mbarara,None,0.9252525048255825,61,Male,1366798,Borehole,Maize,2024,Farmers Trained,35,520,316
121,Western,Arua,Secondary,5.584442111685647,36,Female,1804450,Borehole,Cassava,2023,Yield Increased,1,520,502
122,Central,Kampala,Secondary,4.957455749317041,31,Female,257009,Well,Cassava,2023,Kits Distributed,69,520,424
123,Eastern,Kampala,Secondary,4.228596776718344,20,Male,1249183,Well,Coffee,2024,Yield Increased,1,520,503
124,Northern,Lira,Secondary,5.780232587350822,36,Male,1239586,River,Coffee,2022,Farmers Trained,2,520,430
125,Central,Mbarara,University,7.752293461037209,50,Female,541769,River,Cassava,2024,Kits Distributed,6,520,320
126,Western,Mbarara,University,9.0,38,Male,1704444,Borehole,Coffee,2024,Farmers Trained,83,520,377
127,Eastern,Lira,Primary,2.0905447550217957,18,Female,1886736,River,Coffee,2022,Yield Increased,63,520,378
128,Central,Arua,Primary,2.5766161054584606,43,Female,426316,Borehole,Maize,2024,Yield Increased,40,520,350
129,Western,Mbarara,Secondary,5.76870901101093,27,Male,1170616,Tap,Coffee,2022,Farmers Trained,53,520,405
130,Western,Kampala,Primary,0.9564621881648876,52,Male,630241,River,Beans,2022,Farmers Trained,40,520,404
131,Western,Kampala,Secondary,5.516943563232562,30,Female,838523,Borehole,Beans,2023,Kits Distributed,4,520,309
132,Central,Gulu,University,7.239302757681471,23,Female,1755890,Borehole,Beans,2024,Kits Distributed,88,520,415
133,Central,Mbarara,Primary,1.6117892445527522,60,Female,1049924,Well,Coffee,2024,Farmers Trained,81,520,354
134,Central,Arua,Primary,1.1369603414488785,23,Female,1389871,Borehole,Cassava,2022,Kits Distributed,62,520,335
135,Northern,Lira,Primary,1.827510526869716,52,Female,1756681,River,Beans,2024,Farmers Trained,0,520,350
136,Central,Lira,Secondary,1.9151804276744282,33,Male,485087,Well,Maize,2022,Farmers Trained,24,520,373
137,Central,Arua,Secondary,3.7104605563084965,58,Female,1335627,Well,Coffee,2024,Farmers Trained,80,520,316
138,Central,Gulu,Primary,3.1225563333425814,25,Male,1081587,River,Cassava,2024,Yield Increased,45,520,516
139,Northern,Lira,University,6.323699359031172,20,Male,656076,Tap,Cassava,2022,Farmers Trained,14,520,360
140,Central,Mbarara,Secondary,5.588312701433808,22,Male,1741460,River,Coffee,2022,Farmers Trained,68,520,390
141,Western,Gulu,None,2.8599476027252875,38,Female,1052719,River,Coffee,2024,Farmers Trained,16,520,502
142,Central,Mbarara,Secondary,5.475644482625775,48,Female,1360117,Well,Maize,2024,Kits Distributed,20,520,440
143,Western,Kampala,Secondary,4.430640910264366,31,Male,1492660,River,Coffee,2022,Farmers Trained,52,520,492
144,Western,Gulu,Primary,0.2,54,Male,1616569,Tap,Coffee,2023,Yield Increased,54,520,394
145,Western,Lira,None,0.49630250796739406,36,Male,1057312,Tap,Cassava,2023,Yield Increased,86,520,512
146,Northern,Gulu,None,1.057961473225613,54,Male,627189,Tap,Beans,2024,Farmers Trained,9,520,379
147,Northern,Gulu,Primary,1.6061323504951892,37,Male,1454696,Well,Beans,2024,Farmers Trained,80,520,402
148,Northern,Gulu,University,6.660494524513429,19,Female,1416303,River,Cassava,2024,Farmers Trained,56,520,514
149,Central,Gulu,University,8.410067468693379,24,Male,1479282,Borehole,Coffee,2022,Yield Increased,64,520,501
150,Western,Mbarara,Primary,0.8542234704846818,50,Female,1322734,River,Maize,2024,Kits Distributed,36,520,347
151,Northern,Kampala,Primary,4.311692056119027,59,Male,657393,Tap,Beans,2024,Kits Distributed,6,520,385
152,Northern,Arua,Primary,3.384726421754137,23,Male,322207,River,Coffee,2024,Farmers Trained,75,520,369
153,Central,Gulu,Primary,2.7682168082776957,24,Female,1351563,Well,Beans,2023,Kits Distributed,39,520,346
154,Northern,Lira,University,6.086383444259236,61,Female,1833325,River,Cassava,2024,Yield Increased,49,520,309
155,Central,Gulu,Primary,1.6260496545085745,35,Male,1791522,Well,Beans,2024,Farmers Trained,0,520,484
156,Eastern,Lira,Primary,0.8737822854112602,60,Female,846499,Borehole,Cassava,2022,Kits Distributed,19,520,379
157,Northern,Mbarara,Primary,4.216765480314387,46,Female,1546853,Borehole,Cassava,2023,Farmers Trained,30,520,312
158,Eastern,Lira,Secondary,5.737611560074042,36,Male,1987119,Well,Cassava,2022,Farmers Trained,67,520,488
159,Central,Arua,Primary,1.0937153714167178,42,Male,1635995,River,Maize,2024,Yield Increased,89,520,357
160,Western,Kampala,Secondary,3.647372005093799,21,Male,1531340,Tap,Coffee,2024,Yield Increased,11,520,383
161,Northern,Lira,Primary,2.933144769231909,30,Female,630283,Well,Cassava,2024,Kits Distributed,21,520,367
162,Central,Lira,Secondary,3.9004908618277923,49,Male,1711061,River,Cassava,2024,Yield Increased,0,520,383
163,Western,Kampala,Secondary,2.2813252429681823,44,Male,360747,River,Beans,2024,Farmers Trained,0,520,385
164,Western,Arua,Primary,1.8422272394443118,51,Female,1971137,River,Coffee,2022,Yield Increased,2,520,456
165,Eastern,Gulu,Secondary,6.1510342980200186,45,Male,1773724,Tap,Maize,2024,Kits Distributed,75,520,443
166,Central,Lira,University,6.210021409585556,26,Female,1888396,Tap,Maize,2024,Kits Distributed,20,520,362
167,Western,Kampala,University,6.636532663297793,25,Female,1014050,Tap,Beans,2023,Kits Distributed,12,520,474
168,Northern,Mbarara,Secondary,3.0548225759646197,38,Male,1014348,Well,Maize,2023,Yield Increased,60,520,342
169,Northern,Kampala,Secondary,4.787762985283749,63,Female,1456865,Well,Beans,2024,Yield Increased,12,520,450
170,Eastern,Mbarara,University,6.915151799024583,47,Female,1074099,Tap,Coffee,2024,Yield Increased,81,520,457
171,Western,Arua,Secondary,3.4579802584430217,46,Male,1271454,Well,Beans,2024,Yield Increased,32,520,484
172,Central,Gulu,None,0.2,26,Female,801248,Tap,Beans,2024,Yield Increased,5,520,329
173,Northern,Kampala,University,8.204543374010875,30,Male,762842,Well,Cassava,2024,Kits Distributed,24,520,366
174,Western,Lira,Primary,0.8944565933589197,35,Male,1930732,River,Maize,2024,Kits Distributed,22,520,483
175,Western,Arua,Secondary,4.703815695589555,55,Male,602561,Tap,Coffee,2022,Yield Increased,87,520,323
176,Eastern,Kampala,Primary,0.3461207552884269,39,Male,1179022,Well,Coffee,2022,Farmers Trained,25,520,400
177,Northern,Lira,None,1.9072116830123824,48,Male,1110290,River,Cassava,2022,Kits Distributed,3,520,504
178,Northern,Kampala,Primary,3.4702988872600606,52,Female,1372024,River,Beans,2023,Farmers Trained,34,520,405
179,Central,Mbarara,Secondary,5.294783711639914,59,Female,424094,Well,Coffee,2024,Farmers Trained,74,520,400
180,Northern,Kampala,Primary,2.338791531430132,59,Female,484728,River,Coffee,2023,Kits Distributed,99,520,503
181,Central,Kampala,Primary,4.084003605563696,27,Male,1772239,Borehole,Beans,2023,Farmers Trained,24,520,307
182,Northern,Kampala,Primary,4.807791694996068,26,Male,1260174,Tap,Beans,2023,Farmers Trained,19,520,515
183,Eastern,Arua,Secondary,3.878376863954037,48,Male,1977797,Tap,Coffee,2022,Kits Distributed,0,520,471
184,Northern,Kampala,University,6.3489949698700725,61,Male,1660237,River,Beans,2024,Kits Distributed,93,520,507
185,Central,Lira,Secondary,4.349177260344936,57,Female,505957,Well,Maize,2024,Yield Increased,67,520,395
186,Central,Mbarara,Secondary,3.722319854105793,41,Female,334802,Borehole,Coffee,2023,Kits Distributed,22,520,461
187,Eastern,Mbarara,University,6.1761298039898795,58,Male,735972,Well,Beans,2022,Farmers Trained,98,520,334
188,Northern,Kampala,Secondary,3.6632614597584907,25,Male,1699262,Tap,Coffee,2023,Kits Distributed,21,520,395
189,Northern,Arua,Primary,4.215756008006245,37,Male,566570,River,Coffee,2023,Yield Increased,94,520,349
190,Eastern,Arua,Primary,3.271881995035432,34,Female,365635,Borehole,Cassava,2024,Kits Distributed,61,520,444
191,Northern,Lira,Primary,2.019053872741909,45,Female,646681,River,Maize,2022,Farmers Trained,0,520,301
192,Northern,Kampala,Primary,0.2,23,Male,1322299,Borehole,Maize,2024,Kits Distributed,58,520,517
193,Central,Mbarara,Secondary,2.655535506393533,59,Male,261320,River,Cassava,2023,Farmers Trained,67,520,481
194,Northern,Arua,Secondary,4.703429082601878,50,Female,1613864,Well,Cassava,2024,Kits Distributed,18,520,343
195,Northern,Kampala,Primary,0.3784440586111826,45,Female,494768,Tap,Coffee,2023,Yield Increased,29,520,508
196,Eastern,Arua,Secondary,4.492993527451956,18,Male,1980391,River,Maize,2022,Yield Increased,0,520,401
197,Eastern,Arua,Secondary,3.1344362751349744,58,Male,1514446,River,Cassava,2024,Kits Distributed,47,520,476
198,Western,Mbarara,Primary,2.5918057745806733,52,Male,952612,Borehole,Beans,2024,Farmers Trained,18,520,429
199,Central,Gulu,University,6.863856301334143,41,Female,429635,Well,Coffee,2024,Yield Increased,51,520,371
200,Northern,Lira,Secondary,4.3205899338907106,23,Male,381465,Well,Maize,2024,Farmers Trained,84,520,409
201,Northern,Lira,Primary,2.1055781529214794,24,Female,857203,Borehole,Coffee,2024,Kits Distributed,21,520,497
202,Western,Mbarara,Secondary,3.772714374392268,26,Male,920820,Well,Coffee,2022,Yield Increased,49,520,436
203,Northern,Arua,Secondary,3.4792095810635617,54,Male,1244578,Tap,Beans,2022,Yield Increased,65,520,428
204,Central,Kampala,Secondary,4.68389231724189,33,Male,884213,River,Beans,2024,Farmers Trained,5,520,496
205,Western,Arua,Secondary,5.0051926747809485,51,Female,1701352,Borehole,Cassava,2023,Yield Increased,63,520,402
206,Central,Mbarara,Secondary,2.981027477463874,52,Male,1208571,Well,Beans,2023,Farmers Trained,20,520,436
207,Western,Lira,Secondary,4.148371527707731,52,Female,295324,Tap,Maize,2024,Farmers Trained,96,520,441
208,Western,Arua,Primary,2.696582073487738,37,Male,928692,Tap,Cassava,2024,Kits Distributed,18,520,326
209,Eastern,Lira,Primary,2.683771134623042,40,Female,728855,Well,Maize,2022,Farmers Trained,90,520,436
210,Central,Kampala,None,1.3667696195965178,59,Male,688963,Well,Maize,2022,Yield Increased,36,520,463
211,Northern,Lira,Secondary,3.797965189654776,52,Female,405908,Borehole,Cassava,2024,Farmers Trained,62,520,392
212,Northern,Lira,Primary,2.779030425462539,64,Male,524262,Well,Beans,2024,Yield Increased,28,520,511
213,Central,Gulu,University,7.41802871098362,63,Female,1700678,Borehole,Coffee,2023,Farmers Trained,59,520,506
214,Northern,Gulu,Secondary,4.341036655822564,40,Female,397863,River,Beans,2022,Kits Distributed,91,520,399
215,Northern,Gulu,University,7.305939836533724,21,Male,1504826,Tap,Maize,2024,Kits Distributed,33,520,430
216,Central,Lira,University,7.790353411037507,27,Female,1083796,Borehole,Maize,2022,Farmers Trained,0,520,416
217,Western,Mbarara,University,4.949059642104732,60,Female,1123966,Tap,Cassava,2024,Farmers Trained,47,520,450
218,Central,Lira,University,7.743463841865367,28,Male,414650,River,Maize,2024,Farmers Trained,88,520,421
219,Western,Mbarara,Secondary,4.542427765221275,57,Female,751848,Well,Cassava,2024,Kits Distributed,20,520,409
220,Northern,Mbarara,Secondary,3.0883746722612733,26,Male,808856,Borehole,Cassava,2024,Farmers Trained,33,520,372
221,Northern,Gulu,Primary,3.3024708823196884,57,Male,837534,Well,Beans,2023,Farmers Trained,25,520,329
222,Northern,Arua,Primary,2.1016790939760384,29,Female,1457334,Tap,Maize,2024,Yield Increased,35,520,318
223,Eastern,Kampala,Secondary,3.938033563681447,34,Female,1907307,Borehole,Beans,2023,Kits Distributed,98,520,401
224,Western,Gulu,Secondary,3.692320217534338,49,Female,547493,River,Coffee,2023,Kits Distributed,22,520,366
225,Eastern,Gulu,Primary,2.8023988442382244,40,Female,1373036,River,Beans,2024,Farmers Trained,80,520,349
226,Eastern,Arua,Secondary,3.414646857487947,32,Female,385084,Well,Maize,2022,Farmers Trained,46,520,347
227,Central,Kampala,University,7.701474629947786,45,Male,404228,River,Coffee,2022,Yield Increased,75,520,302
228,Eastern,Lira,Secondary,4.061137412805328,55,Male,465076,River,Maize,2024,Farmers Trained,43,520,365
229,Central,Lira,Secondary,3.835797516512063,22,Female,1138974,Well,Coffee,2024,Kits Distributed,19,520,454
230,Central,Gulu,University,7.55287567761397,57,Female,1258354,Well,Maize,2024,Yield Increased,26,520,514
231,Eastern,Kampala,University,6.48044323768092,35,Female,1533753,Borehole,Beans,2022,Kits Distributed,60,520,405
232,Western,Gulu,Secondary,5.1481768253623015,38,Female,865664,Borehole,Maize,2022,Farmers Trained,36,520,410
233,Western,Mbarara,University,7.779592950840866,32,Female,1506165,Well,Cassava,2024,Yield Increased,83,520,339
234,Western,Gulu,University,5.465196161781023,20,Male,1191159,Tap,Cassava,2022,Kits Distributed,51,520,424
235,Western,Gulu,University,7.9092602022229235,63,Male,589585,Tap,Beans,2023,Kits Distributed,74,520,317
236,Western,Lira,Primary,1.0379640284981144,43,Male,607623,Borehole,Beans,2022,Kits Distributed,91,520,454
237,Eastern,Lira,Secondary,5.371580526882511,32,Female,663735,Borehole,Coffee,2022,Farmers Trained,61,520,438
238,Eastern,Lira,Primary,4.528357192230239,62,Female,1251097,Well,Beans,2024,Farmers Trained,65,520,466
239,Northern,Mbarara,None,2.0748344382691313,37,Female,1113063,Tap,Cassava,2023,Farmers Trained,23,520,318
240,Western,Lira,Secondary,2.043019355300327,38,Male,284622,Well,Beans,2024,Farmers Trained,79,520,388
241,Eastern,Kampala,Secondary,5.263565719386019,43,Male,707922,Borehole,Cassava,2022,Kits Distributed,11,520,434
242,Northern,Arua,University,9.0,58,Male,317257,River,Beans,2023,Yield Increased,15,520,356
243,Western,Kampala,Primary,2.196968359001971,40,Male,838935,River,Cassava,2024,Farmers Trained,35,520,429
244,Central,Kampala,University,6.76529667997011,42,Female,1380431,River,Coffee,2022,Yield Increased,1,520,337
245,Northern,Lira,Secondary,3.011513278073568,21,Female,242666,Well,Maize,2023,Kits Distributed,88,520,432
246,Eastern,Arua,Secondary,4.51207941881967,27,Female,1396446,Tap,Maize,2024,Farmers Trained,61,520,505
247,Central,Arua,University,8.069177182543129,39,Female,1978027,Borehole,Cassava,2023,Kits Distributed,63,520,381
248,Central,Arua,Secondary,4.897737128149454,20,Female,1062735,Tap,Beans,2022,Farmers Trained,28,520,335
249,Central,Mbarara,Primary,5.641966977287799,36,Female,1511823,Tap,Beans,2024,Farmers Trained,91,520,495
